Ticker,Prix,RSI,MA20,MA50,Signal,Stop Loss,Take Profit,Trailing SL,Pourquoi
CFAC.ci,1495.0,26.65,1537.5,1016.4,BUY,1420.25,1644.5,1450.15,RSI survendu + tendance haussière
NTLC.ci,11400.0,31.79,11871.75,11369.2,HOLD,10830.0,12540.0,11058.0,Marché neutre
FTSC.ci,2100.0,31.95,2370.5,3490.1,HOLD,1995.0,2310.0,2037.0,Marché neutre
BNBC.ci,1495.0,36.73,1563.5,1371.5,HOLD,1420.25,1644.5,1450.15,Marché neutre
UNXC.ci,1600.0,43.87,1508.0,944.7,HOLD,1520.0,1760.0,1552.0,Marché neutre
SCRC.ci,1220.0,45.34,1146.5,1070.2,HOLD,1159.0,1342.0,1183.4,Marché neutre
SPHC.ci,7675.0,46.3,7740.75,6655.2,HOLD,7291.25,8442.5,7444.75,Marché neutre
PALC.ci,8300.0,48.68,8363.5,7810.3,HOLD,7885.0,9130.0,8051.0,Marché neutre
BICC.ci,19300.0,49.34,19178.75,17389.0,HOLD,18335.0,21230.0,18721.0,Marché neutre
PRSC.ci,4400.0,50.44,3799.0,2932.8,HOLD,4180.0,4840.0,4268.0,Marché neutre
STAC.ci,1310.0,51.53,1170.75,828.6,HOLD,1244.5,1441.0,1270.7,Marché neutre
SDCC.ci,6205.0,52.86,6024.0,6137.9,HOLD,5894.75,6825.5,6018.85,Marché neutre
BOAN.ne,2635.0,54.17,2569.25,2615.8,HOLD,2503.25,2898.5,2555.95,Marché neutre
SOGC.ci,7950.0,55.5,8046.25,7299.3,HOLD,7552.5,8745.0,7711.5,Marché neutre
SAFC.ci,3695.0,55.88,2965.75,1686.6,HOLD,3510.25,4064.5,3584.15,Marché neutre
