d,o,h,l,c,v
18652,1065,1065,1065,1065,5
18659,1055,1055,1000,1000,435
18666,1040,1040,970,970,13490
18673,970,970,945,945,2712
18680,950,1000,935,935,4587
18687,935,995,875,955,1504
18694,955,1040,955,1040,2436
18701,1075,1075,1000,1000,1830
18708,995,1000,980,985,1488
18715,980,980,905,970,735
18722,970,970,925,970,1193
18729,970,970,925,970,458
18736,970,970,900,950,4891
18743,980,980,910,960,940
18750,975,1025,950,955,2937
18757,890,955,890,955,4318
18764,955,1045,955,1005,6138
18771,1010,1045,1005,1040,1498
18778,1040,1045,1000,1035,868
18785,1035,1180,1000,1180,13577
18792,1180,1180,1040,1040,3663
18799,1040,1050,1040,1050,15835
18806,1050,1070,1050,1065,4248
18813,1070,1070,1035,1035,3382
18820,1065,1070,1060,1070,3070
18827,1150,1180,1150,1175,934
18834,1170,1290,1170,1290,9556
18841,1255,1505,1255,1500,11525
18848,1500,1500,1450,1450,5268
18855,1420,1420,1400,1405,3452
18862,1405,1410,1370,1395,4126
18869,1395,1420,1295,1400,6587
18876,1350,1395,1310,1350,2892
18883,1350,1495,1350,1450,4666
18890,1445,1650,1445,1650,3760
18897,1650,1820,1635,1820,12801
18904,1900,1900,1655,1700,13799
18911,1750,1995,1750,1995,18185
18918,1900,1995,1805,1805,9938
18925,1895,1935,1800,1935,6143
18932,1900,2050,1900,2000,8274
18939,2000,2000,1950,1950,3065
18946,1950,2000,1915,1950,2569
18953,1955,2000,1955,1995,1180
18960,1995,2025,1960,2015,7628
18967,2000,2015,1905,1905,6630
18974,1900,1900,1810,1900,2812
18981,1900,1980,1805,1805,2473
18988,1940,1940,1750,1750,10199
18995,1750,1750,1605,1605,5745
19002,1600,1600,1430,1505,10019
19009,1510,1725,1510,1725,3509
19016,1750,1750,1675,1675,1632
19023,1730,1730,1600,1700,3744
19030,1700,1700,1600,1700,1957
19037,1700,1700,1600,1655,8244
19044,1745,1745,1620,1650,4883
19051,1625,1675,1615,1675,4831
19058,1675,1710,1620,1700,17980
19065,1630,1825,1605,1825,6087
19072,1800,1800,1705,1750,3112
19079,1760,1880,1760,1810,2425
19086,1815,1850,1810,1820,1018
19093,1810,1940,1805,1815,4604
19100,1810,1850,1810,1850,2830
19107,1850,1850,1850,1850,1302
19114,1850,1850,1705,1705,1796
19121,1700,1795,1700,1705,2196
19128,1705,1705,1560,1610,3526
19135,1610,1705,1590,1705,813
19142,1690,1705,1580,1700,1131
19149,1580,1700,1580,1580,1119
19156,1695,1695,1580,1580,4791
19163,1610,1610,1465,1465,8306
19170,1570,1685,1475,1475,769
19177,1570,1685,1560,1680,1208
19184,1680,1680,1600,1680,2267
19191,1650,1680,1650,1650,3564
19198,1650,1680,1625,1650,3432
19205,1650,1680,1510,1650,2804
19212,1675,1675,1600,1650,2553
19219,1650,1650,1605,1620,1157
19226,1620,1645,1525,1595,1908
19233,1490,1595,1470,1500,3777
19240,1495,1650,1495,1600,1446
19247,1600,1600,1510,1600,1516
19254,1600,1600,1525,1600,1607
19261,1600,1615,1600,1600,269
19268,1600,1625,1545,1625,1384
19275,1625,1625,1590,1590,2218
19282,1600,1600,1505,1590,768
19289,1600,1600,1575,1600,990
19296,1600,1600,1500,1595,2105
19303,1575,1590,1480,1480,757
19310,1585,1585,1405,1405,995
19317,1410,1580,1410,1575,6470
19324,1565,1565,1365,1365,549
19331,1360,1460,1360,1395,406
19338,1400,1400,1295,1395,2034
19345,1300,1460,1300,1310,309
19352,1360,1400,1295,1295,1350
19359,1300,1460,1300,1390,576
19366,1390,1425,1290,1320,6597
19373,1400,1400,1290,1295,915
19380,1300,1350,1300,1305,6948
19387,1305,1400,1305,1390,1345
19394,1390,1400,1350,1380,2371
19401,1425,1425,1200,1230,7673
19408,1230,1300,1205,1230,2032
19415,1230,1230,1140,1200,9883
19422,1280,1290,1255,1255,822
19429,1285,1385,1285,1375,5139
19436,1300,1300,1295,1295,11663
19443,1285,1300,1210,1280,13190
19450,1280,1280,1200,1205,2000
19457,1200,1285,1200,1210,1220
19464,1245,1245,1150,1245,1468
19471,1265,1265,1140,1140,6285
19478,1190,1200,1140,1200,1746
19485,1200,1230,1160,1160,1302
19492,1165,1220,1165,1220,653
19499,1215,1215,1150,1150,3540
19506,1150,1150,1145,1145,2079
19513,1150,1230,1150,1200,2652
19520,1230,1230,1140,1195,7343
19527,1200,1305,1190,1305,6174
19534,1375,1475,1375,1465,733
19541,1465,1465,1300,1380,3996
19548,1380,1445,1380,1445,3304
19555,1445,1445,1300,1300,4053
19562,1350,1390,1350,1355,1867
19569,1355,1390,1290,1385,4444
19576,1290,1440,1290,1335,2094
19583,1300,1450,1300,1345,5185
19590,1345,1400,1345,1390,3086
19597,1390,1390,1300,1300,2621
19604,1300,1320,1295,1320,1411
19611,1315,1315,1235,1295,7148
19618,1295,1295,1250,1250,2330
19625,1255,1255,1200,1250,6879
19632,1250,1375,1195,1220,5886
19639,1225,1300,1225,1260,2341
19646,1275,1280,1185,1250,2241
19653,1250,1250,1200,1200,1942
19660,1110,1200,1090,1190,2317
19667,1105,1190,1105,1115,4553
19674,1150,1220,1080,1220,5910
19681,1225,1230,1200,1230,1760
19688,1225,1230,1190,1210,1392
19695,1225,1295,1225,1295,2513
