d,o,h,l,c,v
18652,5265,5655,5265,5655,50
18659,5800,6680,5800,6450,86490
18666,5970,5970,5700,5700,319
18673,5300,5300,5000,5000,4977
18680,4995,4995,4280,4280,2737
18687,4310,5195,4310,5195,423
18694,5500,5500,5000,5000,875
18701,5000,5380,5000,5380,429
18708,5370,5370,5000,5000,37
18715,5000,5375,5000,5005,1505
18722,5015,5380,5005,5250,886
18729,5250,5250,5250,5250,5
18736,5220,5300,5220,5300,41
18743,5380,5910,5105,5130,1819
18750,5180,5450,5135,5425,184
18757,5390,5400,5255,5300,158
18764,5250,5640,5250,5640,962
18771,5640,5640,5155,5500,2324
18778,5500,5500,5200,5300,4306
18785,5300,5795,5300,5750,1119
18792,5600,5680,5300,5680,3535
18799,5700,5750,5200,5300,896
18806,5325,5600,5300,5600,270
18813,5350,5490,5350,5350,3084
18820,5450,5600,5350,5365,741
18827,5550,5900,5355,5355,2491
18834,5365,5770,5365,5700,504
18841,5505,5750,5505,5750,8683
18848,5760,6195,5750,6185,1049
18855,6190,6190,6000,6175,729
18862,6175,6175,5800,5800,763
18869,5800,6500,5800,6500,2242
18876,6495,6500,6100,6100,211
18883,6100,6495,5645,6495,2380
18890,6475,6475,5700,6250,917
18897,6250,6250,6050,6100,460
18904,5645,6250,5645,6150,1665
18911,5915,6400,5915,6400,536
18918,6000,6400,6000,6200,341
18925,6400,6400,5950,6000,4209
18932,5950,6000,5940,6000,1460
18939,5955,6000,5955,6000,1166
18946,5990,6000,5990,6000,6382
18953,5990,6000,5990,6000,1868
18960,6000,6000,5980,6000,2084
18967,5995,6000,5995,6000,21373
18974,6000,6890,6000,6800,95083
18981,6600,7000,6600,7000,32305
18988,6990,7525,6965,7400,40273
18995,7250,7250,6100,6100,105
19002,6100,6100,6000,6000,3465
19009,6000,6400,6000,6400,6366
19016,6400,6425,6000,6000,389
19023,6000,6000,5800,5915,5272
19030,5915,6300,5855,6290,364
19037,6250,6280,6200,6200,2340
19044,6200,6400,6010,6400,2657
19051,6050,6195,5950,6100,3587
19058,6000,6000,5900,6000,912
19065,6000,6000,5900,6000,1935
19072,6000,6000,5810,6000,5016
19079,5815,6400,5815,6000,1751
19086,5900,6340,5900,6250,20363
19093,6000,6350,6000,6350,5186
19100,6200,6335,5955,6000,3505
19107,6000,6300,6000,6200,23460
19114,6200,6285,6000,6285,1087
19121,6010,6285,6010,6240,279
19128,6100,6100,5550,6000,2115
19135,5600,6200,5600,6195,1236
19142,6010,6170,6000,6000,147
19149,6000,6000,6000,6000,256
19156,5995,6200,5995,6200,5054
19163,6200,6250,5900,6250,580
19170,6250,6295,6200,6295,3085
19177,6300,6735,6300,6595,530
19184,6600,6715,6250,6715,3841
19191,6800,6800,6000,6400,10280
19198,6000,6400,6000,6100,702
19205,6400,6900,6400,6900,2541
19212,6550,6900,6400,6405,629
19219,6405,6700,6400,6695,197
19226,6695,6900,6695,6895,1123
19233,6895,6895,6500,6500,676
19240,6790,6790,6500,6750,1083
19247,6700,6700,6690,6690,300
19254,6600,6605,6500,6500,904
19261,6500,6695,6500,6505,458
19268,6900,6900,6550,6600,1329
19275,6600,6600,6500,6600,4088
19282,6500,6600,6015,6500,1459
19289,6550,6700,6500,6500,4642
19296,6500,6500,5925,6400,3562
19303,6400,6500,6400,6400,228
19310,5920,6395,5920,6390,3639
19317,6390,6390,6200,6390,1901
19324,6380,6390,6380,6385,34
19331,5910,6600,5905,6600,1712
19338,7000,7000,6430,6995,18964
19345,6950,6990,6890,6975,1803
19352,6975,6980,6500,6850,6312
19359,6500,6850,6330,6700,203
19366,6700,6700,6325,6325,1312
19373,6325,6325,6100,6100,2077
19380,6050,6050,5995,6000,3394
19387,5995,6000,5995,6000,997
19394,6000,6000,5895,5900,2523
19401,5785,6500,5785,6500,2651
19408,6400,6400,6330,6390,2015
19415,6390,6495,6350,6445,745
19422,6400,6440,6200,6400,7168
19429,6400,6495,6400,6495,1383
19436,6440,6440,6300,6300,3707
