d,o,h,l,c,v
18652,600,635,600,635,2871
18659,670,670,605,640,57
18666,605,610,600,600,1955
18673,580,610,570,610,1775
18680,625,660,625,660,2805
18687,660,670,660,670,2239
18694,670,670,670,670,1015
18701,670,685,670,685,794
18708,685,685,680,680,4172
18715,630,630,585,630,1285
18722,630,630,585,585,1646
18729,590,630,590,630,403
18736,625,670,585,630,3717
18743,585,730,585,730,7550
18750,740,850,740,850,2936
18757,900,1040,900,1040,4178
18764,975,1200,975,1200,10344
18771,1200,1200,1150,1200,3564
18778,1200,1290,1165,1250,3530
18785,1275,1500,1275,1500,5411
18792,1500,1990,1500,1845,2136
18799,1730,1730,1500,1700,3415
18806,1800,1800,1670,1700,6721
18813,1700,1955,1700,1855,4554
18820,1855,2095,1855,2090,2689
18827,2090,2090,2000,2000,2199
18834,1900,1935,1700,1700,12186
18841,1705,1950,1705,1950,3652
18848,1950,1950,1600,1610,6438
18855,1620,1740,1620,1725,3613
18862,1825,1920,1670,1820,1176
18869,1820,1825,1800,1825,2622
18876,1825,1825,1605,1725,10417
18883,1615,2075,1615,2050,44941
18890,2050,2050,2030,2030,9592
18897,1880,2025,1820,1850,6084
18904,1905,2200,1905,2200,3488
18911,2200,2225,2100,2100,3059
18918,2100,2100,2000,2000,3365
18925,2000,2150,2000,2100,3275
18932,2095,2430,2095,2300,16646
18939,2300,2310,2150,2310,9861
18946,2205,2450,2150,2250,1456
18953,2200,2335,2175,2335,19712
18960,2300,2365,2190,2365,1567
18967,2300,2300,2250,2250,4220
18974,2295,2295,2190,2200,2767
18981,2195,2195,2035,2190,3078
18988,2190,2190,2175,2175,1099
18995,2190,2190,2120,2120,1376
19002,2150,2150,2020,2020,1293
19009,2020,2100,2000,2010,4325
19016,2000,2150,1960,2150,1397
19023,2000,2345,2000,2295,5055
19030,2200,2200,2175,2200,2393
19037,2195,2310,2150,2300,6299
19044,2300,2510,2300,2510,10001
19051,2450,2505,2450,2500,3738
19058,2495,2495,2220,2300,1000
19065,2300,2350,2300,2300,424
19072,2205,2300,2205,2300,5522
19079,2210,2300,2205,2295,1761
19086,2300,2300,2175,2250,2684
19093,2310,2310,2300,2300,2554
19100,2300,2380,2200,2340,4725
19107,2300,2300,2200,2295,142
19114,2295,2295,1970,2000,2138
19121,2105,2105,2000,2100,5677
19128,2100,2400,2100,2400,2197
19135,2400,2495,2400,2475,7076
