d,o,h,l,c,v
18652,1875.0,2000.0,1875.0,2000.0,4014
18659,2000.0,2000.0,1882.5,1950.0,15406
18666,1947.5,1972.5,1900.0,1907.5,4926
18673,1950.0,1950.0,1925.0,1950.0,14900
18680,1950.0,2000.0,1950.0,1975.0,17410
18687,1975.0,2050.0,1975.0,1985.0,19402
18694,1987.5,2000.0,1987.5,2000.0,238292
18701,1992.5,2047.5,1992.5,2025.0,20120
18708,2025.0,2050.0,1995.0,2025.0,19552
18715,1995.0,2020.0,1982.5,2000.0,25282
18722,2000.0,2025.0,2000.0,2000.0,2420
18729,2000.0,2050.0,1925.0,2000.0,4148
18736,2000.0,2042.5,1950.0,2000.0,8420
18743,1997.5,2000.0,1975.0,2000.0,5130
18750,1997.5,2050.0,1997.5,2050.0,4406
18757,2015.0,2095.0,2015.0,2075.0,5198
18764,2055.0,2075.0,1800.0,1825.0,20084
18771,1800.0,1900.0,1800.0,1900.0,6306
18778,1900.0,1922.5,1895.0,1897.5,6052
18785,1895.0,1945.0,1895.0,1925.0,23346
18792,1950.0,1967.5,1925.0,1967.5,10806
18799,1950.0,1975.0,1950.0,1955.0,17460
18806,1987.5,2000.0,1950.0,2000.0,16586
18813,1987.5,2000.0,1950.0,1950.0,5444
18820,1950.0,1985.0,1950.0,1975.0,1842
18827,1950.0,2000.0,1950.0,2000.0,11278
18834,1987.5,2050.0,1952.5,1997.5,9008
18841,2000.0,2050.0,1955.0,2050.0,32108
18848,2000.0,2050.0,2000.0,2000.0,6632
18855,2000.0,2200.0,2000.0,2175.0,16974
18862,2172.5,2322.5,2150.0,2150.0,14706
18869,2162.5,2250.0,2162.5,2195.0,5386
18876,2225.0,2250.0,2197.5,2250.0,24182
18883,2295.0,2300.0,2255.0,2300.0,13868
18890,2310.0,2450.0,2310.0,2450.0,10754
18897,2475.0,2800.0,2475.0,2800.0,5702
18904,2752.5,2900.0,2752.5,2790.0,10688
18911,2750.0,2750.0,2607.5,2650.0,3140
18918,2607.5,2697.5,2607.5,2612.5,13078
18925,2612.5,2900.0,2612.5,2900.0,8998
18932,2700.0,2950.0,2700.0,2750.0,10262
18939,2700.0,2757.5,2700.0,2750.0,22734
18946,2700.0,2750.0,2652.5,2747.5,2340
18953,2750.0,2750.0,2700.0,2725.0,10694
18960,2700.0,2950.0,2700.0,2950.0,6004
18967,2925.0,2925.0,2745.0,2750.0,7006
18974,2745.0,2752.5,2725.0,2725.0,25490
18981,2747.5,2750.0,2625.0,2750.0,11742
18988,2747.5,2770.0,2650.0,2650.0,12800
18995,2625.0,2700.0,2625.0,2650.0,4194
19002,2650.0,2650.0,2602.5,2602.5,4182
19009,2602.5,2650.0,2550.0,2625.0,13796
19016,2600.0,2600.0,2575.0,2575.0,17088
19023,2575.0,2700.0,2575.0,2700.0,16712
19030,2650.0,2825.0,2647.5,2800.0,12450
19037,2800.0,3000.0,2800.0,2997.5,15994
19044,2997.5,3040.0,2975.0,3000.0,11194
19051,3000.0,3050.0,2975.0,3045.0,11566
19058,3025.0,3050.0,3000.0,3025.0,14014
19065,3025.0,3047.5,3000.0,3047.5,12526
19072,3050.0,3397.5,3050.0,3300.0,7332
19079,3300.0,3375.0,3300.0,3307.5,14446
19086,3307.5,3350.0,3305.0,3305.0,4414
19093,3307.5,3325.0,3300.0,3300.0,16320
19100,3300.0,3300.0,3290.0,3290.0,7012
19107,3250.0,3250.0,3200.0,3200.0,12890
19114,3240.0,3240.0,3150.0,3200.0,11540
19121,3200.0,3250.0,3180.0,3250.0,11146
19128,3250.0,3300.0,3202.5,3300.0,38258
19135,2802.5,3190.0,2802.5,2850.0,4248
19142,2852.5,2997.5,2852.5,2990.0,38978
19149,2995.0,3100.0,2862.5,3000.0,26318
19156,3000.0,3050.0,2997.5,3050.0,8342
19163,3050.0,3050.0,3000.0,3050.0,5230
19170,3050.0,3100.0,3050.0,3050.0,8600
19177,3100.0,3100.0,3050.0,3100.0,9414
19184,3100.0,3100.0,3065.0,3067.5,2056
19191,3097.5,3097.5,3050.0,3097.5,5868
19198,3097.5,3097.5,3050.0,3055.0,9872
19205,3075.0,3100.0,3055.0,3075.0,24362
19212,3100.0,3100.0,3025.0,3050.0,29842
19219,3050.0,3050.0,3000.0,3000.0,7922
19226,3045.0,3045.0,3000.0,3015.0,6216
19233,3015.0,3050.0,3002.5,3050.0,5668
19240,3050.0,3100.0,3010.0,3050.0,6654
19247,3050.0,3327.5,3002.5,3327.5,7022
19254,3325.0,3325.0,3017.5,3047.5,10082
19261,3047.5,3047.5,2950.0,2950.0,25416
19268,2950.0,3020.0,2900.0,2940.0,18330
19275,2900.0,2950.0,2825.0,2850.0,19008
19282,2850.0,2850.0,2755.0,2802.5,19650
19289,2800.0,3050.0,2800.0,3047.5,7576
19296,3050.0,3050.0,3002.5,3002.5,18534
19303,3002.5,3002.5,2955.0,2997.5,12318
