d,o,h,l,c,v
18652,1845.0,1845.0,1845.0,1845.0,622
18659,1827.5,1900.0,1825.0,1900.0,3360
18666,1902.5,1945.0,1862.5,1900.0,962
18673,1900.0,1900.0,1847.5,1900.0,42490
18680,1900.0,1900.0,1865.0,1900.0,2460
18687,1900.0,1925.0,1805.0,1837.5,66246
18694,1850.0,1900.0,1850.0,1900.0,62562
18701,1900.0,1900.0,1865.0,1900.0,2876
18708,1897.5,1900.0,1875.0,1900.0,8028
18715,1890.0,1900.0,1890.0,1900.0,3978
18722,1925.0,1950.0,1925.0,1950.0,5950
18729,1950.0,1997.5,1905.0,1955.0,4418
18736,1955.0,1955.0,1950.0,1950.0,5866
18743,1947.5,1950.0,1765.0,1875.0,1868
18750,1890.0,1890.0,1750.0,1872.5,15944
18757,1895.0,1895.0,1850.0,1850.0,14488
18764,1850.0,1875.0,1850.0,1872.5,21258
18771,1872.5,1875.0,1855.0,1862.5,19164
18778,1850.0,1910.0,1850.0,1910.0,3878
18785,1900.0,1925.0,1862.5,1925.0,8462
18792,1925.0,1925.0,1910.0,1925.0,4508
18799,1925.0,1950.0,1900.0,1950.0,9120
18806,1925.0,2000.0,1925.0,1927.5,706
18813,1927.5,2000.0,1927.5,1975.0,876
18820,1975.0,2087.5,1975.0,2000.0,1212
18827,2000.0,2000.0,1950.0,2000.0,1162
18834,2000.0,2002.5,2000.0,2002.5,8756
18841,2002.5,2075.0,2000.0,2050.0,6962
18848,2050.0,2050.0,2002.5,2050.0,9036
18855,2050.0,2400.0,2050.0,2325.0,5178
18862,2325.0,2367.5,2325.0,2350.0,11796
18869,2350.0,2425.0,2350.0,2425.0,5326
18876,2425.0,2425.0,2400.0,2425.0,13796
18883,2425.0,2550.0,2400.0,2550.0,18180
18890,2547.5,2950.0,2547.5,2950.0,7084
18897,2900.0,2900.0,2750.0,2825.0,1636
18904,2800.0,2822.5,2775.0,2800.0,3914
18911,2800.0,2800.0,2750.0,2750.0,2560
18918,2750.0,2750.0,2600.0,2647.5,2700
18925,2645.0,2800.0,2550.0,2800.0,8524
18932,2750.0,2900.0,2750.0,2900.0,2084
18939,2825.0,2900.0,2800.0,2810.0,4320
18946,2807.5,2900.0,2807.5,2900.0,3674
18953,2875.0,3150.0,2875.0,2945.0,28974
18960,2925.0,3005.0,2925.0,3005.0,2976
18967,3005.0,3100.0,3002.5,3100.0,10238
18974,3097.5,3150.0,3087.5,3130.0,6452
18981,3100.0,3200.0,3100.0,3100.0,4826
18988,3100.0,3225.0,3100.0,3100.0,16352
18995,3050.0,3150.0,3050.0,3102.5,1556
19002,3325.0,3325.0,3102.5,3250.0,1546
19009,3250.0,3250.0,3100.0,3250.0,14526
19016,3112.5,3112.5,2992.5,2992.5,5170
19023,2972.5,3102.5,2972.5,3070.0,2900
19030,3075.0,3075.0,2972.5,2972.5,3408
19037,2972.5,3100.0,2950.0,3002.5,13840
19044,3100.0,3100.0,3077.5,3100.0,7752
19051,3100.0,3300.0,3075.0,3300.0,3602
19058,3075.0,3300.0,3000.0,3297.5,1824
19065,3250.0,3297.5,3100.0,3100.0,3342
19072,3097.5,3100.0,3097.5,3100.0,3278
19079,3040.0,3100.0,2950.0,3000.0,8340
19086,2997.5,3000.0,2947.5,2947.5,15638
19093,2947.5,3150.0,2947.5,3150.0,6318
19100,3125.0,3125.0,3050.0,3125.0,2212
19107,3100.0,3122.5,2570.0,2950.0,22876
19114,2570.0,2950.0,2570.0,2800.0,63882
19121,2800.0,2800.0,2750.0,2795.0,1582
19128,2790.0,2790.0,2730.0,2730.0,1694
19135,2750.0,2750.0,2575.0,2600.0,34984
19142,2600.0,2750.0,2600.0,2745.0,7038
19149,2745.0,2745.0,2722.5,2725.0,10108
