d,o,h,l,c,v
18652,800.0,800.0,800.0,800.0,3123
18659,813.33,990.0,800.0,990.0,12737
18666,993.33,1063.33,870.0,870.0,24177
18673,806.67,870.0,806.67,813.33,46257
18680,863.33,863.33,813.33,850.0,7802
18687,813.33,843.33,800.0,800.0,11163
18694,800.0,893.33,800.0,863.33,4453
18701,863.33,870.0,833.33,860.0,12474
18708,860.0,860.0,800.0,800.0,21476
18715,793.33,833.33,793.33,820.0,6725
18722,820.0,833.33,806.67,833.33,7976
18729,816.67,846.67,813.33,813.33,18638
18736,813.33,846.67,810.0,830.0,20457
18743,833.33,916.67,833.33,916.67,19527
18750,866.67,946.67,866.67,933.33,25957
18757,946.67,946.67,873.33,933.33,1732
18764,900.0,900.0,840.0,840.0,1799
18771,866.67,913.33,840.0,913.33,5042
18778,913.33,913.33,900.0,910.0,5079
18785,906.67,913.33,903.33,913.33,3999
18792,913.33,983.33,913.33,983.33,16822
18799,1000.0,1080.0,960.0,960.0,21476
18806,920.0,960.0,903.33,946.67,10469
18813,933.33,950.0,913.33,916.67,10517
18820,960.0,1080.0,933.33,1080.0,13169
18827,1066.67,1080.0,1053.33,1053.33,5365
18834,1033.33,1066.67,1000.0,1066.67,43414
18841,1063.33,1066.67,1026.67,1066.67,32462
18848,1063.33,1100.0,1063.33,1066.67,97290
18855,1100.0,1160.0,1100.0,1160.0,69650
18862,1160.0,1343.33,1160.0,1313.33,53417
18869,1266.67,1313.33,1266.67,1313.33,6584
18876,1326.67,1326.67,1316.67,1323.33,10808
18883,1323.33,1333.33,1323.33,1333.33,20473
18890,1333.33,1376.67,1333.33,1376.67,8789
18897,1376.67,1383.33,1333.33,1333.33,65352
18904,1333.33,1333.33,1206.67,1290.0,11859
18911,1290.0,1290.0,1110.0,1110.0,12881
18918,1143.33,1143.33,953.33,1066.67,24656
18925,1066.67,1200.0,1066.67,1196.67,9403
18932,1133.33,1196.67,1133.33,1133.33,10102
18939,1066.67,1160.0,1066.67,1146.67,6786
18946,1160.0,1160.0,1100.0,1100.0,6486
18953,1100.0,1116.67,1060.0,1060.0,6313
18960,1063.33,1063.33,1010.0,1056.67,13543
18967,1033.33,1066.67,1033.33,1053.33,9061
18974,1053.33,1053.33,993.33,993.33,8885
18981,993.33,1000.0,986.67,1000.0,5617
18988,1000.0,1000.0,990.0,990.0,7335
18995,986.67,1033.33,986.67,1026.67,8089
19002,966.67,966.67,853.33,883.33,27670
19009,883.33,1000.0,880.0,933.33,35468
19016,933.33,966.67,913.33,950.0,20207
19023,940.0,940.0,900.0,936.67,12995
19030,933.33,933.33,906.67,906.67,7141
19037,900.0,966.67,870.0,966.67,40244
19044,996.67,996.67,926.67,926.67,7921
19051,926.67,926.67,860.0,883.33,21191
19058,883.33,923.33,883.33,900.0,19121
19065,896.67,896.67,860.0,866.67,32976
19072,866.67,933.33,866.67,933.33,28046
19079,933.33,966.67,933.33,933.33,25284
19086,960.0,960.0,933.33,933.33,4049
19093,933.33,933.33,900.0,933.33,15830
19100,920.0,920.0,900.0,906.67,4490
19107,900.0,900.0,866.67,866.67,11624
19114,893.33,893.33,803.33,866.67,8325
19121,866.67,900.0,850.0,900.0,5681
19128,890.0,900.0,833.33,866.67,6407
19135,833.33,893.33,820.0,890.0,9994
19142,893.33,896.67,840.0,896.67,7758
19149,886.67,900.0,866.67,893.33,12045
19156,866.67,896.67,866.67,873.33,18402
19163,913.33,933.33,876.67,876.67,5848
19170,933.33,933.33,900.0,933.33,8401
19177,946.67,1290.0,946.67,1266.67,26978
19184,1266.67,1266.67,1190.0,1190.0,34939
19191,1133.33,1133.33,983.33,983.33,4873
19198,983.33,1100.0,983.33,1100.0,7369
19205,1093.33,1093.33,1040.0,1040.0,5091
19212,1050.0,1050.0,986.67,986.67,6793
19219,990.0,1036.67,960.0,966.67,8518
19226,936.67,1033.33,926.67,986.67,7319
19233,1000.0,1033.33,1000.0,1033.33,11412
19240,1050.0,1050.0,1000.0,1010.0,5513
19247,1006.67,1043.33,1006.67,1033.33,3686
19254,1066.67,1076.67,1016.67,1016.67,3722
19261,1016.67,1033.33,1000.0,1033.33,2308
19268,1033.33,1066.67,980.0,986.67,3645
19275,986.67,986.67,926.67,983.33,1558
19282,1000.0,1023.33,966.67,1023.33,6335
19289,1023.33,1023.33,933.33,1003.33,5179
19296,946.67,1023.33,936.67,993.33,7849
19303,946.67,993.33,940.0,976.67,13170
19310,1000.0,1003.33,1000.0,1000.0,1104
19317,1000.0,1000.0,933.33,933.33,6692
19324,933.33,933.33,903.33,903.33,1103
19331,906.67,933.33,900.0,900.0,2387
19338,913.33,933.33,900.0,916.67,3177
19345,916.67,983.33,900.0,966.67,2344
19352,930.0,983.33,930.0,933.33,1582
19359,963.33,963.33,873.33,873.33,4589
19366,900.0,933.33,883.33,900.0,4005
19373,903.33,903.33,833.33,886.67,6586
19380,876.67,906.67,876.67,886.67,3307
19387,876.67,886.67,863.33,886.67,4567
19394,833.33,886.67,833.33,866.67,3118
19401,866.67,896.67,853.33,896.67,14088
19408,840.0,900.0,840.0,886.67,6146
19415,886.67,900.0,823.33,860.0,4290
19422,860.0,900.0,860.0,886.67,1558
19429,866.67,933.33,800.0,800.0,13717
19436,800.0,890.0,800.0,863.33,32305
19443,806.67,863.33,806.67,813.33,1901
19450,820.0,826.67,800.0,803.33,4009
19457,803.33,810.0,803.33,806.67,5126
19464,806.67,833.33,806.67,833.33,8278
19471,833.33,860.0,800.0,860.0,13239
19478,816.67,860.0,803.33,830.0,911
19485,863.33,890.0,836.67,866.67,2710
19492,866.67,886.67,863.33,883.33,12689
19499,883.33,950.0,883.33,893.33,8438
19506,916.67,916.67,846.67,866.67,6412
19513,866.67,906.67,833.33,906.67,9617
19520,906.67,910.0,840.0,866.67,10750
19527,866.67,903.33,866.67,903.33,7860
19534,923.33,933.33,880.0,880.0,6037
19541,933.33,933.33,896.67,900.0,9587
19548,893.33,933.33,893.33,926.67,7032
19555,920.0,926.67,866.67,876.67,20460
19562,880.0,923.33,880.0,883.33,3982
19569,900.0,1000.0,900.0,1000.0,12973
19576,966.67,1023.33,966.67,1000.0,11019
19583,1000.0,1000.0,933.33,966.67,10629
19590,903.33,966.67,903.33,913.33,12062
19597,920.0,933.33,880.0,880.0,12936
19604,880.0,966.67,880.0,903.33,4983
19611,943.33,966.67,923.33,966.67,4142
19618,940.0,966.67,940.0,966.67,6906
19625,966.67,993.33,943.33,966.67,3253
19632,966.67,1000.0,940.0,966.67,14115
19639,966.67,1000.0,940.0,940.0,6797
19646,943.33,1000.0,943.33,966.67,8091
19653,970.0,1000.0,970.0,1000.0,7488
19660,1000.0,1000.0,986.67,990.0,3991
19667,986.67,986.67,903.33,920.0,12054
19674,920.0,973.33,906.67,930.0,8651
19681,933.33,993.33,933.33,933.33,4902
19688,936.67,993.33,933.33,933.33,7565
19695,983.33,1043.33,933.33,1016.67,29491
19702,1016.67,1016.67,993.33,996.67,4268
19709,993.33,1003.33,966.67,1003.33,10659
19716,966.67,1003.33,950.0,983.33,8410
19723,986.67,986.67,966.67,980.0,5961
19730,980.0,980.0,953.33,980.0,4389
19737,966.67,980.0,966.67,970.0,3106
19744,950.0,970.0,900.0,916.67,11281
19751,926.67,926.67,866.67,866.67,15331
19758,863.33,896.67,863.33,896.67,5300
19765,893.33,900.0,873.33,900.0,4753
19772,883.33,883.33,856.67,866.67,15815
19779,866.67,933.33,866.67,933.33,12125
19786,933.33,996.67,930.0,996.67,14604
19793,993.33,993.33,933.33,983.33,15494
19800,966.67,1070.0,966.67,1070.0,14477
19807,1116.67,1143.33,1116.67,1120.0,8283
19814,1126.67,1126.67,1060.0,1063.33,8649
