d,o,h,l,c,v
18652,2243.75,2243.75,2218.75,2218.75,264
18659,2218.75,2250.0,2218.75,2250.0,60907
18666,2246.88,2250.0,2228.12,2250.0,9573
18673,2231.25,2250.0,2231.25,2250.0,33725
18680,2250.0,2375.0,2243.75,2375.0,24060
18687,2250.0,2375.0,2250.0,2337.5,1350
18694,2315.62,2375.0,2312.5,2375.0,40001
18701,2312.5,2500.0,2312.5,2500.0,16843
18708,2500.0,2500.0,2437.5,2468.75,9465
18715,2406.25,2465.62,2406.25,2437.5,30820
18722,2465.62,2493.75,2375.0,2437.5,29617
18729,2437.5,2493.75,2350.0,2437.5,3272
18736,2493.75,2493.75,2468.75,2487.5,3869
18743,2493.75,2493.75,2437.5,2462.5,10411
18750,2475.0,2475.0,2293.75,2306.25,4818
18757,2187.5,2281.25,2187.5,2187.5,5319
18764,2187.5,2250.0,2187.5,2206.25,6473
18771,2206.25,2262.5,2190.62,2262.5,6165
18778,2262.5,2281.25,2262.5,2278.12,2541
18785,2265.62,2281.25,2250.0,2250.0,6668
18792,2250.0,2275.0,2250.0,2271.88,2530
18799,2281.25,2450.0,2250.0,2434.38,6300
18806,2431.25,2431.25,2312.5,2312.5,2712
18813,2312.5,2343.75,2312.5,2312.5,6165
18820,2312.5,2368.75,2281.25,2343.75,1990
18827,2362.5,2368.75,2312.5,2368.75,1422
18834,2375.0,2406.25,2375.0,2406.25,5474
18841,2409.38,2462.5,2406.25,2437.5,12495
18848,2406.25,2437.5,2381.25,2437.5,3394
18855,2437.5,2612.5,2431.25,2612.5,60826
18862,2806.25,2806.25,2625.0,2656.25,24205
18869,2684.38,2703.12,2625.0,2625.0,5867
18876,2625.0,2725.0,2625.0,2718.75,6606
18883,2718.75,2806.25,2706.25,2806.25,11311
18890,2793.75,2971.88,2765.62,2900.0,13511
18897,2971.88,3125.0,2821.88,3087.5,22275
18904,3087.5,3290.62,3000.0,3281.25,11831
18911,3281.25,3281.25,3140.62,3187.5,7285
18918,3187.5,3187.5,3062.5,3062.5,5677
18925,3062.5,3156.25,2940.62,3125.0,33758
18932,3156.25,3250.0,3125.0,3187.5,29950
18939,3187.5,3250.0,3184.38,3187.5,2151
18946,3187.5,3246.88,3168.75,3184.38,1931
