d,o,h,l,c,v
18652,996.67,1000.0,996.67,1000.0,1125
18659,1000.0,1000.0,936.67,996.67,10627
18666,993.33,993.33,933.33,933.33,16142
18673,933.33,933.33,900.0,930.0,4084
18680,930.0,966.67,893.33,966.67,8518
18687,950.0,966.67,903.33,953.33,3564
18694,966.67,1020.0,966.67,1000.0,11129
18701,1000.0,1033.33,1000.0,1033.33,16781
18708,1033.33,1033.33,1003.33,1003.33,6218
18715,1013.33,1033.33,1006.67,1033.33,6132
18722,1013.33,1046.67,1013.33,1046.67,8512
18729,1050.0,1050.0,1033.33,1033.33,13077
18736,1033.33,1046.67,1033.33,1046.67,8182
18743,1046.67,1050.0,1036.67,1050.0,6348
18750,1050.0,1076.67,1050.0,1076.67,8844
18757,1076.67,1083.33,1060.0,1083.33,40134
18764,1083.33,1120.0,1070.0,1120.0,15220
18771,1120.0,1210.0,1066.67,1100.0,21171
18778,1096.67,1096.67,1066.67,1093.33,40232
18785,1013.33,1133.33,1013.33,1133.33,12742
18792,1133.33,1133.33,1106.67,1120.0,3486
18799,1130.0,1170.0,1120.0,1170.0,18354
18806,1163.33,1166.67,1133.33,1133.33,14507
18813,1133.33,1166.67,1133.33,1163.33,5878
18820,1166.67,1186.67,1166.67,1186.67,11438
18827,1186.67,1300.0,1186.67,1300.0,19645
18834,1300.0,1333.33,1300.0,1326.67,19813
18841,1326.67,1333.33,1300.0,1330.0,21469
18848,1333.33,1463.33,1333.33,1463.33,4283
18855,1463.33,1600.0,1463.33,1583.33,5595
18862,1566.67,1596.67,1466.67,1466.67,8078
18869,1513.33,1533.33,1466.67,1476.67,6209
18876,1476.67,1533.33,1466.67,1500.0,19177
18883,1500.0,1530.0,1486.67,1523.33,8026
18890,1506.67,1586.67,1506.67,1586.67,25668
18897,1576.67,1590.0,1506.67,1566.67,21822
18904,1563.33,1593.33,1526.67,1593.33,14864
18911,1593.33,1633.33,1593.33,1600.0,8521
18918,1633.33,1633.33,1600.0,1600.0,31384
18925,1633.33,1793.33,1633.33,1793.33,29420
18932,1766.67,1833.33,1733.33,1733.33,29317
18939,1666.67,1666.67,1600.0,1633.33,13765
18946,1630.0,1736.67,1630.0,1733.33,21105
18953,1666.67,1666.67,1633.33,1666.67,23972
18960,1666.67,1750.0,1666.67,1733.33,15509
18967,1673.33,1673.33,1583.33,1600.0,28791
18974,1600.0,1600.0,1583.33,1600.0,12465
18981,1600.0,1600.0,1586.67,1593.33,87965
18988,1593.33,1593.33,1533.33,1566.67,25746
18995,1566.67,1600.0,1533.33,1566.67,12178
19002,1566.67,1600.0,1533.33,1533.33,12506
19009,1560.0,1566.67,1526.67,1566.67,15087
19016,1600.0,1666.67,1520.0,1666.67,14164
19023,1666.67,1713.33,1650.0,1713.33,15745
19030,1720.0,1720.0,1600.0,1600.0,20762
19037,1586.67,1650.0,1536.67,1646.67,22387
19044,1633.33,1650.0,1633.33,1650.0,28120
19051,1650.0,1650.0,1600.0,1643.33,12741
19058,1643.33,1746.67,1633.33,1746.67,15684
19065,1666.67,1733.33,1666.67,1730.0,15807
