d,o,h,l,c,v
18652,1145,1145,1145,1145,30
18659,1145,1145,1105,1105,2873
18666,1100,1150,1100,1150,16855
18673,1150,1155,1130,1145,820
18680,1150,1290,1150,1290,9029
18687,1300,1350,1300,1350,4641
18694,1450,1495,1445,1445,31739
18701,1400,1400,1260,1260,21698
18708,1275,1300,1250,1300,6031
18715,1275,1300,1260,1275,2139
18722,1300,1300,1180,1270,2866
18729,1265,1265,1250,1260,790
18736,1260,1270,1240,1240,2797
18743,1240,1280,1200,1260,3500
18750,1260,1260,1200,1250,7973
18757,1245,1290,1245,1290,3991
18764,1285,1285,1245,1285,4133
18771,1285,1285,1250,1270,1373
18778,1250,1270,1240,1250,4087
18785,1250,1250,1240,1240,3457
18792,1240,1275,1240,1275,7729
18799,1255,1315,1255,1315,929
18806,1280,1280,1245,1255,1921
18813,1255,1260,1240,1250,3522
18820,1250,1345,1200,1345,83105
18827,1345,1400,1345,1400,1690
18834,1400,1445,1375,1375,8983
18841,1375,1380,1270,1270,3131
18848,1270,1305,1270,1305,2384
18855,1380,1380,1320,1355,2534
18862,1355,1365,1325,1325,4690
18869,1325,1360,1325,1360,3009
18876,1360,1400,1350,1350,803
18883,1350,1350,1340,1340,9314
18890,1305,1350,1300,1325,18040
18897,1250,1250,970,1050,15939
18904,1055,1200,1055,1140,42407
18911,1195,1230,1140,1200,24509
18918,1230,1230,1150,1185,28392
18925,1180,1200,1160,1200,23284
18932,1175,1200,1120,1120,16425
18939,1150,1185,1150,1160,6938
18946,1160,1160,1150,1150,1760
18953,1160,1230,1120,1120,3689
18960,1200,1210,1200,1200,5365
18967,1200,1200,1150,1150,3452
18974,1200,1200,1070,1075,10303
18981,1000,1150,1000,1150,5460
18988,1150,1150,1010,1015,5583
18995,1090,1180,1020,1095,7649
19002,1150,1150,1075,1080,3870
19009,1150,1150,1100,1150,2107
19016,1150,1200,1130,1200,20198
19023,1200,1200,1150,1155,8398
19030,1150,1200,1150,1180,7550
19037,1195,1220,1150,1220,14504
19044,1220,1300,1200,1200,6866
19051,1280,1315,1280,1280,8464
19058,1280,1300,1185,1200,3367
19065,1200,1200,1165,1180,2997
19072,1200,1200,1110,1120,6852
19079,1195,1195,1100,1105,8244
19086,1100,1160,1100,1160,4615
19093,1150,1180,1150,1180,9695
19100,1180,1180,1080,1100,1453
19107,1100,1180,1100,1105,993
19114,1180,1180,1105,1165,1027
19121,1180,1180,1165,1165,2566
19128,1145,1170,1145,1165,846
19135,1100,1100,1005,1005,1110
19142,1080,1080,955,1020,12651
19149,1020,1105,1015,1030,8813
19156,1030,1080,1020,1080,1721
19163,1080,1150,1080,1100,1024
19170,1145,1160,1100,1120,721
19177,1120,1160,1100,1160,913
19184,1160,1170,1105,1105,30686
19191,1150,1160,1105,1160,16840
19198,1160,1195,1100,1150,4301
19205,1065,1150,1065,1085,611
19212,1085,1100,1080,1100,1147
19219,1100,1145,1070,1080,2328
19226,1080,1080,1015,1065,12137
19233,1070,1100,1050,1075,3009
19240,1100,1290,1100,1150,2749
19247,1150,1150,1070,1100,9823
19254,1100,1145,1100,1100,12285
19261,1100,1100,1085,1085,2595
19268,1085,1100,1050,1100,8993
19275,1100,1100,1025,1100,4324
19282,1050,1100,1050,1050,422
19289,1050,1100,1040,1100,72940
19296,1070,1245,1070,1155,2688
19303,1155,1200,1150,1160,1835
19310,1160,1160,1140,1160,4460
19317,1160,1160,1100,1155,6867
19324,1155,1155,1000,1075,19040
19331,1000,1155,1000,1155,315
19338,1155,1155,1000,1000,1150
19345,1075,1125,1050,1050,3319
19352,1050,1200,1050,1170,321
19359,1170,1170,1010,1010,302
19366,1050,1085,1005,1075,5547
19373,1085,1085,1005,1010,470
19380,1085,1085,1015,1065,3834
19387,1065,1065,1015,1040,203
19394,1020,1075,1020,1075,12524
19401,1075,1145,1070,1085,7302
19408,1110,1110,1015,1065,7148
19415,1065,1140,1060,1140,4196
19422,1140,1195,1140,1175,3477
19429,1175,1195,1010,1010,4550
19436,1015,1085,1015,1015,2492
19443,1015,1015,930,995,3299
19450,1000,1000,995,995,1588
19457,995,1000,985,995,6068
19464,980,990,935,985,830
19471,985,1075,985,1075,3494
19478,1000,1075,1000,1065,699
19485,1065,1065,1000,1010,4509
19492,1010,1020,1010,1020,4956
19499,1020,1050,1020,1050,2341
19506,1045,1070,1000,1005,12236
19513,1060,1060,1005,1050,3686
19520,1030,1080,1005,1080,5867
19527,1080,1100,1050,1100,3060
19534,1090,1100,1020,1020,478
19541,1010,1095,1010,1090,1515
19548,1085,1095,1085,1095,2293
19555,1100,1100,1020,1030,10345
19562,1105,1155,1105,1155,735
19569,1150,1320,1150,1255,4723
19576,1300,1300,1150,1235,1966
19583,1220,1220,1150,1165,564
19590,1165,1200,1160,1185,1742
19597,1185,1190,1185,1190,266
19604,1190,1190,1165,1190,979
19611,1185,1190,1170,1180,1364
19618,1190,1190,1165,1180,1006
19625,1180,1180,1165,1165,495
19632,1165,1170,1160,1160,1155
19639,1160,1170,1060,1105,1433
19646,1160,1200,1160,1185,27368
19653,1235,1235,1200,1200,2396
19660,1180,1200,1170,1170,1647
19667,1085,1100,1055,1100,1051
19674,1090,1105,1040,1105,809
19681,1150,1160,1150,1155,1039
19688,1155,1155,1080,1080,1900
19695,1050,1075,995,1010,4341
19702,1020,1070,1020,1020,1476
19709,1055,1055,1000,1000,1346
19716,1025,1110,1000,1110,21181
19723,1035,1115,1000,1000,22935
19730,970,1040,970,1040,1153
19737,1040,1040,985,1040,156
19744,990,1035,990,1000,688
19751,1000,1035,970,970,1103
19758,980,1050,980,980,280
19765,980,1100,980,1100,1400
19772,1100,1115,1035,1100,1864
19779,1100,1100,990,990,930
19786,990,1060,990,1010,1130
19793,1065,1065,1010,1015,2198
19800,1015,1080,1015,1080,732
19807,1150,1160,1120,1140,1994
19814,1140,1140,1065,1100,1392
19821,1130,1160,1100,1120,2504
19828,1095,1125,1010,1125,1602
19835,1145,1145,1090,1090,601
19842,1080,1080,995,1000,4405
19849,995,1060,925,1060,3989
19856,985,1090,985,1055,3718
19863,1090,1090,1000,1000,1261
19870,1055,1055,980,980,1308
19877,980,1020,980,1020,259
19884,1020,1050,990,990,20737
19891,990,1065,985,990,863
19898,1060,1060,990,1060,905
19905,1060,1075,990,1050,4015
19912,1055,1055,980,980,8377
19919,980,980,950,950,15278
19926,950,960,945,960,8089
19933,950,1025,950,980,7641
19940,980,1000,980,980,2228
19947,980,980,980,980,2381
19954,1000,1020,995,995,1839
19961,995,1000,980,980,16337
19968,980,995,935,995,18851
19975,995,1050,975,980,3773
19982,980,1030,975,995,18285
19989,995,1030,950,1020,8136
19996,1020,1030,955,1030,2819
20003,1030,1050,980,980,7306
20010,985,1050,975,1015,1992
20017,1015,1040,995,1020,39259
20024,1095,1120,1095,1100,2634
20031,1100,1100,1020,1095,1106
20038,1095,1095,1025,1090,468
20045,1050,1095,1000,1080,9424
20052,1070,1100,1000,1100,2100
20059,1145,1170,1070,1150,6802
20066,1070,1100,1020,1020,4383
20073,1025,1160,1025,1155,5095
20080,1150,1155,1140,1140,4176
20087,1110,1115,1040,1040,4247
20094,1080,1095,1040,1040,2122
20101,1020,1040,1000,1040,5450
20108,1030,1115,1030,1050,3003
20115,1050,1110,1050,1100,660
20122,1060,1120,1055,1120,838
20129,1120,1120,1120,1120,2303
20136,1120,1120,1080,1120,5106
20143,1085,1170,1085,1170,1776
20150,1165,1200,1100,1170,14844
20157,1170,1235,1150,1235,19045
20164,1325,1400,1325,1395,33420
20171,1375,1375,1255,1340,15360
20178,1255,1340,1235,1245,36688
20185,1245,1330,1240,1310,32689
