d,o,h,l,c,v
18659,7700,7800,7595,7700,881
18666,7500,7700,7500,7650,272
18673,7640,7640,7400,7595,1216
18680,7500,7690,7500,7600,10976
18687,7500,7600,7500,7600,615
18694,7500,7600,7500,7595,463
18701,7600,7600,7500,7580,551
18708,7585,7585,7415,7580,893
18715,7580,7600,7550,7600,739
18722,7600,7600,7500,7600,4266
18729,7600,7700,7500,7550,7364
18736,7550,7550,7490,7490,2585
18743,7490,7800,7490,7795,2654
18750,7795,8400,7795,8400,1808
18757,8290,8290,7795,8000,955
18764,7700,8200,7700,7800,2360
18771,8000,8000,7790,7790,2495
18778,7695,7800,7500,7800,2700
18785,7645,7955,7600,7955,1092
18792,8000,8000,8000,8000,251
18799,8000,8290,7400,8290,1475
18806,8000,8300,7955,8000,3571
18813,8050,8050,7850,7850,750
18820,7410,7900,7410,7900,2218
18827,7990,8300,7900,8300,5129
18834,8200,8300,8200,8275,1477
18841,8200,8200,8180,8200,4147
18848,8195,8200,8000,8200,6502
18855,8100,8200,8100,8195,735
18862,8200,8615,8200,8615,2932
18869,8600,9200,8600,8900,4560
18876,8890,8890,8700,8700,878
18883,8700,8745,8700,8700,2109
18890,8700,9000,8695,9000,4820
18897,9000,9500,9000,9300,2700
18904,9300,9500,9000,9300,2023
18911,9300,9300,9100,9300,1674
18918,9150,9300,9150,9300,3555
18925,9200,9500,9000,9250,3551
18932,9265,9265,9150,9250,659
18939,9150,9245,9150,9245,820
18946,9245,9245,9100,9200,2627
18953,9200,9250,9200,9200,2201
18960,9100,9200,9050,9100,1626
18967,9095,9095,9000,9000,2989
18974,9150,9500,9150,9500,7389
18981,9400,10000,9400,9850,7479
18988,9700,10500,9005,10500,12820
18995,10710,10710,9910,10375,3920
19002,10375,10385,10320,10375,958
19009,10000,10350,10000,10300,75
19016,10230,10230,9900,10140,2821
19023,10000,10000,9180,9850,2821
19030,9200,10700,9200,10700,7907
19037,10600,10995,10045,10800,9131
19044,10800,10800,10250,10745,1895
19051,10790,10790,10005,10750,4216
19058,10700,10700,9900,10400,1551
19065,10400,10400,10200,10305,177
19072,10305,10305,10145,10145,931
19079,10150,10200,9800,9800,2484
19086,9800,9800,9500,9700,2132
19093,9505,9790,9505,9790,603
19100,9790,9790,9600,9600,3622
19107,9600,9690,9300,9690,9292
19114,9300,9690,8880,9600,2980
19121,9600,9600,9010,9300,159
19128,9600,9600,9100,9200,4159
19135,9100,9700,9005,9700,805
19142,9005,9700,9005,9500,3532
19149,9005,9695,9005,9445,7081
19156,9100,9175,9100,9175,3924
19163,9175,9200,9150,9200,3868
19170,9200,9200,8850,8850,1144
19177,9035,9035,8600,8750,463
19184,8750,8900,8750,8900,4548
19191,8900,9120,8900,8900,1977
19198,8900,9000,8550,8800,3181
19205,8995,9100,8405,9000,6316
19212,9000,9000,8600,8895,1541
19219,8895,9000,8600,9000,2053
19226,9000,9000,8615,8700,5576
19233,8800,8800,8550,8690,5149
19240,8700,8705,8680,8690,5437
19247,9000,9000,8700,8975,1126
19254,8975,8975,8705,8975,6244
19261,8600,8975,8600,8960,8508
19268,8320,8875,8320,8875,6819
19275,8875,8875,8450,8550,2870
19282,8550,8900,8495,8900,4347
