d,o,h,l,c,v
18652,400,435,400,435,455
18659,415,475,415,475,12809
18666,440,500,435,435,74858
18673,405,405,365,375,6239
18680,370,395,365,395,6867
18687,390,405,390,400,1400
18694,395,400,395,400,2831
18701,390,405,390,390,1442
18708,390,430,390,430,4190
18715,420,420,410,415,755
18722,415,415,390,410,912
18729,415,430,410,410,2621
18736,425,435,415,435,4355
18743,435,435,430,435,1579
18750,410,440,410,440,2280
18757,435,440,435,440,293
18764,435,435,425,430,2422
18771,435,460,400,460,6809
18778,490,575,485,575,12683
18785,600,810,600,810,16521
18792,820,820,660,660,72648
18799,670,670,575,645,14521
18806,640,640,610,640,17322
18813,685,685,640,640,4273
18820,645,680,645,675,11995
18827,675,675,655,675,2623
18834,660,725,660,720,8558
18841,720,760,700,760,4749
18848,760,835,755,835,18744
18855,800,825,775,800,5746
18862,825,825,800,800,17118
18869,800,835,800,805,7021
18876,810,830,800,830,21855
18883,850,850,820,850,8211
18890,850,850,820,840,56384
18897,840,850,840,850,11063
18904,850,850,840,850,4121
18911,850,1105,850,1105,13654
18918,1030,1105,1025,1050,6535
18925,1050,1115,1025,1115,22743
18932,1045,1250,1045,1150,30404
18939,1150,1235,1000,1235,28489
18946,1105,1450,1105,1300,37693
18953,1300,1350,1215,1300,6604
18960,1305,1395,1300,1375,4308
18967,1350,1350,1260,1325,37351
18974,1325,1325,1250,1285,17989
18981,1250,1260,1215,1215,5710
18988,1260,1270,1190,1190,1290
18995,1190,1250,1105,1240,5823
19002,1150,1230,1130,1230,1863
19009,1205,1235,1200,1230,2862
19016,1200,1250,1120,1250,9603
19023,1245,1250,1150,1150,2234
19030,1155,1200,1125,1155,4817
19037,1155,1195,1155,1155,7727
19044,1150,1215,1150,1215,10109
19051,1255,1255,1165,1200,7250
19058,1170,1200,1160,1180,4031
19065,1175,1175,1160,1160,3400
19072,1160,1195,1160,1190,3634
19079,1195,1195,1120,1145,3159
19086,1145,1145,1120,1135,4358
19093,1135,1150,1060,1080,5394
19100,1070,1070,1060,1060,3898
19107,1060,1150,1060,1145,20317
19114,1145,1145,1080,1080,43730
19121,1135,1135,1005,1005,3433
19128,1005,1005,860,865,6801
19135,865,865,790,800,2355
19142,805,850,740,800,9406
19149,740,910,735,910,66250
19156,910,980,910,910,4902
19163,900,910,865,875,7730
19170,870,900,865,865,12557
19177,870,870,810,850,33156
19184,850,870,850,870,5935
19191,860,870,860,870,5945
19198,870,870,850,850,17263
19205,850,850,830,830,3724
19212,850,850,830,850,43768
19219,850,850,835,840,3242
19226,850,850,830,845,3104
19233,840,850,840,850,6821
19240,850,900,850,895,3184
19247,895,900,845,895,3218
19254,880,895,830,830,3258
19261,830,890,830,850,3381
19268,850,850,825,850,5304
19275,850,985,805,950,8774
19282,925,965,900,960,5898
19289,980,990,890,925,4265
19296,990,990,905,910,4215
19303,905,915,905,915,6107
19310,920,925,920,925,4414
19317,925,960,925,950,4314
19324,925,925,925,925,10125
19331,945,945,915,925,4569
19338,925,950,915,915,13785
19345,975,975,915,930,2550
19352,930,950,930,930,1663
19359,925,955,900,920,14087
19366,915,915,850,880,6330
19373,850,900,770,775,8518
19380,720,785,720,785,9235
19387,785,800,740,800,3923
19394,800,910,800,900,4610
19401,910,910,860,900,14301
19408,900,900,860,860,811
19415,850,850,770,835,1655
19422,775,850,775,850,5485
19429,855,860,845,845,11640
19436,850,850,835,840,1618
19443,840,840,805,805,1740
19450,780,820,780,780,3614
19457,780,820,780,815,1072
19464,810,810,740,740,6614
19471,740,805,740,785,4792
19478,800,800,730,735,2149
19485,785,790,780,780,2704
19492,785,785,765,765,1385
19499,765,765,740,745,2662
19506,765,785,745,785,4768
19513,780,790,780,790,5986
19520,790,800,705,770,5952
19527,785,810,785,800,4239
19534,805,810,805,810,8031
19541,810,820,800,805,34574
19548,805,845,800,845,2979
19555,845,860,845,860,5354
19562,860,860,850,860,3787
19569,860,930,860,930,2311
19576,885,930,885,920,2324
19583,930,950,900,950,24876
19590,955,955,940,950,3307
19597,950,965,900,920,16570
19604,920,965,900,925,1960
19611,920,965,900,900,1946
19618,895,895,840,880,940
19625,870,870,795,845,1822
19632,845,845,760,760,10171
19639,760,775,760,760,48754
19646,790,820,790,820,5302
19653,820,820,790,790,1804
19660,790,790,785,790,1801
19667,790,825,790,820,1031
19674,820,905,790,905,15243
19681,900,900,870,895,65171
19688,895,900,845,845,5628
19695,850,875,845,875,10249
19702,845,875,845,860,2352
19709,860,875,800,875,2434
19716,840,875,840,840,9695
19723,840,870,760,795,15332
19730,785,785,750,750,6412
19737,730,785,730,785,7006
19744,780,785,750,750,1207
19751,750,800,750,770,2313
19758,770,770,715,720,4504
19765,740,745,720,740,6155
19772,685,800,685,800,7155
19779,800,800,770,790,2003
19786,750,790,700,725,4923
19793,725,775,725,735,8742
19800,775,800,775,800,12488
19807,850,850,775,795,7831
