d,o,h,l,c,v
18652,3330,3390,3330,3390,1319
18659,3385,3400,3255,3390,6061
18666,3325,3350,3200,3295,2842
18673,3295,3300,3290,3290,1475
18680,3290,3325,3290,3325,2730
18687,3450,3550,3400,3550,2484
18694,3550,3550,3500,3550,4750
18701,3515,3565,3500,3500,5710
18708,3500,3600,3350,3350,6935
18715,3325,3590,3300,3590,110356
18722,3550,3600,3400,3500,19095
18729,3500,3500,3200,3500,208506
18736,3490,3600,3450,3600,149797
18743,3600,3600,3500,3600,1708
18750,3600,3600,3115,3450,2874
18757,3445,3445,3200,3200,7424
18764,3200,3250,3200,3250,8183
18771,3200,3425,3200,3350,6122
18778,3400,3400,3375,3375,2651
18785,3390,3400,3300,3400,5339
18792,3410,3480,3400,3400,21306
18799,3400,3405,3395,3405,3846
18806,3405,3405,3300,3400,5003
18813,3350,3500,3350,3500,98722
18820,3500,3500,3445,3495,1086
18827,3500,3590,3500,3580,7213
18834,3560,3600,3545,3600,2545
18841,3580,3650,3580,3650,9684
18848,3600,3625,3550,3625,2015
18855,3650,3750,3625,3745,2091
18862,3750,4000,3750,3850,3874
18869,3870,3990,3800,3930,1996
18876,3900,4000,3855,4000,6737
18883,4000,4150,3930,4040,9061
18890,4100,4200,4100,4140,22202
18897,4100,4150,4035,4100,7745
18904,4070,4450,4070,4210,5088
18911,4250,4390,4250,4385,4959
18918,4380,4385,4300,4350,8930
18925,4350,4400,4320,4400,2764
18932,4350,4405,4350,4350,5608
18939,4350,4350,4300,4350,1479
18946,4350,4400,4300,4400,7343
18953,4250,5200,4250,5200,11810
18960,5010,5200,5005,5005,12524
18967,5005,5005,4900,4945,12524
18974,4800,5000,4800,4985,6516
18981,4900,4980,4660,4895,3070
18988,4800,4900,4700,4785,26941
18995,4785,4785,4400,4400,4062
19002,4450,4450,4310,4375,5964
19009,4375,4785,4375,4700,5214
19016,4695,4700,4380,4695,3501
19023,4695,4745,4695,4715,1637
19030,4700,4700,4600,4600,3111
19037,4650,4650,4505,4595,8268
19044,4600,4600,4300,4400,136038
19051,4500,4500,4400,4500,11574
19058,4500,4695,4500,4690,5374
19065,4690,5050,4650,5030,12863
19072,5050,5095,5000,5040,24697
19079,5050,5140,5050,5140,32778
19086,5100,5500,5000,5045,10139
19093,5100,5100,5045,5045,7782
19100,5050,5050,4920,5000,20712
19107,4900,5000,4695,4695,15436
19114,4800,4800,4505,4565,3760
19121,4565,4565,4300,4300,12653
19128,4490,4490,3980,4300,109148
19135,4300,4490,4300,4485,115160
19142,4315,4500,4315,4485,438831
19149,4485,4485,4405,4450,1670
19156,4450,4500,4450,4500,11679
19163,4500,4500,4400,4500,41457
19170,4500,4550,4215,4215,126674
