d,o,h,l,c,v
18652,13,13,13,13,37780
18659,13,13,13,13,67969
18666,13,13,13,13,19390
18673,13,13,13,13,24682
18680,13,13,13,13,18136
18687,13,13,13,13,59395
18694,13,13,13,13,266753
18701,13,13,13,13,29071
18708,13,13,13,13,48158
18715,13,13,13,13,21055
18722,13,13,13,13,25655
18729,13,13,13,13,11671
18736,13,13,13,13,259467
18743,13,13,13,13,118163
18750,13,13,13,13,69830
18757,13,13,13,13,31687
18764,13,13,13,13,206468
18771,13,13,13,13,1364214
18778,13,13,13,13,813204
18785,13,13,13,13,98939
18792,13,13,13,13,164493
18799,13,13,13,13,127685
18806,13,13,13,13,289828
18813,13,13,13,13,108209
18820,13,13,13,13,144856
18827,13,13,13,13,166351
18834,13,13,13,13,341229
18841,13,13,13,13,1222975
18848,13,13,13,13,184802
18855,13,13,13,13,159740
18862,13,13,13,13,513798
18869,13,13,13,13,460593
18876,13,13,13,13,404201
18883,13,13,13,13,273775
18890,13,13,13,13,841726
18897,13,13,13,13,712280
18904,13,13,13,13,273699
18911,13,13,13,13,1284063
18918,13,13,13,13,2828118
18925,13,13,13,13,1245398
18932,13,13,13,13,4033696
18939,13,13,13,13,302443
18946,13,13,13,13,141180
18953,13,13,13,13,162096
18960,13,13,13,13,186211
18967,13,13,13,13,38271236
18974,13,13,13,13,9882877
18981,13,14,13,14,62926706
18988,15,19,15,18,6979633
18995,19,23,19,23,13993103
19002,24,27,24,24,14036668
19009,23,23,19,19,1311795
19016,18,20,16,20,6418057
19023,21,22,19,19,9203178
19030,18,23,18,21,4972999
19037,22,22,19,20,5574464
19044,20,21,20,20,1931254
19051,20,20,16,16,6322774
19058,15,15,14,15,16690558
19065,15,15,14,15,10548481
19072,15,18,15,18,4029078
19079,18,18,17,17,3487055
19086,17,17,16,17,659554
19093,17,17,16,17,2889033
19100,17,17,17,17,459863
19107,17,17,17,17,4273951
19114,17,17,16,17,2892343
19121,17,17,16,17,1498981
19128,17,17,15,16,4672740
19135,16,16,15,16,1913893
19142,16,16,16,16,4506866
19149,16,16,15,16,489844
19156,16,16,15,16,1731347
19163,16,16,15,15,3883644
19170,15,16,15,16,3858183
19177,15,16,15,16,430632
19184,16,17,15,17,3717419
19191,17,18,17,18,2249795
19198,18,19,18,19,1961134
19205,18,19,18,19,3856854
19212,18,19,18,18,1116511
19219,18,18,17,18,648484
19226,18,19,18,18,1527087
19233,18,19,18,18,1970422
19240,18,19,18,19,888086
19247,19,19,18,19,1362832
19254,19,19,18,19,1267074
19261,19,19,18,19,878930
19268,19,19,18,19,3049711
19275,18,19,18,18,4612639
19282,19,19,18,19,3850638
19289,19,19,18,19,538151
19296,19,19,18,19,321883
19303,19,20,19,20,1806423
19310,20,20,19,19,902512
19317,19,20,19,20,1991185
