d,o,h,l,c,v
18652,1350,1400,1350,1400,948
18659,1505,1505,1400,1405,548
18666,1405,1425,1405,1420,908
18673,1420,1420,1375,1375,664
18680,1400,1450,1400,1450,920
18687,1450,1500,1410,1450,1020
18694,1450,1485,1410,1485,8981
18701,1485,1485,1470,1475,1251
18708,1450,1485,1450,1480,5216
18715,1450,1475,1400,1450,5279
18722,1400,1450,1390,1450,4382
18729,1400,1450,1350,1365,1305
18736,1370,1565,1370,1565,158584
18743,1680,1890,1680,1840,47983
18750,1830,1830,1775,1795,15526
18757,1715,1800,1715,1800,5749
18764,1750,1825,1750,1800,17163
18771,1810,1900,1790,1855,24016
18778,1950,2000,1950,1990,28149
18785,1900,2000,1900,2000,27273
18792,1995,2000,1900,1900,4153
18799,1850,1980,1850,1980,4888
18806,1900,2100,1900,2100,30489
18813,2100,2100,2000,2040,8482
18820,2040,2045,2000,2045,8864
18827,2050,2085,2040,2085,20983
18834,2095,2195,1940,1950,20222
18841,1940,1940,1850,1890,4769
18848,1890,1895,1855,1860,17615
18855,1985,1990,1900,1975,2214
18862,1975,1975,1905,1945,8231
18869,1945,1970,1910,1950,3676
18876,1950,1980,1925,1930,30609
18883,1980,1980,1860,1975,16565
18890,1975,1990,1900,1950,18301
18897,1950,1950,1900,1900,22904
18904,1900,1900,1850,1850,27217
18911,1850,1930,1845,1845,11490
18918,1860,1860,1605,1605,12478
18925,1610,1790,1610,1670,9188
18932,1700,1805,1610,1800,8283
18939,1800,1800,1780,1800,13025
18946,1780,1850,1700,1700,17495
18953,1825,1825,1700,1700,7084
18960,1800,1800,1700,1750,5041
18967,1795,1795,1605,1615,8654
18974,1700,1700,1600,1670,6946
18981,1615,1675,1600,1675,4849
18988,1610,1680,1500,1680,23996
18995,1650,1650,1500,1550,4440
19002,1575,1700,1510,1700,6308
19009,1575,1790,1575,1790,9676
19016,1780,1790,1700,1700,2947
19023,1700,1700,1610,1700,2235
19030,1685,1745,1640,1640,5702
19037,1645,1650,1600,1630,6602
19044,1600,1600,1560,1595,6755
19051,1595,1595,1575,1575,20755
19058,1575,1650,1460,1650,16620
19065,1580,1580,1470,1470,14348
19072,1570,1570,1415,1520,107298
19079,1520,1600,1520,1560,5611
19086,1590,1590,1310,1405,23857
19093,1405,1570,1405,1480,5175
19100,1485,1600,1480,1585,53517
19107,1580,1580,1405,1500,13832
19114,1575,1575,1405,1405,2665
19121,1300,1300,1205,1250,12620
19128,1225,1385,1210,1385,11017
19135,1445,1445,1300,1390,11027
19142,1390,1390,1295,1295,8005
19149,1300,1335,1200,1335,29052
19156,1305,1345,1300,1340,2040
19163,1340,1340,1250,1320,3213
19170,1300,1300,1205,1295,21048
19177,1305,1395,1305,1395,9198
19184,1395,1395,1320,1320,955
19191,1300,1345,1300,1340,7120
19198,1340,1345,1250,1300,8807
19205,1300,1300,1255,1300,4682
19212,1255,1340,1255,1320,11353
19219,1320,1320,1255,1290,4687
19226,1255,1295,1255,1295,2828
19233,1260,1295,1250,1285,3114
19240,1290,1290,1255,1275,3131
19247,1275,1275,1250,1275,3985
19254,1290,1295,1275,1275,8442
19261,1275,1295,1245,1245,6914
19268,1245,1250,1215,1250,1474
19275,1250,1395,1215,1385,3120
19282,1380,1380,1165,1200,7312
19289,1290,1300,1210,1270,559
19296,1250,1350,1250,1300,2227
19303,1300,1300,1200,1235,18153
19310,1235,1235,1160,1225,2075
19317,1200,1235,1150,1225,2867
19324,1220,1220,1105,1105,3598
19331,1080,1250,1080,1250,5406
19338,1225,1350,1225,1290,9045
19345,1200,1395,1200,1395,24707
19352,1335,1630,1300,1600,57654
19359,1480,1495,1390,1390,834
19366,1395,1395,1295,1300,1590
19373,1300,1380,1300,1350,1113
19380,1350,1400,1280,1280,1132
19387,1255,1350,1205,1250,4221
19394,1250,1255,1200,1250,3212
19401,1255,1255,1080,1200,17374
19408,1200,1280,1200,1250,1483
19415,1200,1200,1190,1200,102183
19422,1200,1235,1165,1165,1012
19429,1170,1200,1160,1200,3466
19436,1200,1225,1180,1200,1418
19443,1210,1225,1150,1195,2175
19450,1200,1200,1110,1200,5650
19457,1200,1230,1115,1230,1029
19464,1225,1225,1205,1205,80
19471,1185,1185,1100,1175,484
19478,1175,1175,1090,1170,778
19485,1175,1185,1090,1180,5906
19492,1185,1185,1100,1150,2394
19499,1150,1175,1150,1165,6939
19506,1175,1200,1165,1170,2730
19513,1165,1180,1095,1100,2986
19520,1170,1170,1080,1100,6729
19527,1100,1100,1080,1100,4104
19534,1100,1100,1080,1100,2526
19541,1100,1170,1100,1100,21709
19548,1090,1170,1090,1100,17268
19555,1170,1180,1100,1110,32982
19562,1130,1145,1080,1125,32113
19569,1120,1125,1100,1125,9901
19576,1100,1125,1100,1100,56362
19583,1080,1175,1080,1120,7990
19590,1120,1120,1100,1120,3676
19597,1120,1120,1110,1120,25285
19604,1120,1120,1115,1120,11712
19611,1175,1175,1115,1115,9915
19618,1115,1175,1110,1170,3224
19625,1170,1170,1115,1115,17312
19632,1115,1175,1100,1175,5095
19639,1170,1170,1115,1170,50117
19646,1170,1170,1075,1075,112734
19653,1100,1110,1075,1080,5965
19660,1100,1350,1100,1350,49420
19667,1420,1635,1420,1420,36449
19674,1405,1580,1405,1570,26789
19681,1510,1815,1510,1815,39169
19688,1750,1830,1695,1745,10173
19695,1720,1845,1610,1845,61085
19702,1845,1845,1685,1810,37656
19709,1800,2085,1680,2085,95022
19716,1925,2085,1840,1840,45625
19723,1900,1900,1710,1795,15447
19730,1750,1750,1690,1745,2560
19737,1675,1745,1630,1745,1724
19744,1750,1750,1705,1750,6326
19751,1685,1750,1675,1715,1336
19758,1700,1800,1700,1800,12698
19765,1800,1950,1750,1930,27755
19772,1805,2000,1805,1990,6459
19779,1875,2000,1875,1900,3816
19786,1895,1975,1895,1945,5169
19793,1850,1945,1850,1900,5631
19800,1900,1940,1900,1940,7379
19807,1940,1940,1910,1930,4091
19814,1930,1930,1930,1930,9471
19821,1925,1930,1915,1915,3862
19828,1925,2000,1855,1855,21223
19835,1935,2000,1875,1995,5830
19842,1990,2000,1965,1965,5525
19849,1965,1965,1910,1950,11176
19856,1910,1910,1400,1400,3479
19863,1400,1400,1295,1385,55465
19870,1380,1380,1350,1350,26381
19877,1350,1350,1280,1350,20853
19884,1350,1370,1345,1365,25001
19891,1365,1365,1300,1300,4000
19898,1325,1380,1325,1380,13293
19905,1380,1400,1370,1375,18213
19912,1370,1400,1350,1390,11646
19919,1395,1395,1355,1395,2062
19926,1395,1400,1390,1390,16306
19933,1390,1550,1390,1520,8714
19940,1510,1510,1450,1490,2002
19947,1510,1510,1375,1475,3171
19954,1410,1475,1410,1445,2642
19961,1450,1490,1410,1490,7086
19968,1485,1500,1475,1500,11071
19975,1500,1510,1410,1490,10937
19982,1490,1530,1490,1500,16575
19989,1510,1530,1305,1345,16086
19996,1345,1440,1335,1430,12258
20003,1425,1430,1350,1390,15524
20010,1390,1445,1390,1440,9280
20017,1360,1425,1350,1360,1674
20024,1395,1400,1360,1395,4309
20031,1425,1470,1380,1470,18753
20038,1500,1590,1500,1570,61999
20045,1575,1600,1570,1570,35061
20052,1570,1800,1570,1800,48808
20059,1800,1850,1800,1805,22197
20066,1805,1805,1700,1700,10179
20073,1700,1745,1680,1730,39211
20080,1700,1745,1700,1730,3915
20087,1750,1890,1750,1885,39228
20094,1880,1880,1805,1805,9774
20101,1805,1850,1800,1850,16278
20108,1825,1945,1825,1925,25846
20115,1925,1925,1875,1910,21350
20122,1880,1950,1880,1950,13539
20129,1950,1995,1950,1980,11743
20136,1985,2165,1960,2165,24794
20143,2250,2400,2250,2400,54096
20150,2445,2950,2445,2950,67940
20157,3170,3255,2995,3175,47454
20164,3200,3375,3125,3295,55042
20171,3295,3300,3050,3280,51819
20178,3200,3280,3070,3200,128241
20185,3190,3400,3055,3375,173244
20192,3380,3405,3345,3350,101807
20199,3345,3350,3240,3240,77141
20206,3250,3250,3150,3150,91780
20213,3100,3720,3000,3720,793928
20220,3770,4150,3770,3995,131429
20227,4000,4235,3940,4235,158758
20234,4550,5645,4550,5645,23794
20241,6065,6520,6065,6200,335800
20248,6110,6110,5305,5780,166675
20255,5800,5800,5495,5495,68630
20262,5480,5480,4190,4190,132548
20269,3880,4715,3590,4495,154242
20276,4475,4590,4140,4395,63802
20283,4400,4400,4300,4370,58567
20290,4395,5345,4395,4860,143628
20297,4840,4990,4690,4950,22550
20304,4950,4950,4810,4810,22014
20311,4850,4850,4750,4750,13540
20318,4795,4850,4700,4850,32230
20325,4905,4920,4790,4790,41689
20332,4750,4790,4700,4760,40517
20339,4760,4795,4760,4790,66400
20346,4790,4790,4500,4600,92120
20353,4600,4605,1885,2185,133061
20360,2185,3120,2185,3120,93218
20367,3350,3395,2655,2905,129040
20374,3100,3100,2800,2920,58572
20381,2900,2930,2800,2920,30674
20388,2910,2910,2405,2405,55369
20395,2230,2230,1780,2200,52751
20402,2350,2600,2350,2350,27585
20409,2350,2350,2250,2290,18934
20416,2290,2300,2085,2240,35164
20423,2240,2300,2240,2295,16468
20430,2295,2305,2250,2295,9670
20437,2300,2300,2230,2300,36106
20444,2300,2300,2265,2295,17494
20451,2295,2295,2195,2195,12638
20458,2035,2215,1800,2155,46221
20465,2155,2160,2130,2135,26592
20472,2135,2180,2040,2040,24053
20479,2100,2120,2065,2065,9872
20486,2175,2175,2100,2100,3568
