d,o,h,l,c,v
18652,215,215,215,215,2850
18659,215,215,215,215,2881
18666,215,215,215,215,45
18673,215,215,210,210,136
18680,205,205,205,205,271
18687,205,205,195,195,2880
18694,190,190,190,190,5460
18701,190,190,190,190,16
18708,180,180,180,180,9013
18715,190,190,190,190,210
18722,190,190,160,160,1848
18729,160,160,150,150,4378
18736,150,170,150,170,36005
18743,180,230,180,230,1017
18750,245,315,245,315,15632
18757,320,320,300,300,13795
18764,305,320,290,290,5642
18771,300,300,280,300,12554
18778,300,300,270,270,4296
18785,250,265,250,250,12640
18792,255,340,255,340,3596
18799,365,475,365,415,36460
18806,420,450,400,400,13644
18813,415,415,345,370,10802
18820,370,420,370,420,2405
18827,415,430,390,390,1640
18834,365,390,320,320,40166
18841,300,340,300,330,31459
18848,350,365,320,365,104360
18855,390,510,385,510,56291
18862,510,620,510,530,36164
18869,510,590,500,565,97211
18876,565,565,515,525,7321
18883,505,530,505,525,9646
18890,550,550,500,540,25092
18897,550,555,500,535,73363
18904,530,530,500,500,13749
18911,500,535,500,510,3231
18918,510,530,490,490,6082
18925,490,525,490,510,6894
18932,500,670,500,655,31943
18939,665,665,590,590,9233
18946,590,590,525,540,46322
18953,515,580,515,535,3262
18960,535,580,535,550,6378
18967,575,575,525,535,6028
18974,535,575,535,570,9595
18981,610,610,610,610,16205
18988,610,625,580,625,8541
18995,615,615,565,590,3402
19002,590,590,560,560,10634
19009,570,595,570,590,4520
19016,590,605,590,605,15419
19023,605,650,600,650,14147
19030,650,760,650,750,22086
19037,800,890,760,890,25361
19044,890,950,790,790,29735
19051,780,780,750,760,15379
19058,710,740,650,705,6672
19065,710,755,710,745,8042
19072,770,800,750,800,6097
19079,800,845,800,810,17509
19086,770,835,770,800,2600
19093,800,820,790,800,17668
19100,805,810,805,810,5610
19107,820,840,810,840,15217
19114,830,840,625,625,31959
19121,585,625,585,590,13447
19128,625,655,625,655,9830
19135,625,655,625,645,2261
19142,605,655,605,655,17733
19149,645,645,600,645,747
19156,645,645,630,645,958
19163,655,655,640,645,4246
19170,655,655,625,625,2341
19177,625,645,610,645,1145
19184,645,670,640,640,1020
19191,640,725,640,725,2178
19198,680,725,680,720,1127
19205,720,720,660,700,3401
19212,710,710,660,700,7375
19219,660,700,645,690,4657
19226,685,715,685,710,10840
19233,710,725,680,680,5897
19240,680,715,640,680,864
19247,680,680,605,660,2991
19254,660,715,630,705,5020
19261,700,700,695,695,230
19268,700,700,645,650,758
19275,650,695,645,650,28111
19282,650,715,650,715,16729
19289,715,760,670,760,25079
19296,720,805,720,780,18422
19303,780,795,780,780,5827
19310,780,780,725,725,10870
19317,725,725,675,725,101
19324,720,720,720,720,50
19331,665,775,665,775,11158
19338,770,800,770,795,1001
19345,740,750,685,750,418
19352,700,800,700,800,3114
19359,790,800,695,695,1473
19366,690,690,635,635,1245
19373,640,640,600,640,2084
19380,640,700,640,700,1241
19387,685,700,685,695,1162
19394,695,695,610,650,4130
19401,650,695,650,695,6732
19408,695,695,650,695,129
19415,685,695,635,695,193
19422,690,690,650,690,376
19429,680,690,650,690,964
19436,685,690,610,690,1771
19443,690,690,640,680,2550
19450,680,680,680,680,782
19457,680,680,680,680,517
19464,630,675,630,675,376
19471,670,670,665,665,3336
19478,670,670,650,665,5369
19485,620,650,605,650,774
19492,690,690,605,670,1633
19499,670,670,650,670,1346
19506,655,690,655,680,3421
19513,630,680,630,680,944
19520,680,680,675,675,265
19527,680,680,645,680,500
19534,680,695,680,695,6266
19541,695,695,695,695,9939
19548,700,700,690,690,1103
19555,690,690,685,690,790
19562,690,700,685,700,1615
19569,700,700,635,700,3194
19576,635,700,635,680,2901
19583,675,675,675,675,490
19590,675,675,645,645,690
19597,650,650,605,610,1053
19604,630,630,610,630,1601
19611,630,675,630,665,2313
19618,660,660,620,650,1243
19625,645,645,640,640,914
19632,635,640,625,640,3392
19639,640,645,610,635,394
19646,635,635,615,625,265
19653,620,620,610,620,283
19660,615,615,555,590,1811
19667,590,630,590,600,2456
19674,600,600,600,600,306
19681,600,660,590,640,4834
19688,595,635,595,615,7075
19695,615,660,615,660,1507
19702,690,705,615,705,8015
19709,700,730,630,730,12717
19716,670,750,670,725,11850
19723,725,740,700,740,60652
19730,685,730,670,670,365
19737,670,670,650,650,234
19744,605,605,590,595,1621
19751,595,680,590,630,10984
19758,630,630,585,590,3580
19765,590,625,585,625,2990
19772,590,690,590,690,4636
19779,690,750,690,750,2575
19786,720,720,680,685,3714
19793,635,680,625,675,478
19800,625,670,610,670,3851
19807,670,670,620,660,839
19814,620,675,610,675,1436
19821,665,665,620,660,1176
19828,615,660,600,650,2364
19835,610,765,610,745,22411
19842,740,765,740,765,16377
19849,750,760,750,755,8102
19856,755,755,720,750,4389
19863,720,750,720,745,3591
19870,745,860,745,845,22477
19877,830,845,800,835,3816
19884,840,890,835,870,7905
19891,870,880,815,850,2710
19898,850,850,740,845,5798
19905,840,840,760,770,2287
19912,720,795,720,790,2066
19919,790,790,770,770,385
19926,745,785,720,780,2051
19933,765,780,765,770,2343
19940,775,775,760,765,1577
19947,715,770,715,765,2202
19954,770,770,715,765,1169
19961,765,785,765,785,40002
19968,785,785,730,780,7568
19975,735,785,715,720,1191
19982,720,785,715,785,155355
19989,770,775,720,775,8206
19996,775,785,765,765,950
20003,765,765,710,765,40970
20010,765,815,760,800,15256
20017,800,800,735,740,2185
20024,740,790,710,790,5652
20031,815,815,710,780,1312
20038,780,780,725,780,1373
20045,765,780,715,765,5609
20052,720,780,720,780,3582
20059,780,780,725,770,452
20066,770,770,750,750,2607
20073,750,750,685,750,1139
20080,750,750,750,750,186
20087,750,750,750,750,255
20094,720,720,675,720,1761
20101,710,710,620,695,433
20108,645,750,645,750,33949
20115,745,745,710,740,243
20122,745,745,710,740,638
20129,740,740,700,730,1137
20136,730,730,720,730,3076
20143,730,740,730,730,1999
20150,740,740,690,730,2046
20157,735,735,680,680,2219
20164,725,730,715,730,1611
20171,730,730,720,730,6087
20178,720,730,720,720,938
20185,720,720,620,620,5878
20192,600,620,540,615,19814
20199,615,615,600,600,2057
20206,565,600,565,595,8443
20213,590,590,540,540,21289
20220,515,600,515,575,7852
20227,570,570,540,545,41725
20234,540,555,530,555,17380
20241,555,555,540,555,3611
20248,555,560,555,555,12196
20255,565,600,565,585,11916
20262,585,600,585,600,7348
20269,600,600,575,580,1080
20276,580,600,580,590,4772
20283,590,600,580,580,635
20290,590,595,585,590,514
20297,590,595,550,590,4931
20304,590,600,590,595,2870
20311,595,600,590,595,767
20318,555,600,555,560,8476
20325,560,630,560,630,2955
20332,635,690,635,675,4546
20339,685,685,655,665,6382
20346,665,665,655,665,6935
20353,690,690,645,680,4707
20360,655,690,655,685,5606
20367,680,690,655,690,5338
20374,690,725,670,700,14450
20381,715,715,680,685,3715
20388,685,825,685,825,59902
20395,885,1095,885,1015,37942
20402,940,1000,930,995,12950
20409,995,995,920,945,6950
20416,945,945,900,905,7026
20423,905,950,900,950,3963
20430,950,950,915,945,4303
20437,900,945,895,900,22691
20444,900,1040,900,1040,19669
20451,1115,1200,1110,1110,25884
20458,1030,1150,980,1150,11596
20465,1200,1205,1125,1135,80237
20472,1205,1205,1130,1155,48888
20479,1155,1175,1155,1170,10681
20486,1205,1275,1205,1275,1805
