d,o,h,l,c,v
18652,4400,4400,4400,4400,2
18659,4500,4550,4400,4400,9124
18666,4400,4550,4095,4095,394
18673,4095,4095,3565,3565,457
18680,3405,3600,3200,3500,4597
18687,3500,3500,3450,3495,1174
18694,3755,3890,3600,3600,4479
18701,3600,3800,3600,3700,1030
18708,3700,3795,3515,3600,7479
18715,3600,3800,3525,3800,631
18722,3555,3800,3555,3750,2049
18729,3650,3800,3650,3700,4744
18736,3750,3850,3605,3605,1214
18743,3850,3995,3635,3995,8431
18750,3995,4200,3995,4195,7840
18757,4000,4000,3700,3800,5391
18764,3800,4085,3800,3850,2122
18771,3815,4350,3815,4350,3767
18778,4350,4800,4350,4800,31812
18785,4900,4980,4800,4980,14276
18792,4900,5300,4625,5300,8595
18799,5300,5600,5000,5200,4792
18806,5195,5200,4900,5000,2372
18813,4900,5100,4800,5100,3895
18820,4950,5000,4655,4800,587
18827,4850,4850,4700,4700,17083
18834,4750,4995,4750,4950,1445
18841,5000,5100,4900,5095,24373
18848,5000,5000,4995,5000,20343
18855,4995,5100,4990,5095,2366
18862,5100,5100,5095,5095,3876
18869,5050,5100,4800,4900,7802
18876,4990,6605,4990,6200,20017
18883,5775,6190,5775,6060,7521
18890,6100,6195,6100,6115,14941
18897,6150,6150,5900,5905,12132
18904,5905,6000,5755,5755,3594
18911,5800,5980,5710,5920,9673
18918,5920,6100,5905,5920,7734
18925,5925,6400,5905,6400,6815
18932,6200,6400,6020,6020,6265
18939,6030,6190,6030,6190,3623
18946,6100,6200,6100,6200,7637
18953,6200,6300,6150,6200,2883
18960,6200,6500,6010,6500,8774
18967,6500,6500,6210,6210,3761
18974,6210,6400,6200,6200,1368
18981,6100,6200,5700,6195,2909
18988,5735,6250,5690,6185,13949
18995,6185,6185,5800,5800,3216
19002,6000,6000,5550,6000,2502
19009,6000,6000,5625,5980,246
19016,5980,6000,5550,6000,1997
19023,5995,5995,5755,5945,1307
19030,5800,5800,5745,5750,4535
19037,5750,5750,5650,5750,4630
19044,5650,5750,5650,5745,9763
19051,5750,5750,5505,5600,7190
19058,5600,6000,5600,6000,15940
19065,5800,5900,5550,5550,7944
19072,5550,5950,5510,5950,9715
19079,5750,5940,5750,5800,11644
19086,5800,5900,5650,5795,3696
19093,5795,5800,5515,5700,38394
19100,5700,5995,5700,5800,5146
19107,5760,5970,5750,5850,2764
19114,5850,5850,5750,5750,13575
19121,5800,5850,5405,5850,1525
19128,5800,5850,5800,5840,1983
19135,5740,5740,5300,5495,4751
19142,5495,5840,5320,5320,3303
19149,5410,5410,5200,5220,4429
19156,5200,5300,5200,5300,4795
19163,5585,5700,5270,5700,3297
19170,5700,5850,5700,5850,12205
19177,5650,5850,5610,5800,1628
19184,5800,5800,5580,5600,2427
19191,5500,5970,5500,5910,1645
19198,5900,5965,5600,5600,2394
19205,5600,5875,5275,5275,1651
19212,5700,5700,5275,5670,2530
19219,5600,5670,5235,5670,1791
19226,5670,5955,5180,5180,13720
19233,5000,5650,5000,5350,4812
19240,5350,5605,5205,5395,3021
19247,5500,5600,5230,5230,6560
19254,5250,5450,5230,5450,10765
19261,5250,5550,5240,5300,5469
19268,5295,5295,5160,5190,4048
19275,5190,5190,4900,4920,7602
19282,5095,5095,4900,5000,20057
19289,5000,5000,5000,5000,3452
19296,5000,5000,4580,4600,1526
19303,4585,5000,4585,5000,3107
19310,5000,5000,4500,4505,4354
19317,4595,4750,4450,4550,5296
19324,4500,4550,4205,4245,3054
19331,4245,4750,4245,4750,1294
19338,4750,5900,4745,5900,38218
19345,5590,6200,5455,6100,38681
19352,6060,6100,5600,5975,48222
19359,5600,5975,5450,5490,32249
19366,5480,5490,5185,5185,378
19373,5180,5180,4700,4995,3212
19380,4995,5000,4725,4980,632
19387,4725,4980,4720,4975,892
19394,4800,4975,4800,4900,1917
19401,4900,5000,4755,4990,6736
19408,4990,5095,4755,5000,3683
19415,4985,4990,4750,4800,13063
19422,4795,4900,4795,4855,8618
19429,4865,4960,4800,4960,2221
19436,4960,5000,4960,5000,6804
19443,5000,5000,4900,4900,2398
19450,4900,5000,4900,5000,3192
19457,5000,5000,4750,5000,1187
19464,4750,4995,4705,4705,832
19471,4800,5050,4705,5000,1632
19478,4980,5300,4900,5295,935
19485,5295,5305,5005,5105,2693
19492,5000,5100,4900,5100,2100
19499,5150,5150,5000,5000,2121
19506,5105,5300,4815,5290,2096
19513,5000,5295,5000,5285,2346
19520,5280,5300,5180,5300,890
19527,5300,5300,5200,5250,5325
19534,5250,5250,5150,5245,6481
19541,5250,5500,5245,5480,5414
19548,5480,5750,5365,5510,3890
19555,5900,5900,5355,5800,5205
19562,5455,5795,5455,5685,991
19569,5685,5700,5450,5555,2649
19576,5500,5555,5400,5500,4333
19583,5795,5795,5460,5700,1669
19590,5465,5785,5460,5770,4535
19597,5900,5910,5500,5910,15846
19604,5700,6200,5700,6200,1666
19611,6000,6350,6000,6350,1795
19618,6345,6350,6105,6350,1702
19625,6345,6345,6100,6315,1495
19632,6300,6310,6000,6300,2470
19639,5890,6300,5890,6300,20568
19646,6300,6300,6005,6265,5565
19653,6265,6270,6005,6260,1421
19660,6260,6260,6010,6010,990
19667,6100,6260,6090,6255,3047
19674,6125,6255,6010,6230,1161
19681,6150,6200,6005,6200,6319
19688,6090,6200,5780,5800,26175
19695,5800,5900,5785,5900,5056
19702,5900,5900,5800,5800,2800
19709,5800,5800,5700,5700,3449
19716,5700,6020,5600,6000,30656
19723,6000,6000,5795,5795,6282
19730,5795,5795,5690,5750,2041
19737,5750,5750,5320,5745,5051
19744,5320,5590,5320,5585,503
19751,5600,5760,5600,5760,4297
19758,5760,5800,5700,5790,1387
19765,5800,5800,5650,5750,2367
19772,5750,5750,5600,5735,1971
19779,5560,5750,5455,5745,17075
19786,5745,5745,5495,5600,7183
19793,5600,5600,5325,5325,1070
19800,5320,5600,5320,5350,2066
19807,5320,5695,5320,5690,11904
19814,5695,5695,5595,5600,3193
19821,5600,5695,5550,5695,2523
19828,5695,6120,5090,5800,13089
19835,5800,6000,5790,5800,2071
19842,5800,5800,5690,5800,2300
19849,5700,5800,5690,5715,1904
19856,5750,5800,5700,5800,3326
19863,5800,6000,5800,6000,3924
19870,6000,6000,5995,5995,3915
19877,5995,6000,5995,6000,7915
19884,6000,6300,5995,6250,1951
19891,6250,6250,5915,6250,3692
19898,6250,6300,6000,6290,6974
19905,6295,6300,5975,6250,8889
19912,6250,6250,5995,5995,28605
19919,6000,6000,5905,5995,1832
19926,5910,6000,5910,6000,1402
19933,6000,6000,5880,5980,4052
19940,5980,6000,5900,5980,3628
19947,5980,6275,5950,6100,6242
19954,6000,6200,5990,6200,4529
19961,6200,6500,6200,6495,14587
19968,6495,6495,6450,6490,6657
19975,6495,6495,6350,6455,8268
19982,6455,6455,6200,6395,22723
19989,6400,6400,6165,6300,12564
19996,6280,6455,6280,6455,6518
20003,6455,6455,6400,6430,14319
20010,6430,6435,6400,6435,4928
20017,6435,7445,6435,7400,9080
20024,7445,7950,7445,7805,4124
20031,7805,7805,7200,7445,4569
20038,7445,7650,7445,7500,5965
20045,7500,7600,7300,7300,14166
20052,7300,7600,7300,7580,9852
20059,7580,7580,7405,7440,2806
20066,7405,7445,7360,7400,5079
20073,7400,7400,7200,7200,8324
20080,7200,7300,7150,7150,6291
20087,7150,7200,7090,7200,7360
20094,7200,7300,7200,7295,3598
20101,7205,7350,7205,7350,17828
20108,7400,7650,7395,7650,4981
20115,7600,7600,7410,7590,3650
20122,7590,8395,7590,8200,3809
20129,8200,8400,8200,8400,5356
20136,8400,9095,8400,9050,10990
20143,9085,9085,8620,8620,3707
20150,8830,8830,8700,8800,9037
20157,8700,9000,8700,8985,8265
20164,8990,9000,8800,8890,15260
20171,8890,8890,8400,8400,17997
20178,8450,8450,8200,8200,15559
20185,8200,8250,7800,8000,8078
20192,8095,8200,8095,8190,2884
20199,8185,8200,8010,8195,4316
20206,8130,8200,7950,8095,18343
20213,8095,8655,8095,8655,3591
20220,8650,8760,8590,8610,11423
20227,8600,8600,8500,8600,16938
20234,8600,8650,8490,8650,35265
20241,8800,9000,8800,8985,3987
20248,8985,8995,8700,8800,16421
20255,8800,9500,8800,9500,13980
20262,9500,10400,9500,10400,9573
20269,10205,10400,9510,10200,14253
20276,10000,10000,9405,9550,5859
20283,9545,9900,9450,9900,6739
20290,9500,9900,9500,9700,3052
20297,9700,9700,9500,9600,8510
20304,9655,9695,9500,9600,25823
20311,9600,9600,9310,9390,6510
20318,9415,9695,9415,9690,8142
20325,9685,10000,9685,10000,16438
20332,9710,10000,9710,10000,4576
20339,10100,10210,9995,10180,10479
20346,10300,11815,10300,11815,15414
20353,11795,11795,11205,11450,5622
20360,11500,11500,11205,11205,3599
20367,11200,11450,10985,11450,17068
20374,11000,11300,11000,11190,3176
20381,11190,11200,10995,11195,6982
20388,11200,12000,11200,12000,22249
20395,11490,11995,11300,11800,6719
20402,11800,11850,11800,11820,15093
20409,11820,12000,11805,11990,8372
20416,11990,12000,11955,11990,5885
20423,11905,11990,11505,11985,4141
20430,11990,11990,11880,11980,2989
20437,11900,11940,11500,11500,4838
20444,11500,11500,11000,11450,7818
20451,11450,11450,11350,11430,10453
20458,11400,11400,11200,11250,5869
20465,11450,11450,11155,11405,6843
20472,11450,12195,11450,12115,5105
20479,12050,12100,12050,12095,2351
20486,12400,12495,12400,12495,1096
