d,o,h,l,c,v
18652,650,690,650,690,105
18659,700,745,700,740,5026
18666,700,700,600,600,701
18673,600,600,550,600,3185
18680,600,705,600,705,1373
18687,705,750,705,725,1732
18694,730,730,720,720,144
18701,720,720,700,700,217
18708,700,700,645,645,310
18715,645,645,615,620,948
18722,620,620,595,595,1845
18729,590,590,550,590,342
18736,590,720,585,720,3875
18743,770,1020,770,1020,1070
18750,1095,1450,1095,1450,1038
18757,1555,1795,1555,1795,373
18764,1925,2555,1925,2555,10104
18771,2555,3395,2555,3395,11748
18778,3400,3400,3100,3100,8945
18785,3200,3400,3000,3400,8670
18792,3400,3400,3255,3390,1392
18799,3395,3585,3395,3585,714
18806,3585,3600,3500,3500,17438
18813,3500,3545,3200,3545,9538
18820,3545,3700,3540,3695,1061
18827,3695,4265,3695,4000,4124
18834,4000,4000,3690,3695,6296
18841,3695,3695,3675,3690,2420
18848,3690,3700,3410,3700,4055
18855,3900,3900,3700,3820,275
18862,3820,4000,3820,3900,2841
18869,3850,3910,3850,3885,3660
18876,3900,3950,3885,3900,3058
18883,3950,3950,3900,3900,1319
18890,3900,3910,3890,3890,72704
18897,3900,3900,3700,3900,239124
18904,3900,3950,3895,3910,9754
18911,3930,4000,3900,4000,48179
18918,3940,4955,3940,4955,1510
18925,5100,5590,5100,5200,6592
18932,5400,5400,4800,4800,7034
18939,4800,4800,4210,4210,6888
18946,4490,4670,4210,4670,3734
18953,4665,5050,4580,5050,11588
18960,4680,4710,4665,4665,35510
18967,4700,4700,4655,4670,26319
18974,4670,4670,4600,4665,5704
18981,4670,4670,4600,4650,11887
18988,4650,4670,4600,4605,2186
18995,4670,4670,4615,4665,1942
19002,4665,4900,4665,4800,21565
19009,4800,5145,4800,5130,9089
19016,5145,5440,5130,5440,3691
19023,5450,5745,5280,5300,5388
19030,5300,5300,5275,5275,4152
19037,5275,5500,5275,5500,8103
19044,5500,5650,5500,5630,2658
19051,5630,5950,5550,5800,2395
19058,5800,5800,5550,5795,3181
19065,5680,5795,5605,5650,773
19072,5615,5820,5615,5820,3510
19079,5700,6790,5700,6790,4788
19086,6700,6745,6115,6400,642
19093,6100,6665,6000,6665,1115
19100,7160,8500,7160,8500,34502
19107,7865,7865,7185,7755,18047
19114,7185,7755,7185,7300,7665
19121,7300,7300,7050,7200,1610
19128,6700,7095,6700,7000,2811
19135,7000,7200,6920,6930,50497
19142,6950,7535,6950,7000,24746
19149,7005,7350,6995,6995,9269
19156,6995,7000,6995,7000,5604
19163,7000,7205,7000,7200,6457
19170,7200,7200,6900,7180,7314
19177,7180,7180,7000,7000,714
19184,7100,7200,7000,7000,5153
19191,7000,7200,7000,7185,16092
19198,7185,7600,6230,6940,26813
19205,6940,6940,6540,6590,4352
19212,6540,6590,6400,6495,8169
19219,6400,6725,6300,6725,56423
19226,6295,7000,6295,6950,14904
19233,6950,7150,6500,6700,12606
19240,6600,6695,6155,6535,30808
19247,6200,6890,6200,6800,29862
19254,6495,6790,6285,6780,62007
19261,6700,7100,6700,7100,6442
19268,7100,7100,6600,6920,2023
19275,6920,6920,6890,6890,524
19282,6890,6890,6300,6480,7392
19289,6490,6490,6060,6400,845
19296,6395,6400,6200,6400,3271
19303,6390,6390,6080,6350,2261
19310,6350,6350,5950,6300,4701
19317,6300,6300,5950,6295,528
19324,6000,7390,6000,7390,1590
19331,6840,8000,6840,8000,10099
19338,7875,8550,7400,8495,71196
19345,8400,8490,8000,8300,36399
19352,8000,8400,8000,8245,39994
19359,8195,8245,7355,7355,13878
19366,7355,7790,6670,7050,740
19373,6950,7505,6910,7100,3348
19380,6900,7100,6900,7095,2931
19387,6950,6950,6825,6895,781
19394,6895,7495,6895,7480,39546
