d,o,h,l,c,v
18652,3010,3090,3010,3090,19847
18659,3095,3125,2950,2995,34831
18666,2990,3100,2990,3100,26843
18673,3010,3100,3010,3100,8121
18680,3100,3320,3100,3320,35470
18687,3310,3335,3280,3320,50156
18694,3305,3305,3240,3250,87424
18701,3205,3295,3205,3295,61196
18708,3290,3480,3290,3390,51713
18715,3390,3425,3385,3425,21440
18722,3415,3425,3395,3400,49339
18729,3400,3400,3350,3395,19580
18736,3400,3485,3400,3480,17679
18743,3450,3470,3400,3400,28955
18750,3420,3450,3350,3425,27486
18757,3405,3475,3405,3475,6391
18764,3450,3600,3450,3600,59880
18771,3590,3650,3180,3200,78113
18778,3200,3200,3100,3100,15497
18785,3100,3300,3055,3250,38958
18792,3245,3285,3200,3285,97102
18799,3250,3290,3250,3280,42621
18806,3255,3300,3255,3280,19273
18813,3290,3300,3285,3295,9034
18820,3295,3350,3205,3345,12141
18827,3395,3620,3395,3620,143941
18834,3625,3625,3605,3605,46488
18841,3625,3625,3605,3620,12975
18848,3620,3625,3610,3610,15815
18855,3625,3995,3625,3795,44273
18862,3795,3850,3755,3825,53715
18869,3825,4080,3825,4000,48184
18876,4000,4060,3995,4000,23178
18883,4060,4060,3920,4000,5949
18890,4000,4100,4000,4090,62531
18897,4050,4090,4000,4000,84896
18904,4005,4025,3975,3975,102510
18911,3975,3995,3975,3975,48588
18918,3995,4000,3960,3975,44337
18925,3970,4150,3960,4000,68902
18932,4150,4150,3960,3960,30202
18939,4000,4000,3925,3925,29661
18946,3940,3950,3875,3875,57958
18953,3900,3950,3880,3900,23935
18960,3900,3925,3890,3900,37299
18967,3900,3910,3895,3900,26867
18974,3910,3910,3805,3805,16299
18981,3870,3900,3815,3900,125174
18988,3860,3950,3825,3945,162159
18995,3950,3950,3830,3940,11998
19002,4015,4190,3960,4000,13652
19009,4000,4005,3980,4000,39354
19016,4000,4095,3990,4050,43331
19023,4000,4105,4000,4105,16927
19030,4150,4300,4105,4185,24596
19037,4185,4250,4170,4210,71186
19044,4190,4485,4190,4485,50041
19051,4480,4785,4480,4690,29421
19058,4690,4760,4690,4760,50150
19065,4800,4895,4765,4800,49124
19072,4885,4980,4805,4980,21949
19079,4910,4980,4905,4950,12666
19086,4940,4945,4805,4810,18153
19093,4785,4785,4510,4600,37828
19100,4555,4600,4555,4595,11726
19107,4595,4610,4240,4450,87022
19114,4240,4450,4180,4250,72734
19121,4250,4295,4215,4295,18701
19128,4300,4320,4300,4300,29334
19135,4450,4450,4410,4440,26923
19142,4445,4595,4445,4500,47237
19149,4595,4595,4490,4490,89798
19156,4075,4290,3900,3900,14891
19163,3905,3905,3800,3800,29388
19170,3795,3800,3760,3795,29976
19177,3800,3995,3750,3900,13507
19184,3900,3900,3790,3790,35835
19191,3750,3780,3750,3750,20841
19198,3740,3775,3740,3775,34586
19205,3775,4000,3760,4000,9276
19212,3980,4000,3955,3955,10791
19219,3955,3955,3860,3900,16640
19226,3800,3895,3800,3810,18715
19233,3810,3820,3750,3795,19565
19240,3710,3800,3710,3770,9576
19247,3770,3960,3760,3960,33067
19254,3960,4000,3850,3995,32858
19261,4000,4100,3900,4075,28841
19268,3900,4000,3750,3750,40852
19275,3700,3700,3500,3590,19971
19282,3600,3790,3600,3790,31935
19289,3795,3795,3605,3740,10882
19296,3750,3750,3500,3500,12464
19303,3410,3550,3410,3545,11825
19310,3500,3545,3410,3500,21733
19317,3400,3400,3205,3205,10372
19324,3250,3350,3250,3300,7701
19331,3295,3350,3210,3350,5234
19338,3350,3595,3345,3590,16250
19345,3350,3500,3210,3440,10481
19352,3210,3440,3200,3200,34960
19359,3200,3250,3180,3200,24195
19366,3200,3400,3150,3250,22955
19373,3165,3445,3165,3445,6761
19380,3300,3435,3205,3205,10982
19387,3290,3395,3195,3200,24272
19394,3200,3300,3190,3300,16257
19401,3310,3485,3310,3465,37647
19408,3465,3465,3200,3300,39730
19415,3250,3495,3250,3465,21346
19422,3450,3455,3350,3445,6100
19429,3435,3595,3400,3525,36782
19436,3520,3520,3290,3400,6417
19443,3420,3420,3200,3300,9605
19450,3250,3350,3230,3345,2681
19457,3235,3345,3235,3330,5472
19464,3315,3325,3060,3060,13064
19471,3000,3060,2790,2790,17052
19478,2795,2795,2700,2775,16757
19485,2790,2905,2780,2905,42060
19492,2905,2990,2830,2950,10039
19499,2960,2960,2800,2800,19363
19506,2900,2900,2800,2890,29460
19513,2890,2940,2860,2940,57919
19520,2940,3000,2800,2900,18499
19527,2920,2995,2695,2705,16220
19534,2745,2745,2690,2690,15679
19541,2695,2700,2680,2685,25012
19548,2685,2685,2415,2500,22957
19555,2500,2590,2495,2550,22020
19562,2550,2550,2525,2525,14970
19569,2525,2530,2525,2525,12951
19576,2525,2525,2495,2500,20704
19583,2495,2500,2455,2490,23018
19590,2400,2400,2355,2400,40956
19597,2290,2300,2200,2210,66213
19604,2240,2300,2240,2265,18650
19611,2280,2295,2280,2295,13182
19618,2295,2295,2240,2240,23245
19625,2250,2280,2200,2200,54812
19632,2200,2200,2105,2140,25384
19639,2140,2150,2120,2120,27614
19646,2120,2120,2070,2070,14069
19653,2070,2175,2000,2175,32698
19660,2200,2300,2190,2195,30386
19667,2200,2225,2105,2185,37807
19674,2185,2185,2115,2115,29796
19681,2180,2275,2150,2200,26219
19688,2200,2220,2180,2180,23651
19695,2200,2300,2200,2280,20855
19702,2295,2295,2200,2200,15125
19709,2205,2300,2205,2290,17584
19716,2280,2290,2205,2280,27009
