d,o,h,l,c,v
18652,4000,4090,4000,4090,860
18659,4090,4100,3700,4100,4351
18666,3795,4100,3500,3600,10257
18673,3795,3795,3510,3725,1803
18680,3450,3800,3450,3800,21810
18687,3980,3990,3650,3700,492
18694,3895,3900,3610,3895,612
18701,3680,3880,3600,3800,1750
18708,3840,3870,3580,3795,1111
18715,3750,3875,3600,3875,3668
18722,3875,3890,3585,3890,1101
18729,3885,3890,3600,3615,1548
18736,3610,4000,3600,4000,4089
18743,3700,4095,3700,4095,3652
18750,3790,4095,3765,4000,4548
18757,3700,3895,3700,3895,8283
18764,3800,4000,3705,3710,1825
18771,3910,4000,3700,3750,2487
18778,4000,4030,3750,3900,27224
18785,3880,3945,3750,3930,845
18792,3900,3990,3705,3930,4421
18799,3900,3990,3700,3990,1378
18806,3990,3990,3985,3990,50077
18813,3945,3990,3705,3980,568
18820,3980,3980,3700,3750,592
18827,3890,3950,3760,3950,3721
18834,3900,3990,3800,3990,8434
18841,3945,3990,3750,3985,12628
18848,3985,3990,3905,3990,18200
18855,3800,3990,3800,3990,19644
18862,3900,3990,3850,3980,612
18869,3900,3995,3850,3995,5742
18876,3900,3995,3700,3995,2518
18883,3900,3995,3700,3990,5745
18890,3720,4345,3720,4335,89548
18897,4100,4330,4000,4330,19804
18904,4060,4325,4020,4195,7590
18911,4195,4195,4000,4000,3521
18918,4000,4145,3905,4075,2286
18925,3995,4330,3995,4330,4212
18932,4200,4350,4095,4095,5289
18939,4100,4100,3800,4000,2748
18946,4000,4090,3815,4000,477
18953,4000,4000,3900,4000,1207
18960,4000,4100,3995,4000,26654
18967,4000,4350,4000,4295,5991
18974,4295,4295,4090,4090,1179
18981,4000,4090,3910,3945,3667
18988,3800,4190,3800,4190,21227
18995,4190,4250,4095,4095,1532
19002,3805,4250,3805,4245,1784
19009,4245,4245,3940,4150,7307
19016,3840,4000,3840,3950,654
19023,3945,4000,3945,3990,7236
19030,3875,3925,3875,3900,4534
19037,3925,4150,3905,4145,7936
19044,4065,4065,3900,3900,5531
19051,3900,4150,3885,3910,2536
19058,4080,4090,3900,4000,1302
19065,4000,4000,3900,4000,6015
19072,3865,4000,3865,4000,514
19079,3900,4000,3865,3900,7423
19086,3900,3900,3855,3900,3226
19093,3900,4000,3875,3900,2896
19100,3900,3900,3750,3750,1342
19107,3900,4030,3900,4025,357615
19114,3900,4025,3700,3995,6797
19121,3850,3850,3600,3800,4206
19128,3800,3845,3555,3555,6654
19135,3820,3835,3610,3800,227
19142,3835,3835,3700,3800,497
19149,3700,3835,3610,3835,487
19156,3800,3800,3670,3795,1544
19163,3795,3795,3600,3790,1775
19170,3790,3790,3520,3520,9723
19177,3520,3790,3520,3530,3485
19184,3530,3530,3495,3500,3607
19191,3470,3500,3460,3470,1489
19198,3470,3790,3410,3790,6855
19205,3525,3790,3525,3780,356
19212,3780,3800,3490,3800,2284
19219,3800,4000,3800,4000,17024
19226,3700,4150,3700,4065,6117866
19233,4065,4065,3860,4060,3569
19240,4000,4000,3825,3825,69
19247,3825,3900,3825,3875,319
19254,3875,4000,3610,3670,4800
19261,3455,3800,3415,3800,7419
19268,3880,3880,3590,3600,4166
19275,3550,3550,3255,3330,14738
19282,3330,3690,3255,3690,25770
19289,3575,3600,3350,3500,12771
19296,3350,3500,3300,3300,9698
19303,3330,3330,3150,3150,9383
19310,3100,3100,3005,3090,22790
19317,3090,3130,3000,3130,3980
19324,3130,3130,2850,2850,1529
19331,2800,3200,2800,3200,8353
19338,3200,3590,3200,3495,17114
19345,3235,3500,3195,3500,8012
19352,3300,3965,3300,3925,49022
19359,3800,3800,3600,3600,20
19366,3400,3400,2995,2995,589
19373,2995,3285,2980,3200,45569
19380,3000,3140,2990,3100,3775
19387,3000,3100,3000,3000,1921
19394,3000,3000,3000,3000,1288
19401,2780,3100,2780,3000,941
19408,2915,2915,2770,2795,25116
19415,2795,2800,2795,2800,1992
19422,2795,3005,2795,2935,2647
19429,2900,2900,2800,2830,4594
19436,2825,2830,2620,2820,4775
19443,2785,2800,2750,2750,817
19450,2750,2825,2700,2700,1688
19457,2700,2750,2690,2710,5133
19464,2700,2700,2700,2700,882
19471,2700,2700,2315,2475,2681
19478,2315,2475,2225,2250,11117
19485,2250,2390,2200,2375,33625
19492,2375,2375,2200,2350,24082
19499,2350,2350,2200,2340,3423
19506,2200,2340,2200,2335,4951
19513,2330,2370,2185,2345,4422
19520,2300,2345,2250,2250,2196
19527,2250,2250,2100,2250,1600
19534,2100,2540,2100,2540,2874
19541,2680,2700,2495,2650,5085
19548,2460,2590,2410,2545,2848
19555,2545,2550,2370,2400,3303
19562,2400,2400,2350,2350,2025
19569,2350,2535,2350,2535,1634
19576,2385,2540,2385,2535,1375
19583,2530,2535,2365,2365,3373
19590,2360,2595,2360,2595,8473
19597,2500,2595,2450,2570,1034
19604,2505,2570,2450,2570,336
19611,2570,2890,2570,2675,1598
19618,2675,2795,2505,2510,6501
19625,2515,2840,2515,2700,3040
19632,2700,2800,2590,2700,7684
19639,2700,2700,2500,2685,15123
19646,2685,2685,2650,2650,765
19653,2485,2685,2485,2680,1084
19660,2500,2675,2130,2350,43806
19667,2345,2480,2170,2460,3027
19674,2460,2460,2280,2280,4057
19681,2280,2280,2170,2250,2361
19688,2250,2600,2100,2440,11497
19695,2440,2740,2440,2735,1456
19702,2675,2890,2650,2890,4469
19709,2690,2890,2650,2650,1233
19716,2650,2650,2435,2640,2720
19723,2435,2640,2435,2630,2277
19730,2585,2585,2285,2525,1458
19737,2550,2550,2350,2490,13056
19744,2305,2305,2250,2250,231
19751,2280,2325,2100,2325,1964
19758,2200,2325,2150,2320,302
19765,2450,2450,2390,2390,57
