d,o,h,l,c,v
18652,3150,3150,3150,3150,10
18659,3150,3350,3150,3325,476
18666,3150,3900,3150,3620,4218
18673,3600,3600,3250,3250,406
18680,3250,3250,2995,3250,1131
18687,3245,3245,3005,3005,115
18694,3000,3400,3000,3400,2116
18701,3200,3450,3200,3400,19933
18708,3200,3400,3150,3385,1551
18715,3350,3350,3000,3000,659
18722,3100,3200,3000,3200,375
18729,3000,3200,3000,3200,193
18736,3200,3600,3200,3600,1118
18743,3605,4050,3605,4050,3646
18750,4350,4675,3765,3765,8424
18757,3485,3485,3225,3465,2606
18764,3505,4350,3505,4350,3583
18771,4150,4350,3920,4000,3513
18778,3950,4000,3950,4000,1290
18785,4000,4295,4000,4295,2243
18792,4250,4390,4215,4260,407
18799,4370,4395,4350,4395,783
18806,4200,4410,4200,4255,1010
18813,4280,4300,4210,4300,481
18820,4300,4300,4210,4300,1513
18827,4350,4410,4100,4400,1312
18834,4395,4400,4315,4395,1340
18841,4110,4395,4110,4245,568
18848,4245,4350,4100,4350,2802
18855,4350,4400,4350,4400,783
18862,4400,4635,4015,4635,6988
18869,4720,5345,4720,5000,1617
18876,4995,4995,4320,4405,1482
18883,4410,4995,4410,4900,1394
18890,4900,5655,4825,5655,29005
18897,6000,6000,5370,5500,6461
18904,5795,6225,5605,6200,4127
18911,6200,6215,5800,6195,7087
18918,6200,6700,5740,6700,14436
18925,6800,6950,6550,6550,3297
18932,6895,6895,6550,6690,3951
18939,6610,6700,6510,6700,3037
18946,6660,6700,6540,6560,1532
18953,6600,6700,6560,6600,16071
18960,6670,7000,6670,6995,22330
18967,6985,6985,6500,6700,4325
18974,6700,6700,6585,6600,56504
18981,6605,6800,6605,6800,1347
18988,6700,7000,6700,6990,9691
18995,6900,6990,6730,6990,887
19002,6800,6990,6800,6990,2017
19009,6990,7295,6990,7100,45917
19016,7100,7300,6715,7300,6343
19023,7300,7300,7000,7130,12057
19030,7200,7655,7200,7655,104559
19037,7810,9440,7810,9440,75381
19044,9440,9440,8900,9100,20437
19051,9010,9600,9005,9600,18254
19058,9600,9630,9400,9400,5807
19065,9400,9495,8900,9495,5659
19072,9450,9600,9310,9600,5182
19079,9600,9600,9250,9400,12657
19086,9400,9400,9030,9250,9344
19093,9225,9505,9160,9400,18579
19100,9700,10000,9490,9805,27486
19107,9815,12120,9815,12100,213025
19114,12120,13550,12100,12800,53937
19121,12800,13100,12800,13000,25899
19128,13000,13000,12810,12810,69026
19135,12800,12800,12560,12695,9655
19142,12700,12795,12675,12775,35656
19149,12710,12780,12690,12690,20818
19156,12690,12850,12690,12850,16970
19163,12800,12850,12500,12500,23719
19170,12500,12645,12405,12625,36950
19177,12625,12625,12000,12100,8131
19184,12195,12200,12005,12195,62963
19191,12005,12225,12005,12200,13830
19198,12200,12400,12010,12400,59424
19205,12055,12400,11985,12300,24151
19212,12300,12300,12005,12300,25775
19219,12005,12300,12000,12000,70409
19226,12000,12050,11985,11985,20391
19233,10750,11500,10750,10765,20447
19240,10805,11000,10700,10700,60418
19247,10700,10760,10500,10600,41779
19254,10600,10765,10500,10500,15014
19261,10500,10995,9800,10995,171388
19268,10995,10995,9910,10000,23785
19275,10195,10200,9790,9790,23937
19282,9790,11190,9550,10995,100393
19289,10995,11000,10845,10895,24795
19296,10845,10895,10290,10290,54711
19303,10295,10295,9800,9845,45541
19310,9845,9845,9600,9830,23364
19317,9750,9830,9750,9750,10810
19324,9680,9800,9575,9750,17381
19331,9515,9885,9515,9885,20491
19338,9880,10795,9880,10500,80585
19345,10495,10495,10000,10385,81879
19352,10380,10385,10005,10385,36747
19359,10000,10400,9800,9800,65170
19366,9810,9995,9795,9970,20243
19373,9900,9990,9900,9980,12388
19380,9980,9995,9600,9995,16577
19387,10000,10095,9800,10050,5837
19394,9995,10300,9995,10300,25479
19401,10300,11095,10300,11085,19355
19408,11095,11095,11000,11060,104146
19415,11000,11000,10950,10950,9105
19422,10950,10950,10875,10875,32577
19429,10875,10960,10875,10960,7773
19436,10950,10950,10850,10945,13354
19443,10945,10995,10905,10980,4798
19450,10950,10965,10900,10950,8680
19457,10965,11000,10900,11000,3204
19464,11000,11000,10940,10990,12282
19471,11000,11000,9400,10000,23283
19478,9800,10000,9800,9800,10968
19485,9850,9900,9600,9780,28040
19492,9600,9900,9600,9890,17728
19499,9800,9880,9750,9790,5511
19506,9785,9800,9785,9800,6141
19513,9800,9800,9700,9700,14035
19520,9705,9750,9605,9700,21008
19527,9685,9900,9685,9750,41462
19534,9900,10600,9890,10600,29597
19541,10020,10350,10020,10250,34872
19548,10225,10225,9980,9980,42757
19555,9035,9035,8700,8700,36537
19562,8700,8700,8345,8345,21206
19569,8205,8205,7995,8040,11767
19576,8035,8090,7950,7995,8460
19583,7995,8000,7995,8000,5809
19590,7950,8000,7900,7900,26504
19597,7950,7995,7850,7945,4763
19604,7950,7950,7800,7850,8446
19611,7850,7850,7650,7695,11816
19618,7695,7770,7650,7700,13116
19625,7700,7700,7600,7600,11921
19632,7650,7650,6930,7195,7049
19639,7250,7695,7150,7690,6281
19646,7500,7645,7400,7400,4676
19653,7345,7345,7000,7000,12027
19660,6960,6960,6800,6800,13456
19667,6800,6960,6500,6895,8836
19674,6890,6890,6450,6875,3024
19681,6600,6850,6370,6820,14362
19688,6500,6800,6415,6500,6638
19695,6450,6800,6250,6795,3312
19702,6795,6795,6775,6775,3271
19709,6780,6780,6500,6725,3692
19716,6700,6780,6700,6750,3250
19723,6710,6990,6710,6960,9322
19730,6910,6910,6650,6885,7672
19737,6660,6875,6660,6700,4196
19744,6700,6800,6660,6790,1334
19751,6600,6790,6505,6790,1194
19758,6790,6800,6750,6800,11103
19765,6750,6800,6550,6785,4037
19772,6790,6900,6300,6900,9417
19779,6790,6800,6320,6770,17172
19786,6750,6750,6560,6695,10289
19793,6695,6770,6695,6770,12869
19800,6770,7000,6770,7000,8473
19807,6995,7000,6950,6995,8264
19814,6995,8000,6995,7400,14580
19821,7000,7400,7000,7400,5152
19828,7400,7400,7280,7350,2428
19835,7300,7390,7300,7385,4690
19842,6840,7250,6200,6200,5873
19849,5735,6450,5305,6365,11581
19856,6200,6350,6200,6295,6494
19863,6300,6300,6000,6250,15274
19870,6245,6245,5900,6000,33845
19877,5900,5900,5895,5895,9302
19884,5895,5895,5790,5875,8048
19891,5875,5990,5875,5990,19083
19898,5990,6250,5985,6250,20333
19905,6195,6245,6100,6220,10861
19912,6220,6220,6155,6180,10293
19919,6180,6180,5800,6090,27392
19926,6080,6080,5600,5895,11400
19933,5780,5780,5440,5440,11848
19940,5490,5490,5260,5260,16010
19947,5235,5260,4830,4830,43061
19954,4810,5240,4800,5000,20908
19961,5000,5100,4800,4980,27826
19968,4805,5000,4805,5000,27678
19975,5005,5005,4800,4800,21906
19982,4795,4995,4750,4980,18491
19989,4990,4990,4620,4910,31639
19996,4910,4910,4700,4700,14577
20003,4780,4800,4700,4800,31499
20010,4800,4800,4645,4690,13327
20017,4690,4690,4550,4560,28753
20024,4650,4695,4550,4695,5070
20031,4695,4695,4500,4550,24314
20038,4600,4600,4500,4525,28872
20045,4550,4600,4500,4525,29010
20052,4500,4695,4500,4695,9009
20059,4690,4700,4520,4520,28633
20066,4520,4525,4495,4495,19225
20073,4500,4655,4495,4655,41673
20080,4655,4655,4600,4620,5423
20087,4620,5000,4620,4990,20242
20094,5000,5265,4800,4995,84215
20101,5000,5000,4800,4800,67338
20108,4900,4900,4500,4500,75221
20115,4500,4665,4500,4650,23100
20122,4650,5475,4650,5475,10308
20129,5475,5475,5360,5390,16103
20136,5375,6100,5375,6085,21727
20143,6085,6100,6075,6100,8045
20150,6080,6200,6070,6090,14716
20157,6100,6320,6100,6320,15290
20164,6325,6490,6325,6400,39202
20171,6400,6400,6340,6400,16464
20178,6340,6400,6085,6100,31081
20185,6050,6050,5095,5400,33920
20192,5805,6000,5460,5745,22722
20199,5460,6175,5460,6085,85184
20206,6095,6340,6095,6340,50431
20213,6395,6500,6345,6500,27721
20220,6500,6985,6500,6985,15636
20227,6985,6990,6800,6990,46404
20234,6470,6995,6470,6995,42020
20241,6995,6995,6500,6550,30832
