d,o,h,l,c,v
18659,2180,2180,2160,2160,42
18666,2160,2180,2000,2000,5433
18673,2000,2060,2000,2060,1913
18680,2060,2060,2060,2060,345
18687,2060,2100,2060,2100,592
18694,2100,2100,2100,2100,396
18701,2100,2100,2100,2100,4851
18708,2100,2100,2100,2100,85
18715,2095,2100,2095,2100,137
18722,2095,2100,2050,2100,657
18729,2100,2100,2100,2100,1712
18736,2100,2180,1870,2020,7013
18743,2140,2180,2140,2140,175
18750,2150,2400,2150,2310,1759
18757,2480,2665,2480,2665,105
18764,2860,2860,2800,2800,359
18771,2800,2840,2630,2700,442
18778,2700,2800,2700,2795,845
18785,2800,2800,2785,2795,1413
18792,2795,2795,2795,2795,910
18799,2795,2795,2790,2790,467
18806,2790,2790,2500,2500,571
18813,2510,2700,2510,2700,183
18820,2695,2700,2500,2530,930
18827,2600,2795,2600,2600,426
18834,2795,2860,2615,2860,777
18841,2860,2950,2860,2900,454
18848,2900,3000,2820,2950,3090
18855,3000,3000,2975,3000,1736
18862,3000,3000,2900,2950,5363
18869,2995,2995,2700,2900,1243
18876,2980,3115,2900,3110,8162
18883,3110,3115,3000,3115,3363
18890,3105,3110,3005,3110,3000
18897,3105,3110,3105,3110,681
18904,3025,3265,3025,3150,3786
18911,3150,3150,2900,3115,945
18918,3110,3275,2905,3275,5081
18925,3275,3500,3200,3265,2168
18932,3200,3265,3200,3245,7692
18939,3245,3505,3240,3315,2916
18946,3350,3350,3060,3300,1653
18953,3280,3315,3235,3315,1270
18960,3315,3325,3315,3315,13143
18967,3500,3750,3500,3680,1780
18974,3700,3700,3510,3700,1598
18981,3505,4200,3505,4200,5695
18988,3885,4200,3885,4200,3171
18995,4200,4200,3700,3700,284
19002,3700,3700,3600,3680,1983
19009,3680,4190,3680,4185,1742
19016,4000,4050,3850,4050,781
19023,4000,4200,3995,4200,13596
19030,4220,4715,4220,4260,10837
19037,4260,4600,4250,4600,5675
19044,4695,4695,4570,4690,5630
19051,4700,5245,4700,5000,1389
19058,5000,5100,4705,4705,6782
19065,4705,4705,4605,4680,1395
19072,4680,4800,4620,4700,10957
19079,4700,5000,4700,4700,1914
19086,4705,4955,4600,4600,7707
19093,4600,4700,4600,4700,4287
19100,4600,4600,4300,4500,5905
19107,4500,4600,4250,4250,10243
19114,4550,4550,3370,3500,7889
19121,3760,3760,3500,3500,3405
19128,3520,3520,3240,3500,7263
19135,3500,3500,3300,3500,3329
19142,3500,3500,3455,3500,1311
19149,3500,3500,3310,3310,772
19156,3320,3500,3320,3450,4995
