d,o,h,l,c,v
18659,300,300,300,300,35
18666,290,290,290,290,127
18673,280,280,275,275,112
18680,255,280,255,255,1372
18687,255,255,195,195,3262
18694,185,185,185,185,2306
18701,185,185,185,185,2304
18708,185,185,185,185,2328
18715,185,185,185,185,350
18722,185,185,185,185,50
18729,185,185,185,185,504
18736,175,175,175,175,6287
18743,175,205,175,205,719
18750,205,265,205,265,1911
18757,280,280,280,280,1027
18764,275,275,275,275,808
18771,275,275,250,250,391
18778,250,280,250,280,2965
18785,265,300,250,300,9856
18792,320,395,320,395,3622
18799,370,370,340,340,919
18806,340,365,340,340,571
18813,365,475,365,475,7242
18820,510,670,510,670,11590
18827,720,885,720,885,23336
18834,900,900,760,760,8784
18841,705,705,650,650,1776
18848,615,645,570,645,7287
18855,610,610,510,510,5059
18862,515,590,510,590,1321
18869,630,780,630,780,3250
18876,735,735,695,695,4305
18883,695,695,650,650,1051
18890,630,660,630,655,4635
18897,655,655,625,625,3726
18904,625,625,600,625,2103
18911,625,625,620,620,226
18918,615,615,615,615,1026
18925,575,600,575,600,719
18932,600,600,600,600,1125
18939,600,600,590,590,1281
18946,550,550,520,520,1778
18953,515,515,500,500,7949
18960,480,620,480,620,3155
18967,600,600,600,600,1081
18974,555,595,555,595,1652
18981,595,730,595,730,20765
18988,780,850,780,850,6762
18995,910,910,840,840,5220
19002,805,840,805,840,205
19009,805,805,745,800,17766
19016,800,800,760,775,633
19023,800,800,685,685,27720
19030,735,900,735,900,30603
19037,965,1250,965,1250,36963
19044,1160,1160,925,990,53410
19051,1060,1300,1060,1300,27198
19058,1395,1850,1395,1850,72914
19065,1985,2130,1830,1830,99769
19072,1695,1695,1455,1455,6628
19079,1350,1350,1080,1080,12808
19086,1080,1160,1040,1040,7450
19093,1070,1295,1050,1295,77381
19100,1295,1295,1200,1200,579
19107,1150,1150,1065,1065,11972
19114,1065,1135,1000,1000,6558
19121,1000,1000,1000,1000,409
19128,1000,1050,1000,1000,787
19135,1000,1000,995,995,633
19142,995,1000,990,990,978
19149,990,990,990,990,1068
19156,990,1000,990,990,338
19163,920,980,920,980,1073
19170,995,995,950,980,165
19177,980,980,950,980,346
19184,980,980,980,980,589
19191,910,910,910,910,3111
19198,910,910,900,900,374
19205,910,975,910,975,492
19212,975,980,900,900,363
19219,900,900,900,900,394
19226,900,900,800,860,2036
19233,860,860,860,860,291
19240,860,890,860,890,427
19247,865,865,755,755,1491
19254,700,795,695,795,76218
19261,850,890,830,830,12805
19268,830,830,830,830,402
19275,830,900,830,835,10441
19282,835,835,825,825,70
19289,800,800,800,800,153
19296,800,860,800,800,15179
19303,800,800,800,800,245
19310,800,910,800,910,533
19324,900,900,900,900,12
19331,895,895,895,895,1028
19338,890,890,885,885,197
19345,885,885,875,875,34
19352,875,880,875,880,776
19359,880,880,830,830,337
19366,800,800,800,800,321
19373,800,800,800,800,119
19380,800,800,795,795,75
19387,780,780,725,725,462
19394,775,1025,775,1025,67654
19401,1015,1015,900,900,566
19408,965,1000,900,900,3515
19415,960,960,900,960,337
19422,955,960,955,960,656
19429,960,960,960,960,50
19436,925,960,925,950,6090
19443,950,955,930,955,1176
19450,955,955,955,955,410
19457,950,950,950,950,604
19464,950,950,950,950,105
19471,940,940,935,935,252
19478,935,935,935,935,110
19485,920,920,920,920,40
19492,920,920,895,895,124
19499,895,895,840,840,179
19506,840,840,830,830,137
19513,830,830,820,820,224
19520,815,815,810,810,194
19527,800,800,795,795,158
19534,795,795,740,790,235
19541,740,770,740,760,221
19548,760,770,760,770,167
19555,770,770,740,760,449
19562,770,770,740,740,1707
19569,700,750,680,680,1466
19576,680,680,670,670,8271
