d,o,h,l,c,v
18652,575,575,550,550,2400
18659,585,585,550,550,2666
18666,555,560,550,555,3465
18673,555,580,550,550,5440
18680,565,570,500,500,3897
18687,500,550,500,550,2696
18694,565,565,525,550,1742
18701,550,560,525,560,1924
18708,550,550,525,550,2907
18715,550,550,535,550,4123
18722,550,550,530,535,4593
18729,535,535,530,530,1403
18736,535,610,535,610,22149
18743,655,700,645,675,2913
18750,675,750,675,750,14447
18757,745,750,705,705,3043
18764,700,705,685,685,3004
18771,690,700,680,700,9572
18778,745,985,745,985,34133
18785,1055,1130,1005,1005,41538
18792,935,990,935,935,14107
18799,945,1000,945,1000,11185
18806,995,995,980,980,14486
18813,980,980,940,950,16498
18820,950,995,950,960,17119
18827,990,1030,990,1030,3687
18834,1030,1190,1030,1185,24190
18841,1180,1180,1120,1150,8563
18848,1140,1170,1140,1170,14745
18855,1170,1210,1160,1190,5835
18862,1190,1485,1190,1400,28374
18869,1400,1400,1205,1285,20560
18876,1215,1395,1215,1300,6312
18883,1350,1350,1250,1270,6566
18890,1290,1350,1270,1350,19044
18897,1365,1390,1250,1250,11820
18904,1160,1160,1020,1020,23222
18911,1095,1095,1045,1050,10236
18918,1045,1200,1030,1200,14471
18925,1200,1250,1200,1220,16064
18932,1245,1255,1220,1245,13572
18939,1245,1245,1135,1135,16676
18946,1135,1135,950,1020,41027
18953,1025,1125,1000,1125,15977
18960,1100,1100,1005,1050,10379
18967,1060,1060,1005,1005,10077
18974,1040,1040,945,945,14170
18981,945,950,875,930,18434
18988,930,960,900,960,7990
18995,960,960,900,935,7000
19002,935,950,930,945,9404
19009,945,960,945,960,3203
19016,960,960,900,920,10202
19023,925,940,905,930,11487
19030,920,940,915,940,34772
19037,940,1100,940,1085,32946
19044,1100,1100,1000,1060,34333
19051,1100,1100,1055,1095,24394
19058,1095,1100,1000,1045,23394
19065,1000,1050,1000,1050,13960
19072,1050,1050,1010,1045,7663
19079,1050,1050,1010,1030,15807
19086,1030,1040,1000,1010,2714
19093,1000,1020,955,955,19784
19100,955,1045,955,1045,1676
19107,1050,1050,1000,1000,4703
19114,1000,1000,880,990,7549
19121,920,920,800,810,16042
19128,815,915,790,915,12439
19135,915,915,850,850,4638
19142,850,915,850,915,5349
19149,910,1000,910,925,4341
19156,915,915,855,855,3648
19163,910,910,850,900,1082
19170,900,990,900,990,9570
19177,995,1020,990,1000,11122
19184,1000,1125,1000,1050,6122
19191,1100,1120,1055,1055,6481
19198,1000,1050,1000,1050,3770
19205,1005,1050,1000,1010,4891
19212,1010,1015,990,1000,10658
19219,1000,1005,1000,1005,5844
19226,1015,1155,1010,1100,24779
19233,1100,1120,1100,1105,13595
19240,1100,1110,1100,1100,5758
19247,1100,1115,1100,1115,18469
19254,1100,1110,1050,1050,9422
19261,1055,1100,1050,1060,2211
19268,1060,1100,1035,1100,71535
19275,1100,1100,1050,1070,15616
19282,1095,1120,1045,1120,98421
19289,1120,1185,1100,1180,13393
19296,1100,1220,1100,1220,25385
19303,1175,1200,1115,1180,5259
19310,1105,1185,1105,1175,6563
19317,1100,1100,1030,1030,9931
19324,1045,1045,905,905,266
19331,905,1000,900,1000,3865
19338,995,1170,995,1170,27600
19345,1145,1170,950,995,67719
19352,950,995,815,925,4447
19359,860,920,800,920,1332
19366,920,950,865,865,3163
19373,860,860,800,845,3648
19380,840,900,800,800,11898
19387,800,850,785,800,1542
19394,790,850,790,845,1701
19401,815,845,795,795,4456
19408,800,800,700,700,8398
19415,700,700,685,695,12166
19422,695,700,685,700,7457
19429,700,710,685,710,4691
19436,750,750,650,685,8932
19443,685,685,660,670,9711
19450,670,710,670,700,10478
19457,700,700,650,675,1862
19464,700,700,650,695,8269
19471,690,695,650,685,31840
19478,685,695,680,695,6514
19485,700,700,640,645,11404
19492,650,650,600,600,6250
19499,600,610,565,600,2788
19506,600,600,590,590,2069
19513,560,590,550,550,6592
19520,545,550,530,550,6801
19527,530,590,530,545,28657
19534,545,550,510,540,13746
19541,540,540,510,520,15279
19548,520,535,520,535,2865
19555,535,540,500,500,14241
19562,535,550,530,550,14630
19569,550,550,525,550,6437
19576,525,550,525,545,3773
19583,585,585,540,540,5716
19590,535,540,520,540,24644
19597,520,540,500,500,26614
19604,500,550,500,550,9683
19611,550,565,550,565,3606
19618,565,565,530,550,11432
19625,555,570,555,570,1863
19632,560,560,495,530,18250
19639,530,530,515,525,5445
19646,525,565,500,530,14852
19653,535,535,505,525,6921
19660,520,520,500,500,4946
19667,495,500,495,500,8763
19674,500,500,495,495,9210
19681,500,500,495,500,9373
19688,510,510,485,495,16728
19695,495,495,480,495,8523
19702,495,495,480,490,9477
19709,490,490,455,470,11401
19716,470,475,445,475,29179
19723,460,475,460,460,13775
19730,460,460,435,450,8385
19737,450,450,435,445,2446
19744,435,455,435,440,12232
19751,445,445,440,440,8887
19758,440,495,440,495,12832
19765,480,495,440,485,7255
19772,470,485,450,475,5908
19779,475,475,460,465,4376
19786,435,460,435,440,4449
19793,440,470,440,450,22294
19800,445,460,440,460,1716
19807,450,480,450,475,11236
19814,480,480,445,475,10866
19821,470,470,445,465,1734
19828,465,465,440,460,66344
19835,460,460,455,460,2470
19842,460,460,430,430,5505
19849,460,460,400,400,15102
19856,400,470,400,470,38939
19863,470,505,445,500,7610
19870,495,510,495,500,19596
19877,495,500,495,495,4051
19884,495,505,490,500,28400
19891,500,510,475,510,18637
19898,510,510,475,500,31519
19905,500,500,470,495,4388
19912,500,500,465,495,23377
19919,495,500,465,480,16448
19926,480,545,480,545,10409
19933,545,545,505,530,8104
19940,545,545,530,530,5480
19947,515,530,515,520,6527
19954,520,520,495,515,19780
19961,520,530,505,530,10996
19968,530,535,495,535,18246
19975,535,565,505,565,32311
19982,580,585,560,585,12236
19989,590,700,590,690,13442
19996,690,700,690,690,30831
20003,690,790,645,745,103475
20010,745,750,695,710,10639
20017,750,795,750,785,74782
20024,790,885,785,860,21251
20031,860,875,860,865,25943
20038,870,870,810,810,53550
20045,805,845,805,840,53887
20052,840,845,830,830,17517
20059,830,845,825,825,23835
20066,830,830,800,800,29572
20073,815,815,720,750,70401
20080,775,780,745,770,14704
20087,780,780,750,750,17434
20094,780,780,725,725,7024
20101,725,725,645,660,23140
20108,670,750,670,745,20688
20115,750,750,730,745,7523
20122,745,745,730,730,13560
20129,730,775,715,750,10240
20136,805,920,805,900,60917
20143,920,920,780,780,36849
20150,805,835,805,825,25902
20157,835,980,835,980,38097
20164,980,1020,980,1010,60985
20171,1010,1010,990,1000,26401
20178,1000,1000,985,985,15117
20185,985,985,920,920,16229
20192,925,990,925,990,15390
20199,985,990,975,975,14379
20206,980,980,955,975,16563
20213,975,990,975,990,37575
20220,990,1010,985,995,39367
20227,995,1000,980,1000,27732
20234,995,1000,950,950,36646
20241,965,1050,965,1025,22066
20248,1050,1050,1000,1045,21188
20255,1040,1040,880,970,47725
20262,970,1000,970,975,26150
20269,975,985,950,985,26669
20276,985,995,970,995,12220
20283,995,1000,995,1000,20385
20290,1000,1015,995,1000,16120
20297,1005,1040,1000,1000,30775
20304,1000,1000,1000,1000,76023
20311,1000,1015,1000,1015,43959
20318,1015,1220,1015,1220,35850
20325,1220,1225,1180,1185,50109
20332,1190,1225,1190,1200,30873
20339,1200,1300,1195,1245,28243
20346,1225,1395,1225,1345,40615
20353,1345,1345,1290,1295,22010
20360,1295,1295,1125,1260,34747
20367,1305,1350,1285,1285,29270
20374,1265,1300,1260,1275,16848
20381,1260,1320,1250,1320,47069
20388,1315,1400,1295,1295,41111
20395,1200,1245,990,1060,67409
20402,1060,1100,1050,1070,47713
20409,1070,1070,995,1000,33162
20416,995,1000,990,990,45571
20423,995,1000,990,995,18783
20430,995,1040,995,1000,15216
20437,1000,1115,1000,1115,24218
20444,1100,1115,1075,1100,18328
20451,1100,1100,1020,1045,17063
20458,1060,1065,1045,1050,13026
20465,1045,1090,1030,1080,13456
20472,1080,1265,1080,1265,29554
20479,1265,1265,1185,1210,20603
20486,1225,1225,1220,1220,5871
