d,o,h,l,c,v
18652,2980,3000,2980,3000,874
18659,3000,3085,2900,2990,1153
18666,2990,2995,2900,2995,340
18673,2995,3000,2950,2995,3283
18680,3000,3150,3000,3150,26739
18687,3200,3200,3000,3000,1152
18694,3050,3150,3050,3145,17499
18701,3145,3150,3100,3100,1789
18708,3150,3175,3050,3175,12564
18715,3000,3650,3000,3400,12358
18722,3400,3495,3220,3495,5302
18729,3300,3400,3235,3395,1313
18736,3390,3445,3300,3440,8717
18743,3440,3450,3220,3400,1278
18750,3400,3400,3250,3300,6564
18757,3250,3300,3250,3300,6702
18764,3300,3440,3200,3300,10062
18771,3440,3900,3300,3900,4093
18778,3890,4100,3750,3900,5585
18785,3895,3950,3850,3945,12650
18792,3935,4100,3935,4100,5600
18799,4100,4300,4055,4245,1839
18806,4245,4500,4100,4450,4756
18813,4450,4450,4100,4100,78721
18820,4100,4100,3500,3875,87999
18827,3875,4195,3875,4145,3749
18834,4445,4605,3995,4605,71911
18841,4300,4695,4300,4350,5245
18848,4300,4500,4300,4500,2927
18855,4495,4500,4450,4450,2699
18862,4500,4500,4300,4350,4892
18869,4300,4400,4300,4300,961
18876,4300,4500,4000,4200,7071
18883,4200,4300,4200,4200,6947
18890,4250,4300,4200,4200,15563
18897,4200,4400,4010,4400,6757
18904,4400,4495,4395,4400,44846
18911,4495,4500,4450,4495,3115
18918,4495,4500,4450,4500,9849
18925,4165,4500,4165,4175,7956
18932,4485,4500,4175,4500,2941
18939,4450,4450,4395,4450,1272
18946,4450,4500,4200,4200,2332
18953,4200,4400,4180,4200,1710
18960,4350,4590,4205,4300,973
18967,4300,4490,4200,4350,4524
18974,4350,4440,4200,4440,823
18981,4400,4550,4400,4550,626
18988,4500,4500,4200,4295,1520
18995,4500,4500,4200,4350,491
19002,4325,4485,4325,4485,733
19009,4480,4495,4400,4450,830
19016,4450,4450,4200,4400,5553
19023,4400,4400,4275,4400,2189
19030,4400,4450,4150,4400,9162
19037,4400,4400,4100,4100,6610
