d,o,h,l,c,v
18652,7505,7505,7500,7500,303
18659,7100,8000,7100,8000,22621
18666,7995,7995,7600,7900,209
18673,7900,8005,7900,8000,2967
18680,8000,8000,7615,7975,2472
18687,7900,7995,7900,7900,2511
18694,7900,7900,7700,7700,2056
18701,7800,7970,7700,7905,2980
18708,7905,8005,7905,8000,10957
18715,7900,8005,7900,7900,4579
18722,7995,8000,7850,7900,2966
18729,8000,8100,7630,8100,7146
18736,8100,8100,8005,8100,7691
18743,8050,8250,8000,8250,2827
18750,8200,8200,8000,8000,6982
18757,8000,8250,8000,8005,467
18764,8005,8490,8005,8450,3298
18771,8490,8850,8450,8850,5140
18778,8850,8850,8670,8670,1920
18785,8600,8675,8400,8400,1861
18792,8400,8400,8120,8205,793
18799,8200,8410,8200,8410,2671
18806,8120,8200,7825,8200,96638
18813,8250,8500,8200,8500,7579
18820,8200,8400,8200,8400,81217
18827,8990,8990,8400,8800,31899
18834,8600,8985,8510,8600,2687
18841,8600,8600,8540,8540,23687
18848,8600,8800,8500,8500,23441
18855,8500,8750,8500,8600,4366
18862,8650,8750,8600,8600,2847
18869,8600,8750,8600,8600,4753
18876,8500,9150,8500,9150,4990
18883,9150,9690,9100,9665,1525
18890,10385,10425,9700,10350,2336
18897,9925,10350,9925,10325,1536
18904,10350,11290,10350,11000,1012
18911,11000,11100,10505,10995,3842
18918,10505,10995,10505,10900,4591
18925,10600,10950,10400,10500,1149
18932,10450,10935,10400,10400,8335
18939,10500,10500,10300,10400,21428
18946,10400,10975,10400,10975,10988
18953,11000,11600,10800,11600,3908
18960,11600,11605,10495,10750,7430
18967,10705,11000,10705,10995,2562
18974,10185,11000,10185,11000,13942
18981,11000,11400,10400,11000,4918
18988,10600,11000,10500,10595,5519
18995,10500,11045,10500,10810,5830
19002,10810,11195,10600,11000,4867
19009,11000,11195,10800,11000,3500
19016,11000,11100,11000,11010,14254
19023,11010,11210,10805,10805,9274
19030,10850,11930,10850,11930,6185
19037,12820,13780,12820,13100,19860
19044,13300,13300,12850,12850,12477
19051,12880,13100,12505,13000,10148
19058,13100,13100,12100,13000,61169
19065,13000,13050,12900,13010,5517
19072,13500,13500,13100,13500,1521
19079,13105,13495,13000,13400,2599
19086,13450,13500,13250,13400,1349
19093,13395,13800,13200,13800,16430
19100,13800,14000,13800,14000,508
19107,13800,13800,13210,13800,5310
19114,13495,15000,13495,15000,14108
19121,15000,15000,14100,14450,2971
19128,14350,15000,14205,15000,5010
19135,14800,15000,14300,14405,8080
19142,14600,15005,14510,14600,8650
19149,14600,15000,14400,14400,1466
19156,14000,15000,14000,15000,7433
19163,15000,15500,14800,14800,14990
19170,14700,14990,14700,14700,8096
19177,14965,15000,14700,14700,5696
19184,14700,14700,14500,14500,4725
19191,14500,14500,14200,14400,5313
19198,14200,14500,14200,14400,4418
19205,14400,14500,14400,14450,10801
19212,14450,14700,14450,14600,4397
19219,14700,14700,14400,14400,4391
19226,14400,14595,14400,14450,3825
19233,14400,14410,13900,13900,8071
19240,13900,13900,13550,13700,4510
19247,13500,13850,13500,13850,2235
19254,13550,13890,13550,13700,6162
19261,13555,13700,13495,13495,5823
19268,13495,13495,13200,13490,3471
19275,13490,13490,12800,12800,19060
19282,12750,12800,12415,12415,3495
19289,12500,12500,12010,12010,2296
19296,12370,12370,11000,11000,10769
19303,11000,11000,10200,10200,51490
19310,10200,10900,10100,10900,13068
19317,10900,11900,10900,11600,7080
19324,11600,11700,11500,11600,731
19331,11500,11600,11500,11600,3177
19338,11550,12500,11015,11700,4891
19345,11700,11700,11400,11500,3067
19352,11600,12360,11500,11605,2779
19359,11600,11800,11400,11400,9052
19366,11400,11950,10755,11500,13577
19373,11600,11800,11505,11800,3326
19380,11855,12200,11600,12000,8393
19387,12005,12390,12000,12020,4625
19394,12020,12020,11600,11710,12218
19401,12585,13975,12585,13450,15294
19408,13875,13875,13450,13800,6086
19415,13845,14000,13845,14000,23754
19422,13800,13990,13560,13990,1194
19429,13990,14000,13800,13800,7422
19436,13900,14000,13850,13850,3123
19443,13995,13995,13850,13860,1625
19450,13900,14150,13800,13800,5638
19457,14150,14150,13800,13905,9948
19464,14000,14150,13915,14000,12170
19471,14000,14000,13900,13900,772
19478,13900,13995,13900,13995,17407
19485,13995,14000,13895,13895,1364
19492,13900,14500,13900,14500,1400
19499,14800,14995,14000,14000,7558
19506,14000,15530,13900,14500,6982
19513,14500,16000,14500,15950,14338
19520,15900,15900,15400,15505,11672
19527,15490,15600,14400,15500,7850
19534,15500,15695,15500,15500,2701
19541,15490,15500,15200,15300,5953
19548,15495,15695,15400,15500,2784
19555,15500,16000,15355,16000,7258
19562,15690,16425,15645,16425,11495
19569,16000,16400,15760,15760,7824
19576,16155,16500,15760,16000,6124
19583,16005,16665,16000,16200,2190
19590,16200,16200,15900,15900,5538
19597,15900,16315,15900,16000,9476
19604,16000,17535,16000,17500,16598
19611,18800,18800,17000,17800,2274
19618,17600,17600,16915,17000,7503
19625,16995,16995,16400,16400,4729
19632,16500,16700,16495,16695,1439
19639,16500,16600,16200,16295,3518
19646,16495,16495,16010,16490,8501
19653,16490,16490,16000,16480,10743
19660,16695,16695,16005,16025,15015
19667,16395,17000,16395,16750,3737
19674,16750,16750,16400,16400,2205
19681,16495,16700,16495,16500,14349
19688,16525,16685,16300,16300,2166
19695,16300,16490,15640,15850,13255
19702,16300,16300,16000,16000,3692
19709,16000,16100,15605,16100,5731
19716,16050,16150,15605,16050,7065
19723,15955,16200,15800,15800,3191
19730,16000,16000,15760,16000,3000
19737,15950,16000,15755,16000,4837
19744,16000,16400,15875,16200,1153
19751,15850,16000,15850,16000,5088
19758,16000,16200,16000,16100,910
19765,16190,17010,16100,17000,12681
19772,17000,18200,17000,17950,11860
19779,17945,17945,17740,17750,6720
19786,17750,17750,17500,17500,9788
19793,17200,17735,17200,17700,6530
19800,17700,17700,17650,17690,2941
19807,17750,17750,17000,17000,2925
19814,17500,17790,17000,17500,6754
19821,17700,18050,17500,17900,3597
19828,17955,18750,17900,17900,5668
19835,17900,18000,17645,17900,26111
19842,17900,17900,17850,17850,8325
19849,17850,17850,17740,17745,12136
19856,17745,18000,17745,18000,4554
19863,17950,18500,17750,18500,5656
19870,19545,19545,19000,19400,9459
19877,19800,20500,19795,20295,4278
19884,20650,20810,20500,20510,1677
19891,20510,20810,20510,20690,8256
19898,20685,20685,19015,19015,7083
19905,19025,19500,19025,19500,7780
19912,19950,19950,19205,19740,2575
19919,19500,20500,19500,20500,11446
19926,20450,20500,20155,20500,6137
19933,20500,20500,20155,20490,23122
19940,20490,20490,20300,20450,5655
19947,20450,20500,20100,20450,3353
19954,20440,20440,19950,20275,6648
19961,19900,20325,19900,20300,5661
19968,20350,20350,19800,19810,8036
19975,19810,20295,19810,20005,11083
19982,20200,20200,19800,19800,6658
19989,19985,19985,19650,19700,16930
19996,19650,19850,19150,19850,9302
20003,19500,20000,19500,19650,3082
20010,19650,19650,19300,19300,4203
20017,19300,20195,19300,19500,4786
20024,19575,20200,19300,19800,347935
20031,19800,19800,19600,19600,4121
20038,19600,19600,19300,19550,21573
20045,19550,19550,19300,19300,10572
20052,19300,19900,19300,19900,2782
20059,19900,19900,19350,19400,3695
20066,19400,19600,19210,19600,20857
20073,19300,19895,19300,19895,7307
20080,19850,20005,19850,20005,11170
20087,20005,21000,19910,20800,3089
20094,20500,20500,19035,20000,10074
20101,19600,20000,19600,20000,3754
20108,19995,20000,19810,20000,4016
20115,20000,20895,20000,20895,5115
20122,20895,22500,20790,22500,7146
20129,22495,22495,21000,21995,6988
20136,22000,22000,21850,21900,43673
20143,21900,22500,21700,22005,10083
20150,22400,22500,22000,22150,5339
20157,22160,22200,21850,21900,35182
20164,21900,21900,21695,21900,6217
20171,21900,21900,21850,21900,3380
20178,21850,21900,21550,21550,4366
20185,21900,21900,21700,21850,6707
20192,21850,22105,21805,22000,10232
20199,22105,22510,22000,22110,2053
20206,22110,22110,21890,21890,8853
20213,21890,22000,21500,21600,5265
20220,21900,22000,21600,21995,32123
20227,22000,22010,21800,22010,7531
20234,21900,22000,21850,22000,14487
20241,22000,22500,21850,22500,20581
20248,22490,23500,22490,23500,19354
20255,23500,24610,23500,24610,15838
20262,24610,24650,24500,24650,12329
20269,24650,25000,24000,25000,3031
20276,25000,25300,24700,25005,9215
20283,25200,25200,25000,25100,17885
20290,25060,26000,25050,26000,1405
20297,26000,26000,24860,25000,4830
20304,24500,25500,24500,24500,31475
20311,25900,25900,25000,25000,4803
20318,25500,26000,25500,26000,4240
20325,26000,26000,25500,26000,6001
20332,26000,26500,26000,26300,13136
20339,26200,28000,26200,27480,2339
20346,27480,27495,26615,27450,5222
20353,27450,27500,27005,27500,4276
20360,27500,27600,26500,27000,8983
20367,27600,27600,26205,27500,5699
20374,27500,27995,26900,27005,5562
20381,28000,28000,27200,27350,8075
20388,27700,27800,27600,27700,5649
20395,27500,27500,26950,26995,3330
20402,26900,28200,26805,27000,33749
20409,27000,27325,26500,26500,37150
20416,27095,27650,26210,26500,35592
20423,26515,30050,26515,30050,7205
20430,30000,30000,28900,28900,6163
20437,28900,29000,28500,28500,6969
20444,28500,28550,27800,28300,10255
20451,27650,29900,27650,29600,23362
20458,29650,29650,27500,27500,25818
20465,29380,29380,28135,28400,5926
20472,28405,29600,28405,29600,33039
20479,29055,29990,29055,29990,8554
20486,31195,31195,30500,30500,1042
