d,o,h,l,c,v
18652,645,645,645,645,220
18659,645,645,600,600,23365
18666,595,600,580,580,17606
18673,600,600,580,595,7711
18680,595,595,585,585,8841
18687,585,590,580,590,13404
18694,590,595,590,595,28461
18701,590,600,590,595,24360
18708,595,600,590,595,7735
18715,595,600,590,600,16782
18722,600,600,590,590,7647
18729,590,600,580,580,22055
18736,585,585,580,585,11772
18743,585,590,580,590,8348
18750,590,590,520,580,27126
18757,580,590,580,585,30980
18764,585,590,585,585,36237
18771,590,610,585,610,32198
18778,605,605,595,600,24680
18785,595,630,595,620,60534
18792,625,630,620,630,11045
18799,650,690,630,690,8150
18806,690,800,690,720,15109
18813,720,740,700,715,10051
18820,710,740,700,725,3696
18827,730,770,700,700,17378
18834,710,750,700,710,6556
18841,750,750,710,740,7761
18848,715,730,710,730,11113
18855,730,745,715,715,8390
18862,745,765,720,765,9283
18869,765,830,765,805,9577
18876,805,870,805,870,27143
18883,870,870,840,850,32400
18890,845,895,845,895,31577
18897,895,930,875,875,16197
18904,895,895,835,845,14789
18911,850,950,850,915,24847
18918,950,1060,915,1060,21550
18925,1055,1055,1000,1035,28260
18932,1040,1040,825,825,23853
18939,835,840,790,840,15004
18946,840,900,835,890,15023
18953,850,890,825,845,6593
18960,850,900,830,900,19577
18967,900,900,830,830,13369
18974,830,885,800,845,14138
18981,840,885,830,880,13928
18988,880,880,850,860,5794
18995,860,895,845,845,9424
19002,845,890,830,870,15952
19009,845,850,830,845,8683
19016,840,860,835,860,34561
19023,865,940,860,940,20543
19030,900,985,900,950,52383
19037,950,950,910,945,8977
19044,945,945,925,935,5884
19051,935,935,905,905,39992
19058,915,945,915,945,14337
19065,945,945,935,940,8250
19072,935,935,910,935,3967
19079,940,940,920,920,7900
19086,905,905,890,890,18512
19093,880,920,870,920,16811
19100,920,920,905,905,5648
19107,905,905,900,900,6961
19114,900,900,840,855,8600
19121,850,850,775,790,3130
19128,790,860,790,860,4161
19135,850,860,815,815,2211
19142,815,850,810,810,1862
19149,810,860,810,860,3727
19156,860,865,815,860,5202
19163,850,860,840,860,5765
19170,860,860,810,850,2563
19177,810,900,810,900,1345
19184,900,900,860,895,2620
19191,900,900,850,895,3813
19198,895,895,850,890,17457
19205,895,895,890,895,2033
19212,890,895,850,865,2561
19219,880,895,850,850,5779
19226,850,895,850,850,3484
19233,875,875,820,840,3520
19240,850,895,850,895,9633
19247,895,895,880,885,2497
19254,870,885,860,885,3976
19261,885,885,830,875,2798
19268,870,875,825,870,7034
19275,870,870,830,860,4338
19282,850,890,850,865,5986
19289,880,885,865,875,4006
19296,885,885,850,850,39034
19303,800,840,800,800,2425
19310,750,830,750,820,6546
19317,830,830,770,770,3128
19324,770,780,710,710,1209
19331,700,725,675,725,6908
19338,755,770,730,760,7689
19345,760,800,735,795,2984
19352,795,795,750,750,2209
19359,750,770,710,760,3065
19366,800,800,750,750,6449
19373,750,750,705,750,3413
19380,745,795,745,795,8294
19387,795,795,750,780,2797
19394,780,800,780,795,3318
19401,755,810,755,800,5427
19408,805,805,800,800,5349
19415,800,800,750,795,2540
19422,790,800,780,800,3522
19429,800,830,790,830,12171
19436,830,830,790,800,3629
19443,800,800,755,790,3121
19450,790,790,735,740,1387
19457,750,750,700,730,10019
19464,710,730,705,705,2964
19471,705,705,650,650,23096
19478,650,695,650,695,9762
19485,705,705,695,700,8753
19492,705,705,680,685,5822
19499,690,690,650,650,21878
19506,675,675,640,660,38191
19513,690,695,680,690,17126
19520,690,795,690,790,15212
19527,770,790,755,790,8616
19534,800,800,715,755,11040
19541,755,770,755,760,14397
19548,760,790,750,780,32091
19555,780,795,770,780,6332
19562,780,780,770,770,16881
19569,765,840,750,750,12647
19576,780,780,750,780,9632
19583,780,780,750,770,9243
19590,775,775,755,765,8608
19597,765,785,755,775,5135
19604,790,795,770,795,5423
19611,795,840,795,810,5368
19618,810,820,770,815,8799
19625,815,845,775,845,26667
19632,800,840,785,840,1890
19639,845,850,800,800,8463
19646,800,845,800,820,9456
19653,820,830,815,815,6254
19660,830,830,805,815,6435
19667,805,810,805,805,22841
19674,805,835,805,805,1358
19681,810,840,805,830,1379
19688,830,830,805,830,1741
19695,810,825,805,815,6949
19702,815,815,805,810,9709
