d,o,h,l,c,v
18652,1337.5,1337.5,1337.5,1337.5,1622
18659,1325.0,1337.5,1305.0,1305.0,26324
18666,1312.5,1312.5,1292.5,1292.5,32282
18673,1292.5,1350.0,1292.5,1335.0,48050
18680,1302.5,1350.0,1300.0,1350.0,89586
18687,1335.0,1347.5,1330.0,1330.0,31106
18694,1330.0,1345.0,1330.0,1335.0,9052
18701,1335.0,1347.5,1325.0,1325.0,20818
18708,1330.0,1395.0,1325.0,1350.0,11064
18715,1395.0,1400.0,1350.0,1350.0,6938
18722,1380.0,1400.0,1350.0,1397.5,8296
18729,1397.5,1450.0,1380.0,1450.0,30230
18736,1450.0,1645.0,1415.0,1595.0,51552
18743,1595.0,1625.0,1500.0,1577.5,30526
18750,1592.5,1622.5,1550.0,1622.5,17610
18757,1600.0,1600.0,1600.0,1600.0,17794
18764,1600.0,1650.0,1600.0,1650.0,44344
18771,1647.5,1675.0,1605.0,1675.0,21724
18778,1675.0,1690.0,1605.0,1650.0,48684
18785,1722.5,1725.0,1650.0,1670.0,73738
18792,1670.0,1745.0,1665.0,1677.5,88234
18799,1677.5,1700.0,1652.5,1652.5,99968
18806,1700.0,1700.0,1665.0,1680.0,61506
18813,1685.0,1805.0,1682.5,1750.0,63296
18820,1750.0,1792.5,1747.5,1752.5,23970
18827,1800.0,1850.0,1700.0,1700.0,38222
18834,1732.5,1732.5,1650.0,1650.0,51302
18841,1695.0,1747.5,1687.5,1747.5,68074
18848,1750.0,1775.0,1725.0,1750.0,21808
18855,1750.0,1800.0,1750.0,1800.0,93278
18862,1832.5,1870.0,1800.0,1867.5,171696
18869,1870.0,1900.0,1827.5,1850.0,104546
18876,1850.0,1865.0,1850.0,1865.0,36916
18883,1865.0,2000.0,1862.5,2000.0,55760
18890,2050.0,2150.0,2000.0,2100.0,124766
18897,2100.0,2100.0,1950.0,1952.5,153518
18904,1955.0,2000.0,1950.0,1950.0,142370
18911,1950.0,1975.0,1950.0,1950.0,79096
18918,1950.0,1950.0,1925.0,1925.0,62054
18925,1925.0,1950.0,1897.5,1950.0,159548
18932,1940.0,2050.0,1940.0,1947.5,81026
18939,1950.0,1950.0,1902.5,1902.5,78780
18946,1942.5,1942.5,1900.0,1900.0,42886
18953,1900.0,1955.0,1895.0,1920.0,34646
18960,1950.0,2100.0,1930.0,2000.0,41464
18967,2000.0,2000.0,1950.0,1950.0,31268
18974,1950.0,1950.0,1900.0,1900.0,54654
18981,1900.0,1940.0,1900.0,1900.0,36952
18988,1900.0,1992.5,1900.0,1992.5,64170
18995,1995.0,1995.0,1900.0,1905.0,49878
19002,1925.0,1992.5,1925.0,1992.5,37024
19009,1990.0,1995.0,1940.0,1995.0,50670
19016,1995.0,2000.0,1975.0,1975.0,33196
19023,1975.0,1995.0,1950.0,1995.0,71892
19030,2000.0,2000.0,1950.0,1975.0,73358
19037,2000.0,2000.0,1965.0,1977.5,139802
19044,2100.0,2100.0,1977.5,2100.0,49648
19051,2100.0,2175.0,2097.5,2122.5,77674
19058,2132.5,2132.5,2097.5,2097.5,38292
19065,2100.0,2122.5,2052.5,2100.0,41718
19072,2125.0,2227.5,2125.0,2182.5,33524
19079,2225.0,2225.0,2177.5,2180.0,88840
19086,2200.0,2200.0,2127.5,2180.0,22806
19093,2180.0,2200.0,2127.5,2200.0,277884
19100,2210.0,2250.0,2210.0,2222.5,70034
19107,2245.0,2247.5,2200.0,2200.0,22250
19114,2202.5,2225.0,2200.0,2210.0,60082
19121,2210.0,2225.0,2207.5,2225.0,32338
19128,2215.0,2325.0,2215.0,2325.0,35266
19135,2322.5,2322.5,2300.0,2300.0,25590
19142,2215.0,2310.0,2215.0,2300.0,19666
19149,2305.0,2347.5,2300.0,2305.0,31004
19156,2302.5,2335.0,2302.5,2325.0,41144
19163,2375.0,2375.0,2320.0,2340.0,41916
19170,2375.0,2375.0,2100.0,2100.0,53802
19177,2147.5,2165.0,2125.0,2127.5,209740
19184,2125.0,2150.0,2125.0,2150.0,37978
19191,2130.0,2235.0,2130.0,2217.5,66094
