d,o,h,l,c,v
18652,205,205,205,205,200
18659,215,215,205,205,4023
18666,205,205,200,205,413
18673,205,205,200,205,2462
18680,200,205,200,205,241
18687,205,205,200,205,1070
18694,205,210,200,210,150
18701,210,210,205,210,594
18708,210,210,210,210,1374
18715,210,210,210,210,280
18722,210,215,210,210,403
18729,210,210,200,200,8646
18736,200,200,200,200,1743
18743,200,220,200,215,4624
18750,215,235,215,220,1026
18757,235,265,235,265,407
18764,265,365,260,365,4578
18771,345,435,345,435,4221
18778,440,440,370,370,5775
18785,365,365,320,345,4963
18792,360,395,350,395,11771
18799,420,480,420,470,12595
18806,450,450,380,450,5551
18813,450,450,425,425,951
18820,425,470,425,470,2571
18827,465,465,465,465,1548
18834,465,470,450,450,7068
18841,450,465,425,465,2173
18848,465,465,435,460,1308
18855,460,460,450,455,1385
18862,460,465,455,460,3092
18869,460,465,460,460,1588
18876,455,455,450,455,2886
18883,455,455,455,455,423
18890,460,500,460,500,15544
18897,535,670,535,670,8816
18904,670,670,600,615,3692
18911,610,645,600,635,5348
18918,645,645,610,610,2011
18925,600,630,600,615,1182
18932,620,620,600,615,4192
18939,610,615,600,615,6859
18946,605,615,600,600,4844
18953,600,615,600,610,8597
18960,605,610,580,610,1184
18967,600,615,580,580,6719
18974,585,585,580,580,496
18981,585,815,585,815,91709
18988,815,900,810,895,89120
18995,895,960,835,880,5610
19002,880,880,775,830,3447
19009,815,875,780,875,2644
19016,875,925,875,925,2364
19023,925,925,875,900,2000
19030,835,900,720,770,97129
19037,825,1000,825,1000,174773
19044,960,960,695,695,15359
19051,745,920,700,920,89700
19058,910,910,835,835,81658
19065,840,850,750,805,4223
19072,805,805,770,795,2955
19079,795,890,795,840,12032
19086,840,845,800,840,12595
19093,845,845,825,825,1712
19100,825,825,770,810,5029
19107,800,885,800,840,20328
19114,840,885,825,885,10808
19121,885,885,825,880,5069
19128,830,850,825,825,3113
19135,850,850,825,825,3294
19142,825,870,825,855,3457
19149,860,860,825,825,4979
19156,825,850,825,850,2205
19163,850,850,825,845,1267
19170,850,850,830,850,1251
19177,850,850,835,835,279
19184,835,835,830,835,992
19191,830,845,825,845,3843
19198,840,840,825,830,2166
19205,830,840,825,840,1167
19212,840,840,825,825,1412
19219,825,830,810,830,9904
19226,825,825,810,810,1160
19233,810,810,750,750,4239
19240,780,780,750,770,1621
19247,770,770,680,770,1687
19254,770,800,695,800,80235
19261,740,975,740,845,17707
19268,845,895,790,895,6210
19275,835,950,835,865,10660
19282,860,860,840,860,4293
19289,835,860,800,800,612
19296,860,860,800,800,4582
19303,800,800,795,795,1614
19310,795,860,795,860,1092
19317,860,860,785,785,496
19324,785,785,700,700,1336
19331,700,760,700,740,806
19338,730,730,695,695,2334
19345,695,695,650,695,4766
19352,695,715,675,675,1986
19359,675,675,625,625,4167
19366,625,670,620,620,7532
19373,620,700,610,700,16568
19380,650,715,650,710,1835
19387,710,720,700,720,5218
19394,750,750,725,735,1554
19401,740,740,680,730,3504
19408,730,730,670,710,1444
19415,715,715,655,700,1514
19422,650,710,650,690,15165
19429,685,685,620,640,4126
19436,635,640,600,635,3356
19443,615,635,600,625,5875
19450,625,635,625,630,1215
19457,630,630,625,625,910
19464,605,625,605,625,1569
19471,625,630,605,630,10055
19478,625,630,600,620,11210
19485,615,615,590,605,1480
19492,605,605,550,550,579
19499,565,605,565,600,777
19506,605,605,550,600,2182
19513,600,605,600,600,9643
19520,600,600,600,600,110
19527,600,600,600,600,469
19534,600,600,585,600,874
19541,585,585,550,575,1876
19548,580,580,550,550,1980
19555,550,580,550,580,1068
19562,580,580,550,570,646
19569,570,570,545,560,2332
19576,560,560,520,520,507
19583,550,560,550,550,2186
19590,550,560,550,550,1366
19597,550,550,510,550,1519
19604,510,550,510,515,5954
19611,515,525,515,525,875
19618,550,550,515,545,886
19625,545,545,500,500,2863
19632,500,535,495,530,1618
19639,495,565,495,565,8224
19646,560,635,525,635,7988
19653,635,635,595,615,1413
19660,605,615,555,555,1014
19667,515,600,515,595,731
19674,590,680,585,680,135095
19681,680,900,680,900,13290
19688,840,895,820,820,98885
19695,760,790,695,720,5434
19702,750,850,750,850,75368
19709,845,850,790,790,83621
19716,790,840,790,830,20860
19723,790,830,765,830,68388
19730,825,845,785,825,18079
19737,825,825,760,825,7232
19744,825,825,760,820,860
19751,760,820,760,815,3106
19758,760,820,760,815,4228
19765,815,820,800,820,1070
19772,815,815,810,815,407
19779,815,815,760,815,1061
19786,800,800,795,800,145
19793,755,800,755,800,704
19800,800,800,755,790,1303
19807,780,810,780,805,2451
19814,805,805,800,800,524
19821,800,800,740,800,5523
19828,750,800,740,800,930
19835,800,800,750,800,247
19842,740,750,685,685,153
19849,685,685,650,675,469
19856,675,700,650,650,1301
19863,650,650,605,605,1183
19870,650,650,600,645,1243
19877,600,640,555,580,1786
19884,580,580,575,575,2206
19891,570,570,500,500,26242
19898,500,500,455,500,3113
19905,500,500,490,490,957
19912,490,490,465,490,3180
19919,490,500,470,470,49633
19926,470,510,470,495,63381
19933,495,575,495,575,29160
19940,575,575,550,560,4202
19947,555,695,555,695,3320
19954,720,720,590,640,27481
19961,640,700,600,650,1500
19968,650,650,595,595,3787
19975,590,595,555,555,17428
19982,565,565,525,555,38674
19989,555,560,500,535,10107
19996,555,560,520,535,38454
20003,535,535,475,505,18477
20010,510,525,505,525,8357
20017,525,530,495,520,14396
20024,520,520,520,520,988
20031,520,535,500,520,10472
20038,490,520,485,500,11781
20045,500,510,485,510,10548
20052,510,515,510,515,763
20059,515,530,495,515,6538
20066,515,515,500,500,2013
20073,520,520,500,510,6122
20080,515,515,485,510,694
20087,500,500,475,495,751
20094,495,510,495,510,635
20101,510,510,450,475,5840
20108,475,495,450,480,575
20115,485,495,450,480,1110
20122,495,495,455,485,2224
20129,485,495,485,490,2048
20136,490,500,460,500,6301
20143,500,510,500,510,4613
20150,510,510,495,500,3019
20157,500,520,495,505,6674
20164,510,510,475,510,38113
20171,510,510,500,510,9490
20178,510,510,500,500,5749
20185,500,505,495,495,42238
20192,500,505,460,465,43614
20199,505,505,465,505,10563
20206,480,505,480,505,9714
20213,505,595,505,595,24536
20220,595,595,530,530,27396
20227,530,550,510,520,5944
20234,515,545,515,545,68642
20241,530,550,520,535,2479
20248,525,565,510,510,11865
20255,515,550,505,545,8089
20262,545,545,535,535,6238
20269,535,540,525,530,3880
20276,530,535,525,525,21266
20283,525,530,510,510,8656
20290,530,530,510,525,4329
20297,525,525,505,520,9323
20304,520,550,520,540,2721
20311,540,550,540,545,17815
20318,545,590,540,590,17810
20325,590,600,575,600,13877
20332,600,600,585,600,32621
20339,600,715,590,695,19236
20346,700,700,685,685,17043
20353,695,700,685,690,31847
20360,690,690,625,630,45917
20367,650,675,650,670,35511
20374,675,720,655,700,52904
20381,700,715,670,670,61517
20388,710,710,700,700,55591
20395,695,700,680,695,11593
20402,715,715,685,695,34111
20409,695,700,685,690,6149
20416,685,720,680,715,19814
20423,665,755,665,755,91541
20430,810,1080,810,1080,16301
20437,1160,1540,1160,1540,58904
20444,1655,1805,1655,1720,174046
20451,1680,1695,1485,1680,85230
20458,1700,1715,1600,1660,34511
20465,1660,1700,1650,1700,23139
20472,1700,1750,1695,1750,47088
20479,1730,1935,1730,1935,27903
20486,2150,2150,2050,2050,7964
