d,o,h,l,c,v
18659,5580.0,5580.0,5300.0,5300.0,90
18666,5600.0,5600.0,5300.0,5301.0,50
18673,5301.0,5301.0,5301.0,5301.0,90
18687,5301.0,5301.0,5301.0,5301.0,10
18694,5301.0,5301.0,5301.0,5301.0,80
18701,5301.0,5301.0,5300.0,5300.0,130
18708,5300.0,5301.0,5300.0,5300.0,140
18715,5600.0,5600.0,5600.0,5600.0,10
18729,5800.0,5800.0,5700.0,5700.0,2380
18736,6127.5,6200.0,6127.5,6200.0,490
18743,6200.0,6200.0,6200.0,6200.0,20
18750,6200.0,7096.0,6200.0,7096.0,730
18757,7096.0,7100.0,7050.0,7100.0,140
18764,7100.0,7400.5,7100.0,7400.5,7150
18771,7400.5,7400.5,7100.0,7100.0,900
18778,7200.0,7200.5,7200.0,7200.0,1030
18785,7201.0,7205.5,7200.0,7205.5,310
18792,7400.0,7400.0,7400.0,7400.0,10
18799,7400.0,7400.5,7400.0,7400.5,130
18806,7401.5,7956.0,7401.5,7956.0,40
18813,7956.0,9193.5,7400.0,9193.5,280
18820,9190.0,9190.0,8700.0,9170.0,2000
18827,9180.0,9180.0,9170.0,9180.0,2130
18834,9180.5,9180.5,9180.5,9180.5,70
18841,8239.0,8856.5,8239.0,8856.5,10
18848,9520.5,11325.0,9520.5,11325.0,310
18855,12170.0,15118.0,12170.0,15118.0,790
18862,16251.5,16251.5,12170.0,12170.0,2070
18869,11300.0,11350.0,10495.0,10495.0,590
18876,10490.0,10490.0,9500.0,10212.5,49690
18883,10300.0,10600.0,9851.0,9851.0,560
18890,10500.0,10500.0,9851.0,9851.0,1160
18897,9900.0,10500.0,9851.0,9900.0,1300
18904,10200.0,10200.0,10200.0,10200.0,140
18911,9855.5,10150.0,9855.5,10000.5,4190
18918,10100.0,10200.0,10000.5,10200.0,1560
18925,10965.0,13621.0,10965.0,13621.0,770
18932,13621.0,13621.0,12000.0,12600.0,12330
18939,12600.5,13500.0,12600.0,12600.0,1040
18946,12600.0,14000.0,12600.0,14000.0,6090
18953,14980.0,14980.0,12910.0,13000.5,4830
18960,13500.0,13700.0,13500.0,13502.5,370
18967,13500.0,14520.0,13500.0,14520.0,320
18974,14550.0,14600.0,14520.0,14600.0,1740
18981,14500.0,14700.0,14500.0,14700.0,510
18988,14700.0,15600.0,14500.5,15600.0,1510
18995,14430.0,15000.0,13400.0,15000.0,470
19002,15000.0,15400.0,15000.0,15400.0,1680
19009,15490.0,15700.0,15490.0,15700.0,720
19016,15799.5,15799.5,15700.0,15725.0,260
19023,15700.0,16700.0,15700.0,16500.0,3480
19030,16500.0,16600.0,16500.0,16600.0,380
19037,16500.0,16500.0,16300.0,16500.0,2370
19044,16000.0,16770.0,16000.0,16699.5,1710
19051,16700.0,16800.0,15550.0,16500.0,1650
19058,16500.0,16600.0,15800.0,16600.0,500
19065,16600.0,16635.0,15800.0,15800.0,2610
19072,16000.0,16400.0,15500.0,15700.0,3450
19079,16400.0,16400.0,15500.0,15500.0,1130
19086,15500.0,15500.0,15500.0,15500.0,180
19093,16350.0,16350.0,15000.0,15600.0,730
19100,16400.0,16400.0,15500.0,15500.0,1750
19107,16300.0,16300.0,15500.0,15500.0,2160
19114,15500.0,15500.0,15000.0,15000.0,3480
19121,14999.5,14999.5,14500.0,14500.0,53940
19128,14000.0,14000.0,12395.0,12395.0,520
19135,11465.5,11550.0,11465.5,11550.0,970
19142,11550.0,12900.0,11550.0,12000.0,320
19149,12000.0,13500.0,12000.0,13500.0,250
19156,13500.0,15587.5,13500.0,15587.5,50
19163,15587.0,15587.0,14999.5,15000.0,15480
19170,14999.5,15000.0,14900.0,15000.0,15600
19177,15000.0,15000.0,14500.0,14500.0,160
19184,15000.0,15000.5,15000.0,15000.0,1000
19191,15000.0,15000.0,14500.0,14500.0,740
19198,14500.0,14500.0,13412.5,13412.5,1120
19205,13500.0,13500.0,13500.0,13500.0,1240
19212,13500.0,13500.0,13500.0,13500.0,10
19219,12200.0,12200.0,12100.0,12100.0,190
19226,11205.0,11220.0,11200.0,11200.5,280
19233,10365.0,11500.0,10000.0,10750.0,2110
19240,10750.0,12420.0,10750.0,11556.0,320
19247,11556.0,12000.0,11500.0,12000.0,270
19254,12000.0,12000.0,11900.0,11900.0,170
19261,11900.0,11900.0,10675.5,10675.5,550
19268,10000.0,10675.5,10000.0,10500.0,1150
19275,10305.0,11000.0,10015.0,10015.0,770
19282,10500.5,11288.0,10000.0,10000.0,880
19289,10750.0,11555.0,10750.0,11550.0,30
19296,11549.5,11549.5,10640.0,10640.0,100
19303,9850.0,9850.0,8422.5,8600.0,1750
19310,8422.0,8422.5,8000.0,8422.0,600
19317,9000.0,9000.0,8400.0,8400.0,780
19324,8800.0,8800.0,8500.0,8500.0,1090
19331,9000.0,9000.0,8500.0,9000.0,7790
19338,8400.0,8400.0,8400.0,8400.0,60
19345,8600.0,9000.0,8325.0,8325.0,250
19352,8400.0,8400.0,8325.0,8325.0,570
19359,8325.0,8400.0,8325.0,8400.0,160
19366,8450.0,8450.0,8350.0,8400.0,440
19373,8400.0,8400.0,7585.0,7585.0,150
19380,7585.0,7585.0,7585.0,7585.0,4440
19387,7586.5,7586.5,7586.5,7586.5,0
19394,8155.0,8500.0,8155.0,8500.0,20
19401,8500.0,8500.0,7800.0,7800.0,70
19408,7800.0,8000.0,7800.0,8000.0,340
19415,8000.0,8000.0,8000.0,8000.0,1370
19422,8000.0,8000.0,8000.0,8000.0,30
19429,8000.5,8000.5,8000.0,8000.0,110
19436,8000.0,8000.0,8000.0,8000.0,80
19443,7800.0,8000.0,7800.0,8000.0,10380
19450,8000.0,8600.0,8000.0,8600.0,120
19457,8600.0,8700.0,8600.0,8600.0,2570
19464,8600.0,8600.0,8000.0,8000.0,2330
19471,7590.0,7590.0,7021.0,7021.0,800
19478,7500.0,8062.5,7500.0,8062.5,10
19485,8599.5,8600.0,8599.5,8600.0,140
19499,8000.0,8000.0,7500.0,7500.0,150
19506,7500.0,7900.0,6760.0,6760.0,410
19513,6253.0,6253.5,5785.0,6253.5,970
19520,6253.5,6880.0,5600.0,6880.0,620
19527,7307.5,7307.5,7307.0,7307.0,160
19534,7307.5,7307.5,7307.5,7307.5,170
19541,7307.5,7400.0,6759.5,7400.0,220
19548,7400.0,7400.0,7400.0,7400.0,40
19555,7000.0,7400.0,6845.0,6845.0,190
19562,7350.0,7400.0,7350.0,7400.0,200
19569,7400.0,7400.0,7300.0,7400.0,5850
19576,7400.0,7845.5,7400.0,7845.5,6110
19583,7845.5,7845.5,7401.0,7845.5,260
19590,7845.5,8433.5,7845.5,7850.0,210
19597,8433.0,8599.5,7850.0,8599.5,90
19604,8500.0,9030.0,8400.0,9000.0,260
19611,9000.0,9030.0,8500.0,9030.0,90
19618,9030.0,9030.0,9020.0,9020.0,30
19625,9015.0,9015.0,8500.0,9000.0,210
19632,8999.0,9020.0,7790.0,8374.0,290
19639,8380.0,9000.0,8374.0,8990.0,200
19646,8990.0,9000.0,8330.0,8900.0,2460
19653,8500.0,9000.0,8500.0,8500.0,1040
19660,8900.0,9000.0,8900.0,8980.0,1670
19667,8969.0,9000.0,8500.0,8500.0,7770
19674,8500.0,8950.0,8500.0,8950.0,50
19681,8990.0,9000.0,8325.0,9000.0,1200
19688,8999.0,9000.0,8325.0,8999.0,1210
19695,8995.0,9000.0,8995.0,9000.0,290
19702,8820.0,9000.0,8820.0,9000.0,70
19709,8900.0,9000.0,7900.0,9000.0,7240
19716,9000.0,9000.0,8330.0,8700.0,140
19723,8700.0,9000.0,8700.0,8950.0,50
19730,8800.0,8950.0,8800.0,8950.0,1690
19737,8950.0,8950.0,8800.0,8805.0,280
19744,8895.0,8895.0,8893.5,8894.0,50
19758,8227.0,8850.0,8227.0,8850.0,280
19765,8227.0,8894.0,8200.0,8850.0,390
19772,8850.0,8850.0,8850.0,8850.0,10
19779,8250.0,8800.0,8250.0,8800.0,370
19793,8699.5,8700.0,8699.5,8700.0,200
19800,8300.0,8300.0,8300.0,8300.0,450
19807,8320.0,8700.0,8320.0,8325.0,710
19877,8325.0,8325.0,8325.0,8325.0,0
19975,8510.0,9250.0,8510.0,8659.0,530
19982,8659.0,9307.5,8650.0,9307.5,2300
19989,9308.0,10212.5,9308.0,10212.5,1490
19996,10975.0,13870.0,10975.0,13505.0,15445
20003,14510.0,18200.0,14495.0,18200.0,14180
20010,18190.0,18190.0,14000.0,14000.0,6723
