d,o,h,l,c,v
18652,3500,3800,3500,3800,670
18659,3900,4070,3900,3950,1600
18666,3700,3700,3305,3315,1572
18673,3325,3605,3320,3605,392
18680,3795,3795,3610,3790,1878
18687,3790,4085,3790,4000,4174
18694,4295,4295,3625,3640,3386
18701,3700,4285,3700,4285,3132
18708,4200,4275,3980,4275,473
18715,4240,4240,3800,3800,515
18722,3800,3800,3500,3500,2513
18729,3760,4685,3760,4685,1093
18736,5035,6715,5035,6695,19386
18743,6950,6950,5790,6450,22665
18750,6055,6450,6055,6320,3786
18757,6400,6435,6400,6400,4887
18764,6675,6890,6650,6890,2693
18771,6890,7200,6850,7100,1465
18778,7025,7195,6850,6875,2680
18785,6880,6880,6565,6800,2737
18792,6800,7000,6800,7000,3756
18799,6950,7190,6855,7190,1478
18806,7190,7190,6900,6900,5459
18813,6900,7150,6895,7150,6944
18820,7150,7195,6385,7000,13075
18827,6900,6900,6700,6700,3467
18834,6700,6800,6400,6800,1422
18841,6800,6800,6655,6655,3912
18848,6710,6805,6700,6805,1638
18855,6810,7000,6810,7000,7727
18862,7000,7000,6700,6800,4303
18869,6825,7010,6655,6870,7100
18876,7385,7385,6900,7185,2696
18883,7185,7185,6805,7000,12097
18890,7000,7150,6910,7000,8306
18897,7005,7125,7000,7000,19998
18904,7000,7150,7000,7050,8400
18911,7150,7150,7005,7150,3591
18918,7150,7150,7010,7010,11642
18925,7010,7150,7000,7000,23287
18932,7090,7090,6900,6950,9039
18939,6950,6950,6945,6950,6969
18946,6950,6950,6600,6950,7148
18953,6950,7000,6750,6750,17183
18960,6950,6950,6850,6850,1264
18967,6950,6950,6800,6900,1982
18974,6900,6900,6505,6700,3421
18981,6700,6945,6650,6945,8650
18988,6945,7000,6900,6900,1528
18995,6900,7000,6500,7000,754
19002,7000,7080,6940,6940,1308
19009,7060,7080,6805,7000,1164
19016,7050,7080,6900,6900,3747
19023,7035,7035,6900,6945,1418
19030,7000,7100,7000,7100,1412
19037,7100,7400,7095,7150,2544
19044,7150,7495,7150,7400,2692
19051,7400,7400,7390,7400,16232
19058,7400,7400,7305,7380,12172
19065,7380,7380,7325,7375,4558
19072,7380,7400,7000,7000,11263
19079,7000,7400,6475,7400,8825
19086,7395,7400,7000,7000,2249
19093,7000,7545,7000,7400,2852
19100,7400,7995,7400,7995,2018
19107,7505,7840,7505,7550,2742
19114,7800,7800,6200,6895,28256
19121,6950,7400,6950,7200,1995
19128,7100,7150,6500,7150,1010
19135,7000,7350,7000,7350,4361
19142,7350,7395,7000,7195,1893
19149,7100,7195,7050,7195,1405
19156,7100,7350,7100,7345,2230
19163,7325,7345,7125,7150,9492
19170,7250,7385,7250,7385,587
19177,7395,7445,7350,7445,7320
19184,7445,7495,7390,7400,1435
19191,7200,7300,7200,7200,1290
19198,7190,7190,7050,7050,1247
19205,7000,7000,6800,6810,3103
19212,6980,6985,6500,6985,6545
19219,6985,7050,6750,6800,3273
19226,6530,6530,5905,6380,4531
19233,6000,6780,5955,6400,1224
19240,6500,6700,6100,6100,3229
19247,5700,6495,5700,6400,3300
19254,6295,6295,6050,6050,4142
19261,6050,6395,6000,6000,7781
19268,6000,7400,5960,7100,5414
19275,7100,7100,6800,7000,3121
19282,7050,7100,6890,6900,3157
19289,7000,7000,6600,6600,6213
19296,6995,6995,6600,6900,2008
19303,6900,6900,6700,6880,1161
19310,6900,7000,6705,6940,745
19317,6720,6950,6705,6900,1902
19324,6800,6850,6700,6715,4297
19331,6705,6750,6610,6700,1843
19338,6700,6760,6605,6715,11589
19345,6715,6995,6600,6980,1067
19352,6980,6980,6695,6800,6948
19359,6885,6900,6600,6600,413
19366,6610,6840,6610,6800,1500
19373,6840,6995,6800,6990,2993
19380,7000,7000,6900,7000,759
19387,7000,7100,6910,7100,2805
19394,7100,7490,7100,7490,1082
19401,7490,7490,7010,7250,2000
19408,7400,7665,7350,7500,6394
19415,7485,7490,7350,7485,9201
19422,7490,7500,7250,7250,3245
19429,7500,7695,7500,7695,7691
19436,7585,7585,7585,7585,806
19443,7585,7620,7500,7580,2967
19450,7570,7595,7505,7570,1111
19457,7570,7600,7510,7595,1961
19464,7520,7595,7520,7595,2099
19471,7580,7810,7350,7810,10388
19478,7600,8000,7600,7900,18916
19485,7895,7900,7785,7890,7532
19492,7890,7990,7800,7850,9129
19499,7785,7895,7785,7800,853
19506,7800,7880,7530,7530,1695
19513,7805,7805,7800,7800,6285
19520,7800,7800,7800,7800,5869
19527,7800,7800,7795,7800,6659
19534,7800,7800,7800,7800,20391
19541,7800,8155,7800,8155,20348
19548,8200,8400,8200,8255,12658
19555,8255,8400,8255,8385,12326
19562,8500,8780,8500,8750,7789
19569,8800,9500,8800,9500,9168
19576,9000,9500,9000,9400,5595
19583,9400,9850,9400,9745,4635
19590,9700,9700,9515,9550,4593
19597,9550,9550,8850,9050,7278
19604,9100,9305,9000,9010,5597
19611,9200,9305,9140,9150,5797
19618,9250,9250,9030,9150,5198
19625,9150,9150,9005,9150,758
19632,9150,9290,9005,9290,5054
19639,9135,9500,9000,9500,4559
19646,9500,10450,9400,10450,14924
19653,10160,10160,9275,9875,1186
19660,9850,9890,9250,9885,2513
19667,9890,9890,9650,9850,3659
19674,9800,9800,9720,9790,6594
19681,9795,9795,9605,9790,10613
19688,9790,9800,9700,9800,9146
19695,9800,9890,9800,9810,3744
19702,9870,10645,9870,10500,8513
19709,10450,10670,9855,10670,9097
19716,10000,10700,9910,10530,12483
19723,10600,10600,9905,10400,2574
19730,10390,10400,10200,10385,830
19737,10385,10385,10000,10250,2820
19744,9905,10100,9805,9805,3135
19751,9990,10000,9950,10000,1195
19758,9950,10240,9950,10240,1218
19765,10000,10250,9990,10000,5382
19772,10000,10300,10000,10300,2927
19779,10300,10300,10280,10290,1343
19786,10290,10290,10050,10050,3605
19793,10290,10290,10290,10290,688
19800,10290,10295,10260,10295,1653
19807,10295,10400,10280,10400,38360
19814,10380,11500,10380,11300,1470
19821,11300,11300,10755,11100,5178
19828,11100,11150,11095,11095,2529
19835,11090,11895,11090,11895,1992
19842,11770,11770,11490,11490,2565
19849,11295,11640,11210,11300,7876
19856,11350,11850,11350,11800,6135
19863,11800,11800,11400,11795,8826
19870,11795,11795,11500,11530,907
19877,11600,11800,11600,11800,2097
19884,11580,12000,11580,11800,1490
19891,11800,12100,11795,12100,2053
19898,12100,12505,11900,11900,2210
19905,11975,12095,11900,12095,1200
19912,12095,12275,12095,12100,2561
19919,12350,12850,12350,12850,9808
19926,12850,13500,12850,13000,1770
19933,13000,13000,12700,12845,5837
19940,12900,12900,12500,12900,2108
19947,12900,13200,12900,13200,2987
19954,13000,13500,13000,13500,2750
19961,13500,13800,13500,13800,1452
19968,13800,14890,13800,14600,4407
19975,14300,14600,14300,14600,8755
19982,14600,14900,14510,14510,5768
19989,14900,14900,12610,13540,5899
19996,13500,13600,13000,13000,4039
20003,13000,13490,11935,12000,8601
20010,12000,13100,11900,13100,1785
20017,13100,13400,12860,13300,2600
20024,13200,13300,12230,12230,20885
20031,11890,11890,9675,11000,8854
20038,11110,11110,10420,10490,5816
20045,10490,10490,9600,9790,14102
20052,9780,9780,9500,9515,5557
20059,9515,9600,9510,9600,5601
20066,9600,9600,9520,9600,3331
20073,9600,9770,9520,9600,2918
20080,9600,9600,9495,9500,2569
20087,9500,9500,8605,9200,2866
20094,9200,9200,8650,8800,3259
20101,8800,8800,6935,7480,4903
20108,7480,7480,6400,7400,7746
20115,7400,7445,7050,7400,4745
20122,7400,7400,6900,7160,10547
20129,7160,7750,7160,7200,5231
20136,7200,7200,7000,7100,16790
20143,7100,7195,6600,7195,11927
20150,7195,8170,7100,8170,20635
20157,8500,8800,8385,8385,10401
20164,8250,8595,8250,8595,2530
20171,8500,8600,8500,8600,2692
20178,8505,8600,8485,8500,3621
20185,8490,8600,8255,8430,5637
20192,8430,8430,8285,8400,5408
20199,8285,8440,8285,8405,12345
20206,8405,8440,7595,8035,11655
20213,8025,8050,8000,8050,2620
20220,8050,8495,8050,8405,3973
20227,8405,8650,8400,8400,3826
20234,8350,8500,8350,8450,4882
20241,8450,8500,8400,8420,2986
20248,8500,9135,8475,9135,11556
20255,9135,9850,9135,9850,3200
20262,9850,9850,9135,9450,2284
20269,9500,9500,8800,9085,3506
20276,9100,9100,8850,8850,876
