d,o,h,l,c,v
18652,11490,11490,11000,11000,93927
18659,11105,11500,11105,11290,296784
18666,11295,11420,11195,11200,27114
18673,11200,11300,11200,11290,98329
18680,11500,12775,11305,12775,34543
18687,12805,13000,12805,12875,74264
18694,12875,12875,12200,12200,7566
18701,12200,13000,12200,13000,6025
18708,12995,12995,12350,12500,175513
18715,12450,12900,12450,12795,37496
18722,12795,12995,12775,12995,24285
18729,12710,13690,12710,13690,167057
18736,13690,14000,13690,13795,127788
18743,13500,13845,13500,13845,13425
18750,13840,14500,13805,14500,275895
18757,14500,14955,13500,13500,150807
18764,13395,14000,13395,14000,73944
18771,13600,14500,13600,14300,83558
18778,14175,14175,13500,13500,24628
18785,13495,13610,13495,13610,34670
18792,13700,13905,13700,13900,7704
18799,13865,13865,13570,13840,30243
18806,13840,13840,13400,13500,58232
18813,13500,13500,13105,13500,231677
18820,13500,13500,13305,13400,4168
18827,13500,14290,13500,14275,50184
18834,14200,14285,14200,14280,11821
18841,14270,14285,14040,14285,15590
18848,14275,14275,14000,14000,13709
18855,14000,14240,13995,14000,23293
18862,14000,14000,13700,13795,35632
18869,13795,13795,13620,13700,21294
18876,13700,13700,13650,13690,64356
18883,13670,13670,13500,13600,108683
18890,13585,14000,13500,13500,154912
18897,13600,13900,13500,13700,183356
18904,13695,13800,13500,13795,16086
18911,13795,14100,13795,14000,62767
18918,14085,14085,13995,13995,28287
18925,14000,14100,13900,14100,42272
18932,14000,14100,13800,13990,101046
18939,13950,14090,13805,14000,9845
18946,14000,14000,13875,13875,87748
18953,13875,13900,13695,13700,77020
18960,13700,13980,13700,13900,68944
18967,13950,13950,13750,13750,55912
18974,13660,13800,13500,13500,143297
18981,13500,14000,13500,13980,42707
18988,13980,13990,13800,13975,43338
18995,13975,13990,13945,13950,66790
19002,14000,14000,13900,13970,9190
19009,13910,13990,13900,13990,72070
19016,13985,13985,13900,13900,41552
19023,13900,14100,13900,14100,88114
19030,14100,14300,14100,14300,33866
19037,14400,14675,14400,14675,45928
19044,14675,16110,14605,16110,42152
19051,16590,16590,16000,16000,121437
19058,16000,16000,15200,15600,11240
19065,15590,15595,15500,15500,39205
19072,15500,15900,15500,15900,30529
19079,15895,15895,15505,15650,52768
19086,15655,15900,15655,15900,35783
19093,15895,15995,15800,15900,33970
19100,15900,16000,15900,15995,108923
19107,15995,15995,15915,15950,24353
19114,15950,16000,15945,16000,92305
19121,16100,16430,15985,16430,108987
19128,15995,15995,14500,14500,12847
19135,14500,14600,14500,14600,124797
19142,14600,14895,14560,14560,35103
19149,14600,14750,14560,14750,32892
19156,14750,14750,14600,14600,14899
19163,14650,14650,14495,14495,32531
19170,14495,14500,14480,14480,52550
19177,14395,14490,14200,14485,12862
19184,14485,14490,14400,14490,12673
19191,14490,14700,14445,14445,60015
19198,14445,14990,14445,14890,28091
19205,14700,14800,14600,14800,53194
19212,14795,14890,14795,14800,43943
19219,14800,14870,14700,14800,26040
19226,14800,14800,14700,14785,16476
19233,14785,14800,14715,14785,46403
19240,14795,14795,14610,14610,90329
19247,14610,14620,14500,14620,71669
19254,14620,14800,14620,14750,21170
19261,14750,14750,14500,14500,92427
19268,14500,14750,14500,14750,22696
19275,14515,14900,14450,14450,61055
19282,14510,14680,14440,14440,17765
19289,14435,14500,14395,14400,103430
19296,14400,14985,14400,14800,97691
19303,14375,14800,14375,14500,80993
19310,14500,14500,14495,14495,34621
19317,14480,14790,14300,14790,24121
19324,14405,14800,14405,14700,13997
19331,14600,14650,14600,14600,32124
19338,14600,14600,14300,14600,66131
19345,14590,15600,14500,15600,30891
19352,15000,15600,15000,15200,76780
19359,15195,15395,15000,15000,31952
19366,14990,15000,14600,14900,47012
19373,14895,14900,14780,14850,46957
19380,14895,15200,14895,15200,61658
19387,15100,15200,15100,15190,72731
19394,15180,15200,15100,15200,105777
19401,15200,15400,15200,15300,60067
19408,15305,15690,15305,15690,108619
19415,15700,16395,15700,16195,81692
19422,16190,16200,16000,16100,93006
19429,16090,16100,15900,16000,33374
19436,16000,16000,15605,15700,32174
19443,15700,15845,15700,15800,75983
19450,15795,15840,15700,15840,26530
19457,15800,15840,15710,15800,32465
19464,15800,15900,15800,15900,15585
19471,15950,16000,15950,15990,73856
19478,15985,16000,15980,15980,23996
19485,16000,16495,15990,16495,105653
19492,15985,15985,14510,14800,9632
19499,14800,15000,14800,15000,65692
19506,15000,15000,14975,14990,20214
19513,14900,15400,14805,15400,77427
19520,15400,15400,15000,15100,49267
19527,15100,15285,15100,15285,40621
19534,15290,15400,15290,15400,24802
19541,15370,15600,15370,15600,26196
19548,15600,15700,15530,15675,35045
19555,15675,16200,15675,16200,36378
19562,16100,16985,16100,16985,40775
19569,16950,16985,16440,16500,27666
19576,16440,16700,16305,16700,50440
19583,16700,16785,16400,16400,65987
19590,16395,16395,16000,16310,76790
19597,16300,16675,16000,16675,16559
19604,16500,16700,16490,16600,21996
19611,16500,16850,16500,16700,35471
19618,16600,16700,16500,16600,19345
19625,16590,16590,16300,16400,39439
19632,16295,16400,16200,16400,60127
19639,16400,16400,16200,16300,21302
19646,16400,16400,16250,16300,51691
19653,16300,16845,16265,16500,39325
19660,16300,17000,16300,17000,51305
19667,16955,17100,16955,17100,29845
19674,17100,17150,17000,17150,37970
19681,17160,17295,17000,17295,14374
19688,17000,17295,17000,17200,25419
19695,17000,17100,16900,17000,33220
19702,17000,17245,17000,17000,26568
19709,17000,17490,16895,17490,50039
19716,16900,18000,16900,17980,101626
19723,17240,18000,17240,17995,43124
19730,17995,17995,17000,17000,73242
19737,17340,17400,17000,17000,50355
19744,17100,17340,17000,17000,19083
19751,17000,17200,16950,17000,35938
19758,17000,17400,17000,17200,49257
19765,17400,17400,17000,17200,57942
19772,17180,17850,17180,17850,42588
19779,17890,17900,17890,17900,44514
19786,17900,17900,17880,17900,15433
19793,17900,17900,17780,17810,46026
19800,17810,17900,17810,17900,11733
19807,17900,17900,17900,17900,123566
19814,17900,17900,17850,17890,69659
19821,17895,19350,17895,19000,12069
19828,19000,19000,19000,19000,10953
19835,18995,19000,18550,19000,58894
19842,19000,19300,19000,19300,40886
19849,19300,19500,19300,19500,15085
19856,19500,19500,18005,18380,59114
19863,18390,19000,18050,19000,119162
19870,19000,19200,19000,19200,65203
19877,19200,19300,19100,19200,12093
19884,19195,19330,19000,19330,71097
19891,19320,19500,19200,19500,63933
19898,19490,19490,19250,19380,47806
19905,19300,19400,19205,19395,106237
19912,19310,19800,19310,19700,16838
19919,19800,20505,19800,20505,69556
19926,20510,20510,20310,20500,18591
19933,20600,20700,20600,20600,50309
19940,20615,22000,20615,22000,25212
19947,22000,22005,22000,22000,74607
19954,22000,22495,22000,22495,31262
19961,22490,22500,22305,22500,100052
19968,22600,23000,22600,22950,28975
19975,22950,24000,22850,24000,47005
19982,23835,24130,23835,24000,76009
19989,24000,24000,23500,23995,34518
19996,23990,23990,23200,23600,313610
20003,23500,23845,23500,23600,97843
20010,23600,23600,22900,23000,72782
