d,o,h,l,c,v
18652,2375,2400,2375,2400,734
18659,2370,2425,2360,2365,3607
18666,2360,2400,2360,2365,3076
18673,2425,2425,2360,2365,4467
18680,2365,2600,2365,2545,16339
18687,2500,2650,2500,2650,13585
18694,2650,2990,2650,2900,8362
18701,2990,2990,2795,2900,3091
18708,2810,2900,2810,2850,16465
18715,2800,3000,2795,2950,15593
18722,2795,2950,2760,2800,9326
18729,2705,3000,2700,2900,12567
18736,2880,2900,2800,2875,5649
18743,2795,2950,2750,2950,8493
18750,2950,2950,2800,2900,4230
18757,2700,2900,2700,2900,1692
18764,2900,2945,2795,2945,4602
18771,2895,3000,2895,3000,5944
18778,3000,3000,2950,2990,4270
18785,2995,3440,2990,3440,39620
18792,3385,3430,3280,3430,5431
18799,3350,3430,3310,3400,8290
18806,3380,3550,3360,3450,9660
18813,3400,3550,3400,3545,3030
18820,3810,3870,3490,3600,5582
18827,3865,3865,3630,3710,1495
18834,3800,3800,3355,3600,99374
18841,3600,3800,3600,3700,15947
18848,3700,3800,3700,3720,5460
18855,3800,3800,3720,3795,2614
18862,3700,4275,3700,4240,32527
18869,4200,4250,4000,4250,20960
18876,4245,4245,4000,4180,5882
18883,4200,4250,4015,4220,9819
18890,4100,4255,4100,4250,19629
18897,4260,4500,4190,4500,16960
18904,4495,4720,4350,4505,22972
18911,4510,4995,4500,4995,38613
18918,4830,5335,4800,5295,7509
18925,5150,5600,5150,5500,7980
18932,5540,5540,5000,5000,17334
18939,4995,5005,4805,4900,17172
18946,4855,5100,4855,5095,23417
18953,5095,5140,5000,5140,7995
18960,4885,5350,4885,5000,10898
18967,5000,5100,4750,5000,7764
18974,5000,5000,4650,4990,4503
18981,4990,5100,4900,5000,52967
18988,4900,5300,4900,5000,63553
18995,5090,5090,4950,4990,14405
19002,4990,5025,4900,5025,10117
19009,5025,5195,4960,5195,8826
19016,5000,5195,4930,4950,2344
19023,4800,4950,4800,4950,19189
19030,4950,5180,4940,5180,42294
19037,5180,5300,5100,5300,7210
19044,5345,5500,5345,5485,5216
19051,5485,5485,5390,5485,5427
19058,5495,5495,5485,5490,11083
19065,5495,5600,5490,5520,15690
19072,5520,6000,5520,6000,28756
19079,5900,6100,5900,5995,19773
19086,5855,6050,5855,6000,8681
19093,5990,5990,5910,5990,4055
19100,5990,5990,5980,5990,22203
19107,5985,5990,5950,5985,73298
19114,5990,6200,5985,6150,51221
19121,6145,6950,6145,6950,22571
19128,7095,7095,6600,6605,18904
19135,6600,6600,6500,6590,7455
19142,6590,6600,6565,6590,4822
19149,6600,6600,6450,6500,12158
19156,6500,6600,6500,6600,7806
19163,6590,6600,6500,6595,2350
19170,6595,6600,6500,6500,2817
19177,6500,6500,6400,6450,2049
19184,6440,6500,6440,6450,4604
19191,6450,6500,6100,6100,2660
19198,6100,6100,5900,5915,7842
19205,5915,6000,5915,5955,6036
19212,5950,6000,5910,6000,6699
19219,5955,6000,5955,5990,3962
19226,5950,6000,5910,5980,1769
19233,5915,5950,5865,5865,3985
19240,5890,5890,5490,5700,4826
19247,5695,6000,5695,6000,10061
19254,6000,6100,5950,6100,54180
19261,6050,6450,5980,6350,20053
19268,6350,6350,5705,6000,13006
19275,5900,6000,5755,5900,12650
19282,5900,6125,5700,6125,4968
19289,6005,6100,5715,6095,3377
19296,6095,6095,5715,5990,1465
19303,5900,6045,5700,5700,7671
19310,5700,5700,5310,5435,2565
19317,5435,5700,5435,5700,3413
19324,5600,5680,5600,5600,7536
19331,5390,5700,5390,5695,8221
19338,5695,5695,5335,5680,2806
19345,5680,5680,5280,5675,7918
19352,5675,5675,5600,5670,11994
