d,o,h,l,c,v
18652,1495,1495,1495,1495,1
18659,1495,1720,1495,1720,1076
18666,1700,1850,1700,1850,9232
18673,1830,1960,1700,1800,3262
18680,1800,1850,1705,1850,2340
18687,1845,1980,1845,1980,519
18694,1975,2100,1975,2100,1776
18701,2200,2520,2200,2520,4226
18708,2515,2515,2245,2410,1197
18715,2400,2400,2055,2100,1175
18722,2100,2100,1910,1950,564
18729,2000,2300,2000,2300,5255
18736,2300,2400,2150,2400,1214
18743,2580,2630,2400,2545,5973
18750,2600,2600,2200,2200,6516
18757,2160,2300,2160,2300,460
18764,2300,2400,2300,2400,1814
18771,2400,2500,2400,2500,1506
18778,2500,2730,2500,2700,5055
18785,2700,2700,2600,2700,1917
18792,2650,2730,2650,2700,1318
18799,2725,2725,2700,2700,116
18806,2650,2700,2630,2700,1597
18813,2700,2730,2610,2610,144
18820,2750,3100,2750,3100,1706
18827,3110,3200,3000,3200,2089
18834,3200,3500,3200,3500,2053
18841,3445,3700,3445,3650,339
18848,3650,3680,3520,3680,1167
18855,3675,3700,3515,3695,708
18862,3650,3800,3650,3800,4523
18869,3795,3950,3700,3950,3842
18876,3950,4390,3950,4390,81321
18883,4440,4440,4100,4250,21826
18890,4250,4450,4105,4450,59184
18897,4450,5195,4300,5195,5141
18904,5580,5995,5195,5195,12643
18911,5500,5500,5200,5380,3149
18918,5380,5400,5200,5390,5839
18925,5385,5390,5270,5270,1974
18932,5300,5485,5000,5300,8814
18939,5300,5550,5200,5200,4320
18946,5205,5300,5090,5300,2560
18953,5300,5300,5005,5250,66621
18960,5250,5370,5100,5170,19654
18967,5150,5200,5100,5100,5569
18974,5100,5290,5000,5100,9320
18981,5100,5200,4900,5195,9282
18988,4865,5195,4865,5195,2651
18995,4875,5175,4875,5090,296
19002,5000,5100,4950,5100,2510
19009,5100,5100,4970,5100,1870
19016,5100,5205,5100,5200,3293
19023,5100,5205,4955,5205,6049
19030,5000,5200,4960,5100,31547
19037,5100,5150,5010,5150,17298
19044,5150,5150,5095,5095,9150
19051,5000,5200,5000,5200,12239
19058,5200,5500,5150,5500,16562
19065,5500,5500,5205,5450,7931
19072,5400,5400,5200,5300,14084
19079,5300,5490,5250,5250,14990
19086,5200,5480,5105,5450,2449
19093,5400,5470,5215,5335,3352
