d,o,h,l,c,v
18659,300,320,300,320,1637
18666,300,300,300,300,300
18673,305,305,280,280,2290
18680,280,280,280,280,50
18687,300,300,300,300,1310
18694,280,280,265,265,23295
18701,280,280,280,280,1001
18708,270,270,270,270,399
18715,270,300,270,300,466
18722,300,300,285,300,2101
18729,320,320,300,300,35364
18736,300,300,280,280,1980
18743,300,390,300,390,19210
18750,415,545,415,545,13563
18757,545,580,540,575,50407
18764,545,570,540,565,9286
18771,565,565,540,540,4684
18778,530,570,530,545,6338
18785,550,720,550,720,4930
18792,750,770,715,715,5855
18799,750,750,700,700,4190
18806,700,700,645,670,2521
18813,665,710,645,710,1149
18820,710,710,665,670,2607
18827,710,710,700,700,2455
18834,700,700,675,675,2865
18841,690,720,690,700,1660
18848,690,695,690,695,1782
18855,695,695,615,650,7453
18862,650,655,650,650,3279
18869,650,655,620,655,6118
18876,655,695,650,650,4916
18883,695,700,650,695,7260
18890,700,700,650,650,13834
18897,655,680,655,665,1297
18904,665,680,650,675,7568
18911,650,670,650,670,3117
18918,660,745,660,720,1774
18925,720,720,700,715,3751
18932,715,745,715,745,2477
18939,730,775,730,770,16647
18946,775,775,745,750,9391
18953,750,750,745,745,570
18960,740,740,695,720,2597
18967,720,750,700,700,3057
18974,730,730,705,720,1815
18981,720,730,675,730,2296
18988,730,730,655,730,1057
18995,720,720,700,700,2034
19002,700,755,700,755,2255
19009,750,920,750,920,4010
19016,920,965,900,965,4201
19023,900,1170,900,1170,3100
19030,1200,1660,1200,1660,20214
19037,1660,2110,1660,1950,61632
19044,1805,1805,1340,1340,17630
19051,1315,1530,1150,1530,14405
19058,1530,1945,1530,1760,15450
19065,1760,1760,1400,1400,9120
19072,1505,1555,1360,1360,2121
19079,1365,1465,1365,1400,2988
19086,1400,1465,1400,1450,2910
19093,1455,1765,1450,1765,9013
19100,1635,1810,1610,1810,3128
19107,1810,1810,1485,1485,10350
19114,1600,1600,1330,1475,8906
19121,1585,1700,1580,1685,2681
19128,1655,1680,1490,1655,3369
19135,1655,1655,1535,1650,4478
19142,1530,1545,1350,1450,1999
19149,1450,1550,1355,1450,590
19156,1550,1550,1370,1470,4215
19163,1370,1580,1370,1500,3078
19170,1500,1520,1360,1360,892
19177,1360,1600,1360,1500,526
19184,1495,1590,1400,1400,2701
19191,1400,1480,1175,1175,2588
19198,1175,1300,1130,1300,1684
19205,1395,1400,1300,1305,598
19212,1300,1400,1300,1310,1843
19219,1400,1450,1310,1400,1599
19226,1400,1490,1315,1475,878
19233,1475,1475,1415,1470,152
19240,1450,1470,1340,1435,820
19247,1435,1435,1380,1425,372
19254,1425,1430,1370,1370,648
19261,1400,1400,1350,1390,807
19268,1350,1420,1350,1395,299
19275,1390,1390,1190,1200,4636
19282,1200,1285,1150,1190,1045
19289,1190,1275,975,975,4045
19296,1000,1000,905,905,3935
19303,905,1000,905,975,2442
19310,980,1000,975,1000,4015
19317,1000,1000,995,995,2491
19324,995,1065,995,1065,2049
19331,1135,1220,1135,1220,1261
19338,1220,1295,1130,1130,1492
19345,1195,1195,1185,1185,1083
19352,1185,1185,950,950,3904
19359,950,1100,900,1020,1311
19366,1095,1175,1075,1100,2577
19373,1100,1160,985,985,1316
19380,985,1020,950,990,4232
19387,950,1000,950,990,2121
19394,975,1125,950,1125,9895
19401,1190,1190,1100,1185,1253
19408,1100,1185,1100,1120,1810
19415,1180,1180,980,1150,3727
19422,1145,1180,1100,1175,663
19429,1100,1170,1100,1145,3540
19436,1105,1170,1050,1050,20647
19443,1050,1070,1050,1050,10290
19450,1050,1100,1050,1100,12609
19457,1100,1180,1100,1100,824
19464,1100,1175,1100,1175,453
19471,1150,1175,1015,1015,207
19478,1095,1095,890,890,19426
19485,950,950,850,900,5795
19492,900,1020,900,1020,13163
19499,1020,1090,1020,1085,826
19506,1085,1145,1085,1095,1620
19513,1090,1145,1090,1140,1902
19520,1140,1140,1140,1140,148
19527,1140,1140,940,940,22229
19534,950,1005,950,1005,8601
19541,1005,1070,950,1070,377
