d,o,h,l,c,v
18659,705,870,705,870,2713
18666,850,850,800,800,2633
18673,740,800,740,750,1960
18680,745,745,700,700,2000
18687,700,700,700,700,1196
18694,705,705,700,700,4690
18701,700,700,700,700,1101
18708,700,700,700,700,20602
18715,700,700,700,700,40000
18722,710,710,700,700,2700
18729,750,800,705,800,1690
18736,850,975,850,975,513
18743,975,1120,975,1120,4833
18750,1200,1485,1200,1485,10228
18757,1595,1835,1595,1835,470
18764,1970,2620,1970,2620,26867
18771,2620,3475,2620,3475,19140
18778,3300,3460,3200,3200,10936
18785,3200,3400,3200,3340,26302
18792,3200,3420,3200,3420,23812
18799,3405,3700,3405,3625,22428
18806,3630,3630,3245,3245,89268
18813,3030,3400,3010,3400,19670
18820,3350,3400,3300,3360,3126
18827,3350,3500,3350,3490,16001
18834,3470,3750,3470,3500,19050
18841,3500,3735,3500,3735,1392
18848,3735,3740,3700,3730,706
18855,3725,3725,3450,3520,79971
18862,3520,3700,3520,3695,1885
18869,3605,3705,3600,3700,1161
18876,3700,3700,3505,3690,5291
18883,3690,3800,3690,3800,5852
18890,3780,3910,3780,3910,8512
18897,3935,4300,3935,4200,2353
18904,4200,4500,4050,4150,4198
18911,4200,4300,4010,4100,2055
18918,4200,4510,4200,4510,1359
18925,4210,4905,4205,4905,10397
18932,4905,5100,4650,4885,7764
18939,4885,5095,4885,4960,2773
18946,4990,5095,4600,5095,10713
18953,5000,5480,4750,5480,8615
18960,5375,5880,5375,5845,2383
18967,5750,5800,5550,5550,1193
18974,5510,5750,5500,5500,1387
18981,5600,5740,5400,5500,4376
18988,5725,6180,5300,6180,27141
18995,6060,6180,5900,5900,517
19002,5995,5995,5900,5995,731
19009,5995,5995,5990,5990,1314
19016,5905,5990,5850,5950,7091
19023,5985,5985,5900,5975,644
19030,5975,5990,5750,5750,23450
19037,5850,5850,5800,5800,3865
19044,5800,5800,5750,5750,1724
19051,5745,5800,5605,5605,2014
19058,5850,5995,5800,5990,5833
19065,5950,5950,5900,5900,2547
19072,5900,5930,5700,5900,639
19079,5700,6450,5700,6450,3485
19086,6450,6450,6000,6000,12343
19093,5800,6350,5800,6350,6329
19100,6500,6500,5995,5995,6733
19107,5600,6800,5600,6620,7081
19114,6620,6620,6400,6400,5425
19121,6400,6400,6350,6350,1302
19128,6300,6300,6000,6000,546
19135,6000,6000,5750,5910,7044
19142,5795,6300,5795,5800,33609
19149,5800,6350,5800,5805,3594
19156,6150,6350,6150,6350,2168
19163,6350,6350,6160,6160,350
19170,6160,6260,5900,6225,7194
19177,5900,6375,5900,6005,2022
19184,6375,6375,5950,5950,3427
19191,5950,6000,5805,5950,1540
19198,5835,6000,5550,5990,9148
19205,6000,6000,5500,5850,8541
19212,5500,5850,5500,5710,4259
19219,5700,5700,5300,5700,9458
19226,5700,5700,4900,4900,30911
19233,4900,5190,4655,5100,21036
19240,5090,5100,4905,5000,700
19247,4905,5795,4905,5795,69812
19254,5500,5995,5500,5980,4647
19261,5950,5950,5935,5935,3546
19268,5750,6755,5705,6730,5355
19275,6695,6695,6250,6250,5678
19282,6500,6500,6200,6450,1404
19289,6400,6400,5850,6395,1658
