d,o,h,l,c,v
18652,1345,1350,1345,1350,4471
18659,1350,1350,1270,1270,3994
18666,1270,1300,1270,1290,7531
18673,1295,1345,1295,1305,3827
18680,1310,1310,1300,1300,1607
18687,1310,1355,1305,1350,4469
18694,1350,1355,1340,1350,1815
18701,1350,1355,1300,1355,7719
18708,1395,1395,1355,1360,4594
18715,1360,1400,1360,1395,1455
18722,1400,1400,1330,1385,3102
18729,1385,1385,1300,1300,2842
18736,1305,1305,1270,1270,10859
18743,1270,1365,1270,1365,4002
18750,1340,1400,1300,1400,9778
18757,1400,1405,1400,1405,6412
18764,1400,1445,1400,1445,14995
18771,1405,1445,1405,1445,12756
18778,1445,1485,1440,1485,3810
18785,1485,1645,1480,1480,14677
18792,1590,1890,1590,1800,40560
18799,1665,1950,1665,1900,22685
18806,1900,1945,1890,1945,7782
18813,1945,1945,1800,1840,17677
18820,1840,1935,1820,1935,7926
18827,1855,1950,1855,1905,13629
18834,1950,1950,1685,1685,18212
18841,1685,1700,1670,1695,7622
18848,1700,1830,1700,1775,3158
18855,1775,1800,1755,1800,5583
18862,1800,1800,1780,1800,26072
18869,1800,1800,1700,1750,6663
18876,1750,1750,1720,1740,4804
18883,1750,1750,1715,1750,6115
18890,1745,1825,1740,1825,15666
18897,1825,1825,1780,1810,8170
18904,1810,1820,1790,1790,7770
18911,1830,1850,1750,1800,23355
18918,1750,1850,1750,1840,30313
18925,1805,2025,1805,2025,7847
18932,1890,2025,1890,1890,17878
18939,1910,1990,1890,1890,3494
18946,1990,1990,1890,1900,4859
18953,1900,1985,1900,1985,2876
18960,1985,2100,1985,2000,11703
18967,1995,2000,1960,2000,19260
18974,2000,2100,1980,2100,9885
18981,2100,2200,2000,2200,19220
18988,2035,2215,1975,1975,27899
18995,2000,2000,1900,1995,14150
19002,1995,1995,1935,1990,2306
19009,1990,1990,1930,1990,7828
19016,1995,2100,1850,2100,7854
19023,2100,2100,2000,2015,3873
19030,2035,2050,2030,2050,4749
19037,2050,2150,1970,2150,38073
19044,2150,2205,2095,2205,13064
19051,2250,2360,2250,2315,5409
19058,2300,2350,2300,2350,10912
19065,2350,2395,2350,2390,7244
19072,2395,2510,2395,2500,2915
19079,2460,2685,2460,2640,16330
19086,2505,2640,2500,2575,2218
19093,2405,2540,2340,2340,3503
19100,2340,2345,2300,2345,7349
19107,2345,2445,2345,2395,5455
19114,2395,2550,2300,2300,9854
19121,2300,2395,2300,2385,773
19128,2385,2385,2350,2385,5703
19135,2385,2400,2350,2350,4921
19142,2375,2495,2375,2450,8200
19149,2490,2600,2450,2590,34109
19156,2590,2600,2585,2590,17907
19163,2590,2590,2545,2545,10710
19170,2360,2545,2345,2400,3366
19177,2400,2500,2400,2490,2878
19184,2490,2590,2490,2590,11781
19191,2590,2590,2175,2300,12068
19198,2300,2300,2180,2300,4249
19205,2200,2400,2200,2400,3633
19212,2400,2400,2350,2350,4186
19219,2400,2400,2305,2395,5592
19226,2350,2735,2350,2725,18107
19233,2650,2675,2475,2640,5756
19240,2640,2640,2360,2360,5291
19247,2305,2500,2305,2500,1714
19254,2490,2595,2360,2365,22132
19261,2350,2405,2280,2405,31222
19268,2405,2405,2120,2375,12268
19275,2375,2495,2250,2250,823
19282,2355,2390,2255,2345,15446
19289,2300,2500,2300,2500,4088
19296,2400,2600,2400,2600,9589
19303,2600,2600,2490,2490,7864
19310,2500,2600,2450,2450,4684
19317,2445,2445,2375,2375,12848
19324,2375,2500,2350,2400,12902
19331,2400,2500,2325,2495,5768
19338,2495,2495,2405,2490,440861
19345,2495,2635,2490,2635,10988
19352,2590,2635,2400,2535,84163
19359,2450,2535,2350,2480,75700
19366,2480,2480,2360,2465,1671
19373,2370,2465,2370,2450,2846
19380,2450,2460,2400,2450,8668
19387,2425,2495,2425,2495,3698
19394,2500,2590,2500,2550,14566
19401,2550,2580,2550,2580,19639
19408,2580,2650,2580,2650,16631
19415,2650,2830,2640,2795,49237
19422,2795,2800,2700,2800,5668
19429,2800,2800,2700,2750,8447
19436,2745,2745,2650,2650,4067
19443,2650,2650,2565,2565,25609
19450,2575,2575,2500,2500,4952
19457,2500,2590,2460,2585,5114
19464,2490,2590,2490,2550,3965
19471,2500,2720,2465,2600,12125
19478,2600,2645,2600,2610,16922
19485,2610,2635,2460,2580,10992
19492,2580,2580,2500,2580,1528
19499,2580,2600,2440,2600,3754
19506,2590,2600,2555,2600,5320
19513,2585,2680,2555,2585,5097
19520,2590,2630,2590,2600,11060
19527,2550,2600,2550,2600,7456
19534,2550,2630,2550,2630,33315
19541,2620,2745,2620,2725,12261
19548,2725,2725,2375,2475,4304
19555,2475,2495,2365,2495,13065
19562,2495,2495,2450,2495,7584
19569,2400,2600,2400,2495,2974
19576,2410,2500,2400,2495,3650
19583,2400,2600,2400,2600,17158
19590,2600,2600,2450,2560,258349
19597,2595,2695,2560,2695,11494
19604,2700,2715,2600,2715,7472
19611,2715,2900,2715,2900,13963
19618,2900,2900,2715,2750,2680
19625,2750,2750,2700,2710,902
19632,2735,2895,2700,2895,20147
19639,2895,2895,2705,2730,19128
19646,2750,2750,2600,2650,2405
19653,2605,2685,2500,2500,12113
19660,2500,2500,2400,2400,8931
19667,2450,2550,2440,2550,10091
19674,2550,2550,2360,2535,17010
19681,2535,2535,2315,2450,32245
19688,2450,2590,2400,2400,6997
19695,2400,2545,2350,2545,18785
19702,2405,2515,2405,2515,4210
19709,2515,2515,2320,2490,20858
19716,2490,2500,2350,2500,6985
19723,2400,2500,2315,2400,13946
19730,2400,2400,2290,2400,2519
19737,2300,2400,2300,2390,5435
19744,2400,2400,2255,2290,2139
19751,2290,2385,2280,2290,2431
19758,2290,2390,2280,2390,4151
19765,2280,2390,2250,2350,6425
19772,2350,2430,2175,2430,7071
19779,2260,2420,2260,2380,3181
19786,2375,2375,2205,2345,7851
19793,2350,2350,2280,2280,21144
19800,2270,2300,2250,2300,18820
19807,2250,2450,2250,2450,6003
19814,2385,2620,2385,2540,2800
19821,2540,2550,2255,2450,5604
19828,2450,2450,2395,2395,6722
19835,2395,2445,2265,2445,6218
19842,2440,2445,2200,2260,29704
19849,2260,2390,2130,2285,6156
19856,2200,2310,2150,2220,5203
19863,2300,2385,2220,2385,4272
19870,2395,2415,2200,2200,34404
19877,2200,2350,2200,2345,17436
19884,2350,2350,2300,2300,16666
19891,2300,2350,2300,2350,4248
19898,2355,2500,2200,2390,7707
19905,2350,2350,2150,2200,8909
19912,2200,2250,2100,2200,32242
19919,2200,2245,2100,2175,18372
19926,2175,2280,2105,2190,3512
19933,2225,2225,2150,2220,7622
19940,2220,2230,2185,2185,6364
19947,2175,2175,2150,2160,5270
19954,2160,2180,2105,2160,16856
19961,2160,2320,2160,2190,7589
19968,2190,2355,2150,2340,30290
19975,2345,2345,2190,2295,9747
19982,2195,2330,2195,2330,12466
19989,2330,2350,2300,2350,4153
19996,2345,2345,2285,2285,9460
20003,2250,2310,2175,2300,15114
20010,2300,2315,2200,2315,2786
20017,2315,2315,2190,2300,2552
20024,2295,2395,2200,2395,2892
20031,2400,2400,2200,2210,22116
20038,2210,2350,2210,2230,1747
20045,2230,2350,2230,2300,4454
20052,2300,2350,2300,2315,3863
20059,2350,2375,2250,2250,7774
20066,2250,2350,2250,2350,10848
20073,2350,2350,2290,2290,2764
20080,2250,2250,2250,2250,6395
20087,2250,2300,2250,2300,3768
20094,2260,2400,2260,2390,3157
20101,2275,2400,2275,2380,2262
20108,2385,2395,2385,2390,1790
20115,2390,2390,2200,2200,5323
20122,2200,2375,2200,2375,5694
20129,2380,2385,2200,2360,16636
20136,2395,2395,2365,2375,3922
