d,o,h,l,c,v
18680,4165,4165,4085,4085,6
18694,4085,4085,4085,4085,9
18701,4085,4085,4085,4085,20
18715,4085,4085,4085,4085,1
18736,4085,4085,4085,4085,20
18750,4390,4390,4390,4390,10
18757,4390,4390,4390,4390,10
18764,4400,4400,4400,4400,9
18799,4550,4550,4550,4550,25
18806,4550,4550,4550,4550,70
18813,4550,4550,4550,4550,3
18841,4550,4550,4550,4550,18
18855,4550,4550,4550,4550,54
18862,4550,4550,4400,4400,30
18869,4400,4400,4400,4400,10
18883,4550,4550,4550,4550,11
18918,4850,4900,4550,4550,29
18925,4550,4550,4550,4550,9
18946,4550,4550,4550,4550,12
18960,4550,4550,4550,4550,5
18974,4550,4550,4550,4550,3
18981,4550,4550,4550,4550,1
18988,4560,4890,4560,4890,42
18995,4890,4890,4560,4890,45
19002,4890,4890,4800,4800,12
19009,4850,4890,4800,4850,57
19037,4850,4850,4850,4850,21
19184,5010,5385,5010,5385,21
19191,5385,5780,5385,5780,26
19198,5780,5780,5780,5780,5
19205,5800,5805,5800,5800,331
19212,5805,5805,5800,5800,285
19233,6200,6235,6200,6235,97
19240,6235,6700,6235,6700,966
19247,6700,6700,6700,6700,1
19254,7035,7035,7000,7000,87
19261,7000,7035,7000,7035,21
19268,7035,7035,7000,7000,187
19275,7000,7030,7000,7000,29
19282,7030,7030,7000,7030,125
19289,7030,7030,7030,7030,13
19317,7030,7030,7030,7030,12
19324,7030,7030,7030,7030,14
19331,7030,7105,7030,7030,68
19338,7030,7030,7000,7030,25
19345,7030,7030,7030,7030,1
19352,7030,7030,7025,7025,47
19359,7025,7025,7020,7020,43
19366,7020,7020,7020,7020,200
19373,7020,7020,7020,7020,96
19380,7020,7020,7020,7020,30
19401,7020,7020,7020,7020,523
19408,7020,7020,7020,7020,559
19422,7025,7025,7025,7025,10
19443,7550,7550,7020,7020,234
19450,6800,6800,6800,6800,10
19457,6800,6800,6800,6800,812
19471,6790,6790,6790,6790,52
19478,6790,6790,6790,6790,16
19492,6645,6645,6645,6645,94
19506,6640,6640,6640,6640,20
19513,6645,6645,6640,6645,26
19520,6645,6645,6645,6645,26
19534,6645,6645,6645,6645,5
19541,6600,6600,6550,6550,114
19548,6420,6420,5940,6420,35
19555,5940,6420,5940,6420,36
19562,5940,5940,5940,5940,240
19569,5895,5895,5895,5895,43
19583,5895,5895,5800,5800,47
19590,5800,5800,5365,5365,26
19597,5365,5365,5200,5200,20
19604,5200,5300,5200,5300,62
19618,5300,5300,5300,5300,40
19625,5300,5300,5300,5300,13
19632,5300,5300,5300,5300,4
19639,5305,5305,5300,5300,26
19646,5000,5300,4995,5000,256
19653,5000,5000,5000,5000,56
19660,5000,5000,5000,5000,122
19667,5000,5000,5000,5000,65
19674,5000,5000,5000,5000,2
19681,5000,5000,5000,5000,11
19688,5000,5000,5000,5000,35
19695,5000,5000,5000,5000,2
19702,5000,5000,5000,5000,1
19716,5000,5000,5000,5000,10
19723,5000,5000,5000,5000,30
19730,5000,5000,5000,5000,2
19737,5000,5000,5000,5000,28
19744,5000,5350,5000,5350,29
19751,5325,6180,5325,6180,77
19758,6640,6640,6150,6150,11
19772,6250,6250,6250,6250,10
19779,6250,6250,6000,6000,23
19786,6000,6000,6000,6000,4
19793,6000,6000,6000,6000,3
19800,6000,6000,6000,6000,3
19807,6000,6000,5995,6000,31
19828,6000,6000,6000,6000,2
19835,6000,6000,6000,6000,2
19842,6000,6000,6000,6000,17
19849,6000,6000,6000,6000,17
19856,5900,5900,5900,5900,30
19863,5900,5900,5900,5900,6
19870,5900,6450,5900,6450,15
19877,6450,6500,6450,6500,43
19884,6450,6505,6450,6500,14
19891,6500,6500,6500,6500,3
19898,6500,6500,6500,6500,12
19905,6500,6505,6500,6500,23
19912,6500,6500,6500,6500,4
19926,6500,6500,6500,6500,4
19933,6500,6500,6500,6500,12
19940,6015,6015,6015,6015,2
19947,6015,6015,6015,6015,10
19954,6015,6015,5150,5565,17
19961,5150,6405,5150,6405,42
19968,6405,7400,6405,7300,32
19975,7400,7400,7270,7300,53
19982,7300,7300,7300,7300,9
19989,7845,7845,7845,7845,2
19996,7845,7845,7800,7800,5
20003,7800,7850,7800,7845,45
20010,7840,7840,7840,7840,14
20017,7820,7820,7820,7820,51
20024,7850,7850,7850,7850,27
20031,7850,7850,7850,7850,6
20038,7850,7850,7850,7850,1
20045,7850,7850,7850,7850,36
20052,7850,7850,7850,7850,3
20059,7850,7850,7850,7850,10
20066,7850,7850,7850,7850,1
20073,7700,7700,7000,7000,71
20080,7000,7000,6475,6475,6
