d,o,h,l,c,v
18652,1045,1050,1045,1050,302
18659,1050,1070,1000,1000,5707
18666,1050,1050,1000,1040,49295
18673,1040,1045,1000,1040,7175
18680,1040,1040,1000,1035,24378
18687,1035,1035,995,995,6382
18694,1000,1000,955,1000,5320
18701,995,1000,955,995,1625
18708,995,995,985,985,1507
18715,970,1000,960,970,6550
18722,1000,1000,970,990,6451
18729,965,1000,965,980,2566
18736,990,1030,990,1030,7809
18743,1030,1035,1005,1035,9405
18750,1035,1100,1020,1050,19116
18757,1050,1110,1050,1110,22207
18764,1130,1280,1130,1180,20605
18771,1280,1390,1180,1390,16048
18778,1350,1350,1250,1250,15658
18785,1250,1390,1200,1390,46055
18792,1350,1350,1320,1345,8704
18799,1340,1390,1340,1380,24470
18806,1380,1610,1380,1610,20095
18813,1600,1610,1500,1510,15331
18820,1500,1595,1500,1595,5296
18827,1595,1595,1575,1575,4202
18834,1585,1615,1510,1615,8100
18841,1615,1615,1550,1550,7458
18848,1550,1600,1520,1600,9447
18855,1595,1720,1525,1720,4347
18862,1700,2000,1700,2000,12334
18869,2000,2000,1895,1955,28343
18876,2000,2000,1950,1970,29405
18883,1985,2050,1985,2015,50972
18890,2025,2050,2015,2035,29340
18897,2040,2185,2040,2100,21249
18904,2100,2100,2050,2050,10112
18911,2050,2050,1980,1980,5586
18918,2000,2000,1900,1940,3726
18925,1940,2060,1915,2060,15304
18932,2035,2160,2035,2160,50295
18939,2160,2165,2160,2160,17822
18946,2160,2160,2075,2150,6816
18953,2145,2145,1995,1995,11636
18960,1980,2130,1980,2055,23354
18967,2045,2050,2000,2030,5800
18974,2030,2050,2000,2045,58681
18981,2045,2050,2000,2000,9989
18988,1980,2000,1980,2000,79568
18995,2050,2050,1950,1950,8746
19002,1945,2010,1905,2010,23750
19009,2035,2035,1970,2020,2759
19016,2010,2025,2000,2025,13378
19023,2020,2075,2005,2075,117515
19030,2050,2085,2050,2055,23192
19037,2055,2090,2055,2090,4947
19044,2090,2090,2075,2075,7739
19051,2075,2080,2050,2080,6056
19058,2045,2085,2040,2040,17858
19065,2050,2050,2015,2015,21929
19072,2015,2035,2000,2000,15600
19079,2000,2000,1985,1990,8910
19086,1985,2000,1985,2000,4029
19093,1995,2000,1995,2000,8846
19100,2000,2000,1985,1985,5711
19107,1995,2000,1965,2000,10264
19114,1965,2000,1475,1475,7193
19121,1400,1505,1400,1450,10570
19128,1450,1450,1310,1400,5545
19135,1400,1420,1395,1400,7195
19142,1500,1500,1400,1500,5218
19149,1405,1500,1395,1395,5579
19156,1400,1400,1395,1395,3454
19163,1395,1395,1370,1370,3673
19170,1370,1370,1360,1365,5468
19177,1300,1350,1300,1340,21248
19184,1340,1350,1340,1340,4157
19191,1315,1350,1315,1350,2504
19198,1350,1450,1350,1435,4272
19205,1435,1435,1350,1350,1419
19212,1400,1400,1320,1350,4379
19219,1390,1390,1255,1300,2299
19226,1340,1340,1300,1300,9110
19233,1300,1300,1280,1300,7171
19240,1300,1300,1205,1210,11519
19247,1210,1250,1210,1250,20050
19254,1250,1250,1220,1250,2951
19261,1250,1250,1220,1220,2483
19268,1220,1220,1205,1210,2208
19275,1210,1215,1180,1205,3572
19282,1200,1200,1100,1150,8813
19289,1205,1205,1100,1160,5043
19296,1165,1165,1030,1095,5394
19303,1090,1095,1000,1000,21021
19310,1020,1020,950,950,14734
19317,950,1005,950,1000,22099
19324,930,1000,835,835,4611
19331,805,850,785,800,17372
19338,800,860,790,790,40933
19345,790,790,750,750,53089
19352,755,790,720,770,42214
19359,775,850,775,815,16088
19366,850,850,780,780,11418
19373,750,800,725,795,4631
19380,795,810,790,790,4576
19387,785,795,775,795,3317
19394,790,795,755,795,22783
19401,750,795,750,780,5980
19408,765,795,725,795,35199
19415,800,800,730,760,20186
19422,730,775,730,770,4497
19429,770,770,745,750,13613
19436,750,780,740,770,22632
19443,740,790,735,770,13584
19450,750,770,730,750,3360
19457,765,770,750,760,2637
19464,760,760,755,755,7088
19471,755,760,750,750,4142
19478,750,750,600,630,9721
19485,635,685,620,620,4194
19492,630,680,630,660,3251
19499,685,685,620,620,10244
19506,660,660,620,625,14671
19513,635,695,630,680,14578
19520,685,700,675,675,13956
19527,725,890,725,825,109451
19534,775,775,730,740,11815
19541,740,740,720,725,4079
19548,730,750,700,705,4016
19555,705,750,705,715,3383
19562,715,770,700,770,14490
19569,770,770,715,750,5492
19576,715,770,715,770,5087
19583,765,765,710,750,11552
19590,750,850,740,845,11815
19597,840,840,725,750,4465
19604,750,770,750,765,5878
19611,765,825,755,795,7254
19618,795,800,760,800,5803
19625,780,800,780,790,5256
19632,790,800,740,770,16296
19639,770,775,745,745,46059
19646,750,750,700,700,8516
19653,695,700,695,700,3154
19660,705,740,630,650,24756
19667,655,655,610,625,29061
19674,625,625,580,580,8480
19681,540,600,540,585,9070
19688,585,625,560,615,9318
19695,615,620,560,600,14831
19702,600,600,540,540,28712
19709,540,580,520,540,16756
19716,540,575,535,535,16118
19723,550,570,535,555,15805
19730,560,575,560,575,3295
19737,575,575,535,545,11082
19744,540,585,540,580,5004
19751,580,580,520,520,3281
19758,520,545,520,545,14222
19765,530,550,530,550,25856
19772,550,550,530,530,27688
19779,550,550,505,505,18334
19786,540,550,510,550,8269
19793,550,590,535,535,1657
19800,535,535,515,515,22004
19807,515,530,510,530,3228
19814,530,535,515,530,4366
19821,525,530,520,530,6904
19828,530,530,500,500,21413
19835,500,515,500,515,4341
19842,500,515,435,435,12559
19849,425,425,370,395,27547
19856,400,420,390,420,18780
19863,410,450,390,450,12686
19870,430,430,375,375,21606
19877,380,400,380,400,33042
19884,400,415,400,405,19891
19891,390,410,390,410,8930
19898,400,415,390,415,11868
19905,415,450,415,440,25486
19912,420,430,410,420,15227
19919,420,420,405,405,6865
19926,405,425,405,410,11672
19933,405,430,405,430,11758
